#                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession    qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- --------------------  ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45                   -            174 Prefoldin_4          PIRSF016477   129   0.00018   13.5   1.1   1   1   6.4e-06   0.00036   12.6   1.1    79   117    32    70    17    73 0.92 -
46                   -            430 Glycyl_aminpptds     PIRSF016493   581   2.1e-17   54.5   0.5   1   1   1.6e-17   8.9e-16   49.1   0.5   168   451   152   393   149   397 0.88 -
51                   -            357 PucC                 PIRSF016565   459   0.00023   11.8   0.0   1   1   8.6e-06   0.00048   10.7   0.0   164   236    72   146    61   154 0.82 -
45                   -            174 UCP016662_Toprim     PIRSF016662   295   5.1e-07   21.2   5.1   1   1   2.9e-08   8.2e-07   20.5   5.1   160   214    14    68    10    79 0.93 -
3                    -            594 UCP016662_Toprim     PIRSF016662   295   3.4e-05   15.2  24.6   1   2     6e-06   0.00017   12.9   0.5   117   190   276   345   261   357 0.80 -
3                    -            594 UCP016662_Toprim     PIRSF016662   295   3.4e-05   15.2  24.6   2   2    0.0089      0.25    2.5  17.9   142   202   377   442   374   508 0.62 -
15                   -            263 PafC                 PIRSF016838   324   0.00032   11.7   2.9   1   1   1.6e-05   0.00089   10.3   2.9   143   194   122   173    97   256 0.76 -
54                   -            303 GCD14                PIRSF017269   273   0.00014   12.8   0.0   1   1   3.2e-06   0.00018   12.5   0.0    96   164    96   164    37   190 0.73 -
51                   -            357 NT5C2                PIRSF017434   488    0.0012    9.3   5.4   1   1     3e-05    0.0017    8.8   5.4   349   420   251   320   248   330 0.89 -
5                    -            114 Secretion_EccD1      PIRSF017804   484   0.00026   11.5   0.1   1   1   5.1e-06   0.00029   11.3   0.1    73   142    19    87     8   101 0.90 -
54                   -            303 WbeT                 PIRSF018432   286   2.1e-07   22.3   0.0   1   1   6.2e-09   3.5e-07   21.6   0.0    82   264   102   288    93   302 0.64 -
28                   -            250 UCP018748            PIRSF018748   177   0.00039   11.8   0.4   1   1   9.5e-06   0.00053   11.4   0.4     6    50    65   107    60   180 0.84 -
45                   -            174 NNF1                 PIRSF027153   198   0.00012   13.9   2.7   1   1   2.6e-06   0.00014   13.6   2.3   127   170    19    62    15    93 0.89 -
51                   -            357 SHR3                 PIRSF029187   204   0.00015   12.8   0.0   1   3   2.6e-06   0.00015   12.8   0.0   144   190     9    56     5    71 0.77 -
51                   -            357 SHR3                 PIRSF029187   204   0.00015   12.8   0.0   2   3     0.094       5.3   -2.1   0.1    52    83    85   117    72   121 0.60 -
51                   -            357 SHR3                 PIRSF029187   204   0.00015   12.8   0.0   3   3      0.37        20   -4.0   1.1   171   195   266   290   253   297 0.49 -
5                    -            114 UCP030050_HTH        PIRSF030050   307   0.00017   12.7   0.0   1   1   3.5e-06   0.00019   12.5   0.0    17    70    41    94    29   108 0.83 -
40                   -            627 LiaF_YvqF            PIRSF031509   239   0.00035   12.1   0.1   1   2   6.1e-05    0.0034    8.8   0.0    29   128    69   172    64   177 0.71 -
40                   -            627 LiaF_YvqF            PIRSF031509   239   0.00035   12.1   0.1   2   2     0.024       1.3    0.4   0.0    25    51   356   381   332   393 0.52 -
33                   -            174 UCP032209            PIRSF032209   163   1.1e-52  169.5   0.0   1   1   2.4e-54   1.3e-52  169.3   0.0     9   162    12   164     7   165 0.97 -
45                   -            174 Butyrate_kin         PIRSF036458   356   0.00025   11.8   0.0   1   1   6.9e-06   0.00039   11.2   0.0    14    64    25    75    21    86 0.88 -
1                    -            420 GAF_ANTAR            PIRSF036625   246   0.00013   13.1   0.0   1   1   4.2e-06   0.00023   12.2   0.0    86   148   123   183   108   209 0.83 -
47                   -            269 UCP036704            PIRSF036704    69   2.5e-05   16.5   0.6   1   1   7.6e-07   4.2e-05   15.8   0.6     4    37     4    36     1    49 0.74 -
49                   -            537 Vpr-related_protease PIRSF037844  1408   7.7e-18   55.2  14.3   1   2   8.8e-15   4.9e-13   39.2  10.8   296   419   270   388   187   403 0.88 -
49                   -            537 Vpr-related_protease PIRSF037844  1408   7.7e-18   55.2  14.3   2   2   3.5e-08   1.9e-06   17.4   0.1   614   673   438   496   429   503 0.88 -
49                   -            537 Subtilase_Euglen     PIRSF037850  1492     7e-08   21.8   2.8   1   2   1.3e-09     7e-08   21.8   2.8   285   381   291   385   274   391 0.91 -
49                   -            537 Subtilase_Euglen     PIRSF037850  1492     7e-08   21.8   2.8   2   2    0.0026      0.15    0.9   0.1   471   495   438   462   411   473 0.79 -
49                   -            537 Subtilisin_cyano     PIRSF037851   596     5e-38  122.5  19.6   1   1   1.2e-39     7e-38  122.0  19.6   136   403   218   499   201   509 0.84 -
49                   -            537 Subtilisin_rel_SAV5721 PIRSF037852  1246   1.7e-24   77.3  42.0   1   1   4.1e-26   2.3e-24   76.8  42.0   230   516   220   512   196   530 0.80 -
49                   -            537 DhpA                 PIRSF037854  1106   1.2e-20   64.4  26.7   1   1   2.9e-22   1.6e-20   64.0  26.7   219   453   221   458   165   500 0.75 -
49                   -            537 EpiP_NisP_MutP       PIRSF037875   479   1.3e-12   38.7   7.1   1   2   2.4e-11   1.4e-09   28.7   8.0   137   337   211   392   205   397 0.74 -
49                   -            537 EpiP_NisP_MutP       PIRSF037875   479   1.3e-12   38.7   7.1   2   2     0.001     0.056    3.6   0.0   409   468   439   494   433   504 0.75 -
49                   -            537 Subtilisin_rel_SRU_0565 PIRSF037892   558   1.4e-17   55.6  11.2   1   2     0.054         3   -1.7   0.0    81    96   219   234   205   245 0.81 -
49                   -            537 Subtilisin_rel_SRU_0565 PIRSF037892   558   1.4e-17   55.6  11.2   2   2   2.4e-19   1.4e-17   55.6  11.2   306   494   267   455   246   467 0.77 -
49                   -            537 Subtilisin_rel_Maqu_2796 PIRSF037893   851     3e-18   57.0  27.1   1   1   8.3e-20   4.6e-18   56.4  27.1   309   615   221   498   212   512 0.77 -
49                   -            537 Subtilisin_rel_CspABC PIRSF037894   572   1.7e-06   18.4   3.4   1   3    0.0016     0.088    2.8   0.2    87   130   211   249   187   263 0.72 -
49                   -            537 Subtilisin_rel_CspABC PIRSF037894   572   1.7e-06   18.4   3.4   2   3   1.4e-05   0.00081    9.5   0.0   177   216   267   307   251   322 0.85 -
49                   -            537 Subtilisin_rel_CspABC PIRSF037894   572   1.7e-06   18.4   3.4   3   3   0.00024     0.014    5.5   0.1   479   518   421   456   412   462 0.76 -
49                   -            537 Subtilisin_rel_Sama_2696 PIRSF037895  1601   1.6e-07   20.8  21.8   1   3    0.0083      0.46   -0.6   0.4   316   333   267   284   247   290 0.86 -
49                   -            537 Subtilisin_rel_Sama_2696 PIRSF037895  1601   1.6e-07   20.8  21.8   2   3   7.1e-09     4e-07   19.5   5.6   363   482   292   401   288   423 0.82 -
49                   -            537 Subtilisin_rel_Sama_2696 PIRSF037895  1601   1.6e-07   20.8  21.8   3   3     2e-06   0.00011   11.4   2.1   677   707   437   467   395   498 0.79 -
49                   -            537 Subtilisin_rel_PfSUB_1 PIRSF037900   602   9.4e-08   22.8   0.2   1   2   3.9e-05    0.0022    8.4   0.0   340   438   267   364   231   381 0.88 -
49                   -            537 Subtilisin_rel_PfSUB_1 PIRSF037900   602   9.4e-08   22.8   0.2   2   2   2.3e-06   0.00013   12.4   0.0   499   537   423   457   418   474 0.83 -
49                   -            537 Subtilisin_rel_Nmul_A1891 PIRSF037901   603   7.3e-21   66.0  29.9   1   1   3.3e-22   1.9e-20   64.7  29.9   152   414   220   508   217   518 0.83 -
49                   -            537 Subtilisin_rel_CJE1557 PIRSF037905  1098   6.1e-06   16.0   2.5   1   2   2.8e-06   0.00016   11.3   0.9    29   146   214   336   199   364 0.80 -
49                   -            537 Subtilisin_rel_CJE1557 PIRSF037905  1098   6.1e-06   16.0   2.5   2   2    0.0004     0.023    4.1   0.0   297   314   438   455   423   474 0.84 -
49                   -            537 Subtilisin_rel_TK1689 PIRSF037907   654   8.5e-24   75.4  23.4   1   1   2.5e-25   1.4e-23   74.6  23.4   141   410   205   474   190   502 0.78 -
51                   -            357 AMP-prot_trans       PIRSF038925   370   8.1e-05   13.3   1.1   1   1     2e-06   0.00011   12.8   1.1    59   119   251   317   245   339 0.80 -
#
# Program:         hmmsearch
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      data/pirsf/3.10/sf_hmm_all
# Target file:     /home/dlueckin/projects/pR1SE_australian_lakes/G_annotate_complete_relatives/scripts/../interpro_tmp/Eyresouth_NODE_101_length_48437_cov_7.17035.fasta.faa/hpc-node2_20230626_111308545_27im//jobPIRSF/000000000001_000000000056.fasta
# Option settings: bin/hmmer/hmmer3/3.3/hmmsearch -o /home/dlueckin/projects/pR1SE_australian_lakes/G_annotate_complete_relatives/scripts/../interpro_tmp/Eyresouth_NODE_101_length_48437_cov_7.17035.fasta.faa/hpc-node2_20230626_111308545_27im//jobPIRSF/000000000001_000000000056.raw.out --domtblout /home/dlueckin/projects/pR1SE_australian_lakes/G_annotate_complete_relatives/scripts/../interpro_tmp/Eyresouth_NODE_101_length_48437_cov_7.17035.fasta.faa/hpc-node2_20230626_111308545_27im//jobPIRSF/000000000001_000000000056.raw.domtblout.out --acc -E 0.01 --cpu 1 data/pirsf/3.10/sf_hmm_all /home/dlueckin/projects/pR1SE_australian_lakes/G_annotate_complete_relatives/scripts/../interpro_tmp/Eyresouth_NODE_101_length_48437_cov_7.17035.fasta.faa/hpc-node2_20230626_111308545_27im//jobPIRSF/000000000001_000000000056.fasta 
# Current dir:     /bioinf/home/dlueckin/dbs/interproscan-5.62-94.0
# Date:            Mon Jun 26 11:14:02 2023
# [ok]
