Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Haloferax sp. ATCC BAA-645		strain: ATCC BAA-645	1227463	ASM33683v1	GCA_000336835.1	GenBank	Annotation submitted by University of California, Davis	Contig	213905	3598205	2013-02-04	3612	PRJNA174908	SAMN02471635
Haloferax sp. ATCC BAA-646		strain: ATCC BAA-646	1227464	ASM33685v1	GCA_000336855.1	GenBank	Annotation submitted by University of California, Davis	Contig	151167	3609529	2013-02-04	3626	PRJNA174909	SAMN02471676
Halorubrum californiense DSM 19288		strain: DSM 19288	1227465	ASM33687v1	GCA_000336875.1	GenBank	Annotation submitted by University of California, Davis	Contig	100676	3682872	2013-02-04	3501	PRJNA174912	SAMN02471648
Haloarcula argentinensis DSM 12282		strain: DSM 12282	1230451	ASM33689v1	GCA_000336895.1	GenBank	Annotation submitted by University of California, Davis	Contig	354023	4147107	2013-02-04	4180	PRJNA174892	SAMN02471678
Halococcus saccharolyticus DSM 5350		strain: DSM 5350	1227455	ASM33691v1	GCA_000336915.1	GenBank	Annotation submitted by University of California, Davis	Contig	202192	3449700	2013-02-04	3489	PRJNA174898	SAMN02471639
Halococcus salifodinae DSM 8989		strain: DSM 8989	1227456	ASM33693v1	GCA_000336935.1	GenBank	Annotation submitted by University of California, Davis	Contig	105665	4199784	2013-02-04	4127	PRJNA174899	SAMN02471636
Haloferax larsenii JCM 13917		strain: JCM 13917	1227460	ASM33695v1	GCA_000336955.1	GenBank	Annotation submitted by University of California, Davis	Contig	258651	3697948	2013-02-04	3684	PRJNA174904	SAMN02471655
Haloferax sp. ATCC BAA-644		strain: ATCC BAA-644	1227462	ASM33697v1	GCA_000336975.1	GenBank	Annotation submitted by University of California, Davis	Contig	192908	3587033	2013-02-04	3601	PRJNA174907	SAMN02471677
Halorubrum aidingense JCM 13560		strain: JCM 13560	1230454	ASM33699v1	GCA_000336995.1	GenBank	Annotation submitted by University of California, Davis	Contig	208041	3108525	2013-02-04	3034	PRJNA174910	SAMN02471664
Halorubrum arcis JCM 13916		strain: JCM 13916	1230455	ASM33701v1	GCA_000337015.1	GenBank	Annotation submitted by University of California, Davis	Contig	85701	3382601	2013-02-04	3302	PRJNA174911	SAMN02471647
Halorubrum coriense DSM 10284		strain: DSM 10284	1227466	ASM33703v1	GCA_000337035.1	GenBank	Annotation submitted by University of California, Davis	Contig	81344	3645313	2013-02-04	3514	PRJNA174913	SAMN02471634
Halorubrum distributum JCM 9100		strain: JCM 9100	1227467	ASM33705v1	GCA_000337055.1	GenBank	Annotation submitted by University of California, Davis	Contig	71130	3307369	2013-02-04	3182	PRJNA174914	SAMN02471665
Halorubrum hochstenium ATCC 700873		strain: ATCC 700873	1227481	ASM33707v1	GCA_000337075.1	GenBank	Annotation submitted by University of California, Davis	Contig	87029	3037532	2013-02-04	2980	PRJNA174916	SAMN02471650
Halogeometricum pallidum JCM 14848		strain: JCM 14848	1227487	ASM33709v1	GCA_000337095.1	GenBank	Annotation submitted by University of California, Davis	Contig	202678	4384515	2013-02-04	4296	PRJNA174923	SAMN02471630
Natrinema thermotolerans DSM 11552		strain: DSM 11552	1227489	ASM33711v1	GCA_000337115.1	GenBank	Annotation submitted by University of California, Davis	Contig	162183	3895275	2013-02-04	3910	PRJNA174927	SAMN02471662
Natrialba chahannaoensis JCM 10990		strain: JCM 10990	1227492	ASM33713v1	GCA_000337135.1	GenBank	Annotation submitted by University of California, Davis	Contig	129612	4309274	2013-02-04	4078	PRJNA174931	SAMN02471674
Natrinema altunense JCM 12890		strain: JCM 12890	1227494	ASM33715v1	GCA_000337155.1	GenBank	Annotation submitted by University of California, Davis	Contig	184807	3774970	2013-02-04	3785	PRJNA174934	SAMN02471672
Natrinema gari JCM 14663		strain: JCM 14663	1230459	ASM33717v1	GCA_000337175.1	GenBank	Annotation submitted by University of California, Davis	Contig	126340	4023692	2013-02-04	4115	PRJNA174935	SAMN02471627
Natrinema versiforme JCM 10478		strain: JCM 10478	1227496	ASM33719v1	GCA_000337195.1	GenBank	Annotation submitted by University of California, Davis	Contig	121463	4190799	2013-02-04	4211	PRJNA174938	SAMN02471670
Natronolimnohabitans innermongolicus JCM 12255		strain: JCM 12255	1227499	ASM33721v1	GCA_000337215.1	GenBank	Annotation submitted by University of California, Davis	Contig	93539	4588634	2013-02-04	4449	PRJNA174942	SAMN02471623
Natronorubrum tibetense GA33		strain: GA33	1114856	ASM33723v1	GCA_000337235.1	GenBank	Annotation submitted by University of California, Davis	Contig	186271	4926841	2013-02-04	4720	PRJNA174945	SAMN02471668
Halalkalicoccus jeotgali B3		strain: B3	795797	ASM33725v1	GCA_000337255.1	GenBank	Annotation submitted by University of California, Davis	Contig	132673	3614122	2013-02-04	3849	PRJNA174946	SAMN02471620
Haloarcula sinaiiensis ATCC 33800		strain: ATCC 33800	662476	ASM33727v1	GCA_000337275.1	GenBank	Annotation submitted by University of California, Davis	Contig	203070	4405164	2013-02-04	4394	PRJNA174883	SAMN02471645
Haloferax mediterranei ATCC 33500		strain: ATCC 33500	523841	ASM33729v1	GCA_000337295.1	GenBank	Annotation submitted by University of California, Davis	Contig	323675	3894540	2013-02-04	3902	PRJNA174886	SAMN02471643
Haloferax volcanii DS2		strain: DS2	309800	ASM33731v1	GCA_000337315.1	GenBank	Annotation submitted by University of California, Davis	Contig	109813	3866754	2013-02-04	3938	PRJNA174947	SAMN02471619
Halorubrum distributum JCM 10118		strain: JCM 10118	1227468	ASM33733v1	GCA_000337335.1	GenBank	Annotation submitted by University of California, Davis	Contig	108217	3306135	2013-02-04	3170	PRJNA174915	SAMN02471649
Halorubrum kocurii JCM 14978		strain: JCM 14978	1230456	ASM33735v1	GCA_000337355.1	GenBank	Annotation submitted by University of California, Davis	Contig	65834	3619738	2013-02-04	3480	PRJNA174917	SAMN02471633
Halorubrum lipolyticum DSM 21995		strain: DSM 21995	1227482	ASM33737v1	GCA_000337375.1	GenBank	Annotation submitted by University of California, Davis	Contig	148576	3425042	2013-02-04	3267	PRJNA174918	SAMN02471632
Halorubrum litoreum JCM 13561		strain: JCM 13561	1227483	ASM33739v1	GCA_000337395.1	GenBank	Annotation submitted by University of California, Davis	Contig	111876	3137757	2013-02-04	3065	PRJNA174919	SAMN02471646
Halorubrum tebenquichense DSM 14210		strain: DSM 14210	1227485	ASM33741v1	GCA_000337415.1	GenBank	Annotation submitted by University of California, Davis	Contig	75545	3328860	2013-02-04	3282	PRJNA174921	SAMN02471631
Halorubrum terrestre JCM 10247		strain: JCM 10247	1227486	ASM33743v1	GCA_000337435.1	GenBank	Annotation submitted by University of California, Davis	Contig	97508	3376225	2013-02-04	3299	PRJNA174922	SAMN02471682
Halosimplex carlsbadense 2-9-1		strain: 2-9-1	797114	ASM33745v1	GCA_000337455.1	GenBank	Annotation submitted by University of California, Davis	Contig	193049	4694889	2013-02-04	4505	PRJNA174924	SAMN02471654
Natrinema limicola JCM 13563		strain: JCM 13563	1230457	ASM33747v1	GCA_000337475.1	GenBank	Annotation submitted by University of California, Davis	Contig	113767	3522035	2013-02-04	3577	PRJNA174925	SAMN02471681
Haloterrigena salina JCM 13891		strain: JCM 13891	1227488	ASM33749v1	GCA_000337495.1	GenBank	Annotation submitted by University of California, Davis	Contig	151334	4841607	2013-02-04	4621	PRJNA174926	SAMN02471629
Halovivax asiaticus JCM 14624		strain: JCM 14624	1227490	ASM33751v1	GCA_000337515.1	GenBank	Annotation submitted by University of California, Davis	Contig	327817	3238452	2013-02-04	3175	PRJNA174928	SAMN02471651
Natrialba aegyptia DSM 13077		strain: DSM 13077	1227491	ASM33753v1	GCA_000337535.1	GenBank	Annotation submitted by University of California, Davis	Contig	145225	4618362	2013-02-04	4451	PRJNA174929	SAMN02471628
Natrialba asiatica DSM 12278		strain: DSM 12278	29540	ASM33755v1	GCA_000337555.1	GenBank	Annotation submitted by University of California, Davis	Contig	174934	4404175	2013-02-04	4224	PRJNA174930	SAMN02471653
Natrialba hulunbeirensis JCM 10989		strain: JCM 10989	1227493	ASM33757v1	GCA_000337575.1	GenBank	Annotation submitted by University of California, Davis	Contig	159578	4159606	2013-02-04	3897	PRJNA174932	SAMN02471673
Natrialba taiwanensis DSM 12281		strain: DSM 12281	1230458	ASM33759v1	GCA_000337595.1	GenBank	Annotation submitted by University of California, Davis	Contig	199614	4635192	2013-02-04	4423	PRJNA174933	SAMN02471680
Natrinema pallidum DSM 3751		strain: DSM 3751	1227495	ASM33761v1	GCA_000337615.1	GenBank	Annotation submitted by University of California, Davis	Contig	88603	3915814	2013-02-04	3898	PRJNA174936	SAMN02471671
Natrinema pellirubrum DSM 15624		strain: DSM 15624	797303	ASM33763v1	GCA_000337635.1	GenBank	Annotation submitted by University of California, Davis	Contig	83437	4264455	2013-02-04	4231	PRJNA174937	SAMN02471626
Natronobacterium gregoryi SP2		strain: SP2	797304	ASM33765v1	GCA_000337655.1	GenBank	Annotation submitted by University of California, Davis	Contig	48343	3694030	2013-02-04	3700	PRJNA174939	SAMN02471625
Natronococcus amylolyticus DSM 10524		strain: DSM 10524	1227497	ASM33767v1	GCA_000337675.1	GenBank	Annotation submitted by University of California, Davis	Contig	232276	4416525	2013-02-04	4368	PRJNA174940	SAMN02471669
Natronococcus jeotgali DSM 18795		strain: DSM 18795	1227498	ASM33769v1	GCA_000337695.1	GenBank	Annotation submitted by University of California, Davis	Contig	76066	4496185	2013-02-04	4470	PRJNA174941	SAMN02471624
Natronorubrum bangense JCM 10635		strain: JCM 10635	1227500	ASM33771v1	GCA_000337715.1	GenBank	Annotation submitted by University of California, Davis	Contig	138654	4111275	2013-02-04	4030	PRJNA174943	SAMN02471622
Natronorubrum sulfidifaciens JCM 14089		strain: JCM 14089	1230460	ASM33773v1	GCA_000337735.1	GenBank	Annotation submitted by University of California, Davis	Contig	186182	3460288	2013-02-04	3474	PRJNA174944	SAMN02471621
Haloarcula californiae ATCC 33799		strain: ATCC 33799	662475	ASM33775v1	GCA_000337755.1	GenBank	Annotation submitted by University of California, Davis	Contig	201463	4404932	2013-02-04	4435	PRJNA174882	SAMN02471658
Haloarcula vallismortis ATCC 29715		strain: ATCC 29715	662477	ASM33777v1	GCA_000337775.1	GenBank	Annotation submitted by University of California, Davis	Contig	164661	3923205	2013-02-04	4032	PRJNA174884	SAMN02471656
Haloferax denitrificans ATCC 35960		strain: ATCC 35960	662478	ASM33779v1	GCA_000337795.1	GenBank	Annotation submitted by University of California, Davis	Contig	367032	3825973	2013-02-04	3820	PRJNA174885	SAMN02471644
Haloferax mucosum ATCC BAA-1512		strain: ATCC BAA-1512	662479	ASM33781v1	GCA_000337815.1	GenBank	Annotation submitted by University of California, Davis	Contig	364210	3368982	2013-02-04	3449	PRJNA174887	SAMN02471642
Haloferax sulfurifontis ATCC BAA-897		strain: ATCC BAA-897	662480	ASM33783v1	GCA_000337835.1	GenBank	Annotation submitted by University of California, Davis	Contig	237974	3812428	2013-02-04	3840	PRJNA174888	SAMN02471686
Halogeometricum borinquense DSM 11551		strain: DSM 11551	469382	ASM33785v1	GCA_000337855.1	GenBank	Annotation submitted by University of California, Davis	Contig	166703	3928510	2013-02-04	3936	PRJNA174948	SAMN02471667
Natrialba magadii ATCC 43099		strain: MS-3	547559	ASM33787v1	GCA_000337875.1	GenBank	Annotation submitted by University of California, Davis	Contig	127312	4416299	2013-02-04	4242	PRJNA174949	SAMN02471679
Halobiforma nitratireducens JCM 10879		strain: JCM 10879	1227454	ASM33789v1	GCA_000337895.1	GenBank	Annotation submitted by University of California, Davis	Contig	47406	3688747	2013-02-04	3578	PRJNA174895	SAMN02471660
Halorubrum saccharovorum DSM 1137		strain: DSM 1137	1227484	ASM33791v1	GCA_000337915.1	GenBank	Annotation submitted by University of California, Davis	Contig	183455	3423703	2013-02-04	3278	PRJNA174920	SAMN02471663
Haladaptatus paucihalophilus DX253		strain: DX253	797209	ASM37644v1	GCA_000376445.1	GenBank		Contig	2950504	4317540	2013-04-20		PRJNA170085	SAMN02441396
Halomicrobium katesii DSM 19301		strain: DSM 19301	1069082	ASM37908v1	GCA_000379085.1	GenBank		Scaffold	420577	3607771	2013-04-23		PRJNA88127	SAMN02261322
Natronorubrum tibetense GA33		strain: GA33	1114856	ASM38397v1	GCA_000383975.1	GenBank		Scaffold	899880	4934841	2013-04-26		PRJNA85145	SAMN02261315
Halarchaeum acidiphilum MH1-52-1		strain: MH1-52-1	1261545	ASM40097v1	GCA_000400975.1	GenBank		Contig	7386	2431759	2013-05-16		PRJDB708	SAMD00036650
Salinarchaeum sp. Harcht-Bsk1		strain: Harcht-Bsk1	1333523	ASM40364v1	GCA_000403645.1	GenBank	Annotation submitted by Baltic Federal University	Complete Genome	3255260	3255260	2013-05-30	3061	PRJNA202311	SAMN02602994
halophilic archaeon J07HX5			1325472	HX64_HX5_0315125.1	GCA_000415945.1	GenBank	Annotation submitted by University of California, San Diego, Scripps Institution of Oceanography	Scaffold	4466	2040945	2013-09-04	2158	PRJNA176231	SAMN01940911
Haloquadratum walsbyi J07HQW1			1238424	J07B_scf56329a_trim	GCA_000415965.1	GenBank	Annotation submitted by University of California, San Diego, Scripps Institution of Oceanography	Scaffold	73624	3475501	2013-09-04	3632	PRJNA176224	SAMN01940911
Haloquadratum walsbyi J07HQW2			1238425	HQW2_08err_032412a	GCA_000415985.1	GenBank	Annotation submitted by University of California, San Diego, Scripps Institution of Oceanography	Scaffold	104647	3594539	2013-09-04	3905	PRJNA176225	SAMN01940911
Haloquadratum sp. J07HQX50			1238426	HQX_031812	GCA_000416005.1	GenBank	Annotation submitted by University of California, San Diego, Scripps Institution of Oceanography	Scaffold	5970	3019909	2013-09-04	2908	PRJNA176227	SAMN01940911
Halonotius sp. J07HN6			1238427	HN6_031912	GCA_000416025.1	GenBank	Annotation submitted by University of California, San Diego, Scripps Institution of Oceanography	Scaffold	12416	2529000	2013-09-04	2964	PRJNA176228	SAMN01940911
Halorubrum sp. J07HR59			1238428	HR_032012	GCA_000416045.1	GenBank	Annotation submitted by University of California, San Diego, Scripps Institution of Oceanography	Scaffold	4632	2120805	2013-09-04	1862	PRJNA176230	SAMN01940911
Halonotius sp. J07HN4			1070774	HN4_v3_031612	GCA_000416065.1	GenBank	Annotation submitted by University of California San Diego	Scaffold	16593	2888659	2013-09-04	3283	PRJNA70847	SAMN01940911
halophilic archaeon J07HX64			1085028	J07ABselected	GCA_000416085.1	GenBank	Annotation submitted by University of California San Diego	Scaffold	7318	2982938	2013-09-04	3070	PRJNA70851	SAMN01940911
halophilic archaeon J07HB67			1085029	J07AB_HB67select	GCA_000416105.1	GenBank	Annotation submitted by University of California San Diego	Scaffold	3251	2649547	2013-09-04	2874	PRJNA70861	SAMN01940911
Halorubrum ezzemoulense DSM 17463		strain: DSM 17463	1121945	ASM42180v1	GCA_000421805.1	GenBank		Contig	172357	3591480	2013-07-09		PRJNA188910	SAMN02441569
Haloplanus natans DSM 17983		strain: DSM 17983	926690	ASM42768v1	GCA_000427685.1	GenBank		Scaffold	2169903	3797935	2013-07-15		PRJNA157819	SAMN02440896
haloarchaeon 3A1-DGR		strain: 3A1-DGR	1071085	ASM44786v2	GCA_000447865.2	GenBank		Scaffold	425867	2880902	2014-02-11		PRJNA183189	SAMN02469738
Halopiger goleimassiliensis		strain: IIH3	1293048	Halgo	GCA_000455345.1	GenBank		Scaffold	588788	3906364	2013-08-20		PRJEB1780	SAMEA2272090
Halopiger djelfimassiliensis		strain: IIH2	1293047	HdjelfamassiliensisIIH2	GCA_000455365.1	GenBank		Scaffold	107097	3776554	2013-08-20		PRJEB1777	SAMEA2272053
Halorhabdus tiamatea SARL4B		strain: type strain: SARL4B	1033806	HATI1	GCA_000470655.1	GenBank	Annotation submitted by MPI BREMEN	Complete Genome	2815791	3146160	2013-08-01	3073	PRJEB1233	SAMEA2271992
Halarchaeum acidiphilum MH1-52-1		strain: JCM 16109	1261545	ASM47423v1	GCA_000474235.1	GenBank	Annotation submitted by Japan Agency for Marine-Earth Science and Technology	Contig	29538	2628974	2013-09-13	2756	PRJDB708	SAMD00036764
Halalkalicoccus jeotgali B3		strain: B3	795797	ASM48553v1	GCA_000485535.1	GenBank		Scaffold	266214	3637498	2013-10-25		PRJNA64955	SAMN02440736
Natrinema sp. J7-1		strain: J7-1	1172566	Nat_J71	GCA_000493245.1	GenBank		Contig	196646	3667624	2013-06-17		PRJNA157873	SAMN02472127
Candidatus Halobonum tyrrellensis G22		strain: G22	1324957	Htyrrel1.0	GCA_000495475.1	GenBank	Annotation submitted by Scripps Institution of Oceanography, UC San Diego	Contig	119068	3675087	2013-11-05	3492	PRJNA198495	SAMN02471691
Haloarcula hispanica N601		strain: N601	1417673	ASM50456v2	GCA_000504565.2	GenBank	Annotation submitted by Academia Sinica, Taipei, Taiwan	Complete Genome	3006708	3901495	2014-01-09	4014	PRJNA227070	SAMN02393367
Halorubrum sp. AJ67		strain: AJ67	1173487	HRSP_AJ67	GCA_000513435.1	GenBank	Annotation submitted by FCEN-UBA	Scaffold	5669	4225006	2013-12-24	2688	PRJEB4754	SAMEA3138845
Halostagnicola larsenii XH-48		strain: XH-48	797299	ASM51762v1	GCA_000517625.1	GenBank	Annotation submitted by JGI	Complete Genome	2789326	4131176	2014-01-13	4246	PRJNA71415	SAMN00117518
Natronomonas moolapensis 8.8.11		strain: 8.8.11	268739	ASM59105v1	GCA_000591055.1	GenBank	Annotation submitted by Max-Planck-Institute of Biochemistry	Complete Genome	2912573	2912573	2013-02-21	3226	PRJEA50649	SAMEA3138954
Haloferax mediterranei ATCC 33500		strain: ATCC 33500	523841	ASM68563v1	GCA_000685635.1	GenBank	Annotation submitted by University of Alicante	Chromosome	337682	3906699	2014-05-08	3782	PRJNA238908	SAMN02724739
Natrinema mahii		strain: H13	1416969	ASM69059v2	GCA_000690595.2	GenBank	Annotation submitted by National Chung Hsing University, Taichung City, Taiwan R.O.C.	Scaffold	233260	3794337	2016-05-26	3849	PRJNA227069	SAMN02390968
