	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
KX906370.1_KX906370.1_49	KX906370.1	KX906370.1	49	31842	34019	1	D										Sulfatase [PF00884.26]; C-5 cytosine-specific DNA methylase [PF00145.20]					0
KX906370.1_KX906370.1_50	KX906370.1	KX906370.1	50	34160	34945	1	E															0
KX906370.1_KX906370.1_51	KX906370.1	KX906370.1	51	34942	35607	1	E															0
KX906370.1_KX906370.1_52	KX906370.1	KX906370.1	52	35615	35878	-1	E															0
KX906370.1_KX906370.1_53	KX906370.1	KX906370.1	53	35875	36432	-1	E															0
KX906370.1_KX906370.1_54	KX906370.1	KX906370.1	54	36429	36803	-1	D										Helix-hairpin-helix motif [PF12826.10]; Helix-hairpin-helix domain [PF14520.9]					0
KX906370.1_KX906370.1_55	KX906370.1	KX906370.1	55	36800	37186	-1	E															0
KX906370.1_KX906370.1_56	KX906370.1	KX906370.1	56	37183	37965	-1	E															0
KX906370.1_KX906370.1_57	KX906370.1	KX906370.1	57	37962	38354	-1	E															0
KX906370.1_KX906370.1_58	KX906370.1	KX906370.1	58	38612	38908	-1	E															0
KX906370.1_KX906370.1_59	KX906370.1	KX906370.1	59	38914	39435	-1	E															0
KX906370.1_KX906370.1_60	KX906370.1	KX906370.1	60	39501	39923	-1	E															0
KX906370.1_KX906370.1_61	KX906370.1	KX906370.1	61	39916	40905	-1	E															0
KX906370.1_KX906370.1_62	KX906370.1	KX906370.1	62	41140	42399	-1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]					1
KX906370.1_KX906370.1_63	KX906370.1	KX906370.1	63	42401	42793	-1	C	K07491	REP-associated tyrosine transposase								Transposase IS200 like [PF01797.19]					0
KX906370.1_KX906370.1_64	KX906370.1	KX906370.1	64	42936	43448	1	E															0
KX906370.1_KX906370.1_65	KX906370.1	KX906370.1	65	43449	43607	-1	E															0
KX906370.1_KX906370.1_66	KX906370.1	KX906370.1	66	43704	44981	1	D										Homing endonuclease associated repeat [PF18780.4]					0
KX906370.1_KX906370.1_67	KX906370.1	KX906370.1	67	45430	48312	1	E															0
KX906370.1_KX906370.1_68	KX906370.1	KX906370.1	68	48542	48985	1	E															0
KX906370.1_KX906370.1_69	KX906370.1	KX906370.1	69	49160	49384	-1	E															0
KX906370.1_KX906370.1_70	KX906370.1	KX906370.1	70	49562	49732	-1	E															0
KX906370.1_KX906370.1_71	KX906370.1	KX906370.1	71	49729	49827	-1	E															0
KX906370.1_KX906370.1_72	KX906370.1	KX906370.1	72	49827	50132	-1	E															0
KX906370.1_KX906370.1_73	KX906370.1	KX906370.1	73	50135	50956	-1	C	K04802	proliferating cell nuclear antigen								Proliferating cell nuclear antigen, C-terminal domain [PF02747.18]; Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]					0
KX906370.1_KX906370.1_74	KX906370.1	KX906370.1	74	51159	51587	-1	E															0
KX906370.1_KX906370.1_75	KX906370.1	KX906370.1	75	51587	51724	-1	E															0
KX906370.1_KX906370.1_76	KX906370.1	KX906370.1	76	51802	52056	-1	E															0
KX906370.1_KX906370.1_77	KX906370.1	KX906370.1	77	52129	52374	-1	E															0
KX906370.1_KX906370.1_78	KX906370.1	KX906370.1	78	52371	52664	-1	E															0
KX906370.1_KX906370.1_79	KX906370.1	KX906370.1	79	52839	53060	1	E															0
KX906370.1_KX906370.1_80	KX906370.1	KX906370.1	80	53033	53257	-1	E															0
KX906370.1_KX906370.1_81	KX906370.1	KX906370.1	81	53342	53905	1	E															0
KX906370.1_KX906370.1_82	KX906370.1	KX906370.1	82	54082	57528	1	E															0
KX906370.1_KX906370.1_83	KX906370.1	KX906370.1	83	57653	57820	1	E															0
KX906370.1_KX906370.1_84	KX906370.1	KX906370.1	84	57822	58154	1	E															0
KX906370.1_KX906370.1_85	KX906370.1	KX906370.1	85	58799	60052	1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]; Probable transposase [PF01385.22]					0
KX906370.1_KX906370.1_86	KX906370.1	KX906370.1	86	60556	61302	1	E															0
KX906370.1_KX906370.1_87	KX906370.1	KX906370.1	87	61296	61478	-1	E															0
KX906370.1_KX906370.1_88	KX906370.1	KX906370.1	88	61622	65776	1	D										PQQ-like domain [PF13360.9]; Neurobeachin beta propeller domain [PF20426.1]					0
KX906370.1_KX906370.1_89	KX906370.1	KX906370.1	89	65773	67428	1	D			MER0987806	S08A	MER0987806 - subfamily S8A non-peptidase homologues (Halorubrum saccharovorum) [S08.UNA]#S08A#{peptidase unit: 6-224}~source M0DTE6~	True	395.0	2.625e-118	0.865	Subtilase family [PF00082.25]					0
KX906370.1_KX906370.1_90	KX906370.1	KX906370.1	90	67437	68231	1	E															0
KX906370.1_KX906370.1_91	KX906370.1	KX906370.1	91	68343	69851	1	E															0
KX906370.1_KX906370.1_92	KX906370.1	KX906370.1	92	69854	70150	1	E															0
KX906370.1_KX906370.1_93	KX906370.1	KX906370.1	93	70478	71782	-1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]					0
KX906370.1_KX906370.1_94	KX906370.1	KX906370.1	94	71810	71947	1	E															0
KX906370.1_KX906370.1_95	KX906370.1	KX906370.1	95	72261	72998	1	E															0
KX906370.1_KX906370.1_96	KX906370.1	KX906370.1	96	72998	73381	1	E															0
KX906370.1_KX906370.1_97	KX906370.1	KX906370.1	97	73378	73695	1	E															0
KX906370.1_KX906370.1_98	KX906370.1	KX906370.1	98	73851	74081	1	E															0
KX906370.1_KX906370.1_99	KX906370.1	KX906370.1	99	74159	75076	1	E															0
KX906370.1_KX906370.1_100	KX906370.1	KX906370.1	100	75073	75315	1	E															0
KX906370.1_KX906370.1_101	KX906370.1	KX906370.1	101	75312	75593	1	E															0
KX906370.1_KX906370.1_102	KX906370.1	KX906370.1	102	75742	75978	1	E															0
KX906370.1_KX906370.1_103	KX906370.1	KX906370.1	103	75985	76584	1	E															0
KX906370.1_KX906370.1_104	KX906370.1	KX906370.1	104	76584	77606	1	E															0
KX906370.1_KX906370.1_105	KX906370.1	KX906370.1	105	77603	78895	1	E															0
KX906370.1_KX906370.1_106	KX906370.1	KX906370.1	106	78895	80598	1	E															0
KX906370.1_KX906370.1_107	KX906370.1	KX906370.1	107	80641	83139	1	E															0
KX906370.1_KX906370.1_108	KX906370.1	KX906370.1	108	83274	83453	-1	E															0
KX906370.1_KX906370.1_109	KX906370.1	KX906370.1	109	83629	85254	-1	E															0
KX906370.1_KX906370.1_110	KX906370.1	KX906370.1	110	86084	87520	1	C	K10725	archaeal cell division control protein 6								AAA domain [PF13401.9]					0
KX906370.1_KX906370.1_111	KX906370.1	KX906370.1	111	87627	88316	1	D										Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) family [PF00583.28]					0
KX906370.1_KX906370.1_112	KX906370.1	KX906370.1	112	88323	88550	-1	E															0
KX906370.1_KX906370.1_113	KX906370.1	KX906370.1	113	88684	89061	1	E															0
KX906370.1_KX906370.1_114	KX906370.1	KX906370.1	114	89051	89287	1	E															0
KX906370.1_KX906370.1_115	KX906370.1	KX906370.1	115	89288	89740	1	E															0
KX906370.1_KX906370.1_116	KX906370.1	KX906370.1	116	89727	89984	1	E															0
KX906370.1_KX906370.1_117	KX906370.1	KX906370.1	117	90077	90832	1	E															0
KX906370.1_KX906370.1_118	KX906370.1	KX906370.1	118	91082	92248	-1	C	K07495	putative transposase													0
KX906370.1_KX906370.1_119	KX906370.1	KX906370.1	119	92269	93042	-1	E															0
KX906370.1_KX906370.1_120	KX906370.1	KX906370.1	120	93199	93657	-1	D										Family of unknown function (DUF6176) [PF19673.2]					0
KX906370.1_KX906370.1_121	KX906370.1	KX906370.1	121	93602	93958	-1	E															0
KX906370.1_KX906370.1_122	KX906370.1	KX906370.1	122	93955	94233	-1	E															0
KX906370.1_KX906370.1_123	KX906370.1	KX906370.1	123	94741	95352	-1	E															0
KX906370.1_KX906370.1_124	KX906370.1	KX906370.1	124	95353	95664	-1	E															0
KX906370.1_KX906370.1_125	KX906370.1	KX906370.1	125	95906	96103	-1	E															0
KX906370.1_KX906370.1_126	KX906370.1	KX906370.1	126	96558	98105	1	D										GMC oxidoreductase [PF00732.22]; GMC oxidoreductase [PF05199.16]	AA3; AA3_1; AA3_2; AA3_3	AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10); glucose 1-dehydrogenase (FAD, quinone) (EC 1.1.5.9); pyranose dehydrogenase (EC 1.1.99.29); oligosaccharide dehydrogenase (FAD) (EC 1.1.5.-)	; 1.1.3.16,1.1.3.4,1.1.3.7,1.1.5.9,1.1.5.-,1.1.99.29; 1.1.3.13	AA3_2.hmm	0
KX906370.1_KX906370.1_127	KX906370.1	KX906370.1	127	98077	98448	-1	E															0
KX906370.1_KX906370.1_128	KX906370.1	KX906370.1	128	98471	99886	-1	C	K06921	uncharacterized protein								ATPase domain predominantly from Archaea [PF01637.21]; Archaea bacterial proteins of unknown function [PF03008.17]; AAA domain [PF13173.9]					0
KX906370.1_KX906370.1_129	KX906370.1	KX906370.1	129	100046	100564	1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]					0
KX906370.1_KX906370.1_130	KX906370.1	KX906370.1	130	100554	100736	-1	E															0
KX906370.1_KX906370.1_131	KX906370.1	KX906370.1	131	100733	100897	-1	E															0
KX906370.1_KX906370.1_132	KX906370.1	KX906370.1	132	100876	101199	-1	D										Rhodanese-like domain [PF00581.23]					0
KX906370.1_KX906370.1_133	KX906370.1	KX906370.1	133	101319	101546	-1	E															0
KX906370.1_KX906370.1_134	KX906370.1	KX906370.1	134	101930	103057	-1	E															0
KX906370.1_KX906370.1_135	KX906370.1	KX906370.1	135	103219	104199	-1	E															0
KX906370.1_KX906370.1_136	KX906370.1	KX906370.1	136	104229	104573	-1	E															0
KX906370.1_KX906370.1_137	KX906370.1	KX906370.1	137	104551	104835	-1	E															0
KX906370.1_KX906370.1_138	KX906370.1	KX906370.1	138	104855	105262	-1	E															0
KX906370.1_KX906370.1_139	KX906370.1	KX906370.1	139	105322	105978	-1	D										GAF and HTH_10 associated domain [PF15915.8]; HTH DNA binding domain [PF04967.15]					0
KX906370.1_KX906370.1_140	KX906370.1	KX906370.1	140	106214	106858	1	D										GAF and HTH_10 associated domain [PF15915.8]; HTH DNA binding domain [PF04967.15]					0
KX906370.1_KX906370.1_141	KX906370.1	KX906370.1	141	106942	107292	1	D										Halobacterial output domain 1 [PF18545.4]					0
KX906370.1_KX906370.1_142	KX906370.1	KX906370.1	142	107289	107474	1	E															0
KX906370.1_KX906370.1_143	KX906370.1	KX906370.1	143	108044	108826	-1	D										NAD dependent epimerase/dehydratase family [PF01370.24]; GDP-mannose 4,6 dehydratase [PF16363.8]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Male sterility protein [PF07993.15]					0
KX906370.1_KX906370.1_144	KX906370.1	KX906370.1	144	109066	109878	1	E															0
KX906370.1_KX906370.1_145	KX906370.1	KX906370.1	145	109916	111172	-1	E															0
KX906370.1_KX906370.1_146	KX906370.1	KX906370.1	146	111740	112819	1	D										Oxidoreductase family, NAD-binding Rossmann fold [PF01408.25]					0
KX906370.1_KX906370.1_147	KX906370.1	KX906370.1	147	112923	113681	-1	D										Xylose isomerase-like TIM barrel [PF01261.27]					0
KX906370.1_KX906370.1_148	KX906370.1	KX906370.1	148	114020	114880	1	E															0
KX906370.1_KX906370.1_149	KX906370.1	KX906370.1	149	115363	116892	1	C	K14445	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5								Sodium:sulfate symporter transmembrane region [PF00939.22]; Citrate transporter [PF03600.19]					0
KX906370.1_KX906370.1_150	KX906370.1	KX906370.1	150	117075	117860	-1	D										Transposase DDE domain [PF01609.24]; Transposase DDE domain [PF13586.9]					0
KX906370.1_KX906370.1_151	KX906370.1	KX906370.1	151	118114	118293	1	E															0
KX906370.1_KX906370.1_152	KX906370.1	KX906370.1	152	118514	119152	-1	D										DDE domain [PF13610.9]					0
KX906370.1_KX906370.1_153	KX906370.1	KX906370.1	153	119247	121184	1	C	K06147	ATP-binding cassette, subfamily B, bacterial								ABC transporter [PF00005.30]; ABC transporter transmembrane region [PF00664.26]					0
KX906370.1_KX906370.1_154	KX906370.1	KX906370.1	154	121133	121675	-1	E															0
KX906370.1_KX906370.1_155	KX906370.1	KX906370.1	155	121956	122954	1	D										Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]					0
KX906370.1_KX906370.1_156	KX906370.1	KX906370.1	156	122965	123837	-1	D										Formyl transferase [PF00551.22]					0
KX906370.1_KX906370.1_157	KX906370.1	KX906370.1	157	124353	125018	-1	C	K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]								KDPG and KHG aldolase [PF01081.22]					0
KX906370.1_KX906370.1_158	KX906370.1	KX906370.1	158	125365	126519	1	C	K01684	galactonate dehydratase [EC:4.2.1.6]								Enolase C-terminal domain-like [PF13378.9]; Mandelate racemase / muconate lactonizing enzyme, N-terminal domain [PF02746.19]					0
KX906370.1_KX906370.1_159	KX906370.1	KX906370.1	159	126645	127457	1	C	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]								Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]					0
KX906370.1_KX906370.1_160	KX906370.1	KX906370.1	160	127662	127964	1	E															0
KX906370.1_KX906370.1_161	KX906370.1	KX906370.1	161	128195	129433	-1	C	K23138	cytochrome P450 family 109 [EC:1.14.-.-]								Cytochrome P450 [PF00067.25]					0
KX906370.1_KX906370.1_162	KX906370.1	KX906370.1	162	129525	130406	-1	C	K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]								NmrA-like family [PF05368.16]; NAD(P)H-binding [PF13460.9]; NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]					0
KX906370.1_KX906370.1_163	KX906370.1	KX906370.1	163	130406	130525	-1	E															0
KX906370.1_KX906370.1_164	KX906370.1	KX906370.1	164	131141	131464	1	D										AAA ATPase domain [PF13191.9]					0
KX906370.1_KX906370.1_165	KX906370.1	KX906370.1	165	131489	132655	1	C	K07495	putative transposase													0
KX906370.1_KX906370.1_166	KX906370.1	KX906370.1	166	132848	133021	1	E															0
KX906370.1_KX906370.1_167	KX906370.1	KX906370.1	167	133403	134731	1	C	K10725	archaeal cell division control protein 6								CDC6, C terminal winged helix domain [PF09079.14]					0
KX906370.1_KX906370.1_168	KX906370.1	KX906370.1	168	135268	135390	1	E															0
KX906370.1_KX906370.1_169	KX906370.1	KX906370.1	169	135669	135839	-1	E															0
KX906370.1_KX906370.1_170	KX906370.1	KX906370.1	170	135888	136412	-1	E															0
KX906370.1_KX906370.1_171	KX906370.1	KX906370.1	171	136409	136684	-1	E															0
KX906370.1_KX906370.1_172	KX906370.1	KX906370.1	172	136832	137311	1	E															0
KX906370.1_KX906370.1_173	KX906370.1	KX906370.1	173	137775	138287	1	E															0
KX906370.1_KX906370.1_174	KX906370.1	KX906370.1	174	138309	138815	-1	D										Plasmid pRiA4b ORF-3-like protein [PF07929.14]					0
KX906370.1_KX906370.1_175	KX906370.1	KX906370.1	175	138818	139783	-1	E															0
KX906370.1_KX906370.1_176	KX906370.1	KX906370.1	176	139891	140250	1	E															0
KX906370.1_KX906370.1_177	KX906370.1	KX906370.1	177	140266	141174	-1	E															0
KX906370.1_KX906370.1_178	KX906370.1	KX906370.1	178	141233	141739	-1	E															0
KX906370.1_KX906370.1_179	KX906370.1	KX906370.1	179	141736	142104	-1	D										Uncharacterised protein family (UPF0175) [PF03683.16]					0
KX906370.1_KX906370.1_180	KX906370.1	KX906370.1	180	142225	142665	-1	E															0
KX906370.1_KX906370.1_181	KX906370.1	KX906370.1	181	142665	143543	-1	C	K03496	chromosome partitioning protein								AAA domain [PF13614.9]; Cellulose biosynthesis protein BcsQ [PF06564.15]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; VirC1 protein [PF07015.14]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; ATPase MipZ [PF09140.14]					0
KX906370.1_KX906370.1_182	KX906370.1	KX906370.1	182	143993	144130	-1	E															0
KX906370.1_KX906370.1_183	KX906370.1	KX906370.1	183	144260	148405	-1	C	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]								Eco57I restriction-modification methylase [PF07669.14]; TaqI-like C-terminal specificity domain [PF12950.10]; MmeI, DNA-methyltransferase domain [PF20473.1]; N-6 DNA Methylase [PF02384.19]					0
KX906370.1_KX906370.1_184	KX906370.1	KX906370.1	184	148476	148943	-1	D										Family of unknown function (DUF6293) [PF19810.2]					0
KX906370.1_KX906370.1_185	KX906370.1	KX906370.1	185	149395	150561	1	C	K07495	putative transposase													0
KX906370.1_KX906370.1_186	KX906370.1	KX906370.1	186	150729	150944	1	E															0
KX906370.1_KX906370.1_187	KX906370.1	KX906370.1	187	151459	152703	-1	E															0
KX906370.1_KX906370.1_188	KX906370.1	KX906370.1	188	153478	154815	1	E															0
KX906370.1_KX906370.1_189	KX906370.1	KX906370.1	189	154835	155584	1	E															0
KX906370.1_KX906370.1_190	KX906370.1	KX906370.1	190	156143	157351	1	C	K10725	archaeal cell division control protein 6								CDC6, C terminal winged helix domain [PF09079.14]; AAA domain [PF13401.9]; NB-ARC domain [PF00931.25]					0
KX906370.1_KX906370.1_191	KX906370.1	KX906370.1	191	157891	159687	1	D										ABC transporter [PF00005.30]; RecF/RecN/SMC N terminal domain [PF02463.22]					0
KX906370.1_KX906370.1_192	KX906370.1	KX906370.1	192	160138	160842	-1	D										Methyltransferase domain [PF13578.9]					0
KX906370.1_KX906370.1_193	KX906370.1	KX906370.1	193	161430	161705	-1	E															0
KX906370.1_KX906370.1_194	KX906370.1	KX906370.1	194	162003	163169	-1	C	K07495	putative transposase													0
