	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
SRIF01000015.1_SRIF01000015.1_50	SRIF01000015.1	SRIF01000015.1	50	22816	24258	1	E											0
SRIF01000015.1_SRIF01000015.1_51	SRIF01000015.1	SRIF01000015.1	51	24255	25424	1	E											0
SRIF01000015.1_SRIF01000015.1_52	SRIF01000015.1	SRIF01000015.1	52	25498	25740	1	E											0
SRIF01000015.1_SRIF01000015.1_53	SRIF01000015.1	SRIF01000015.1	53	26619	28148	1	E											0
SRIF01000015.1_SRIF01000015.1_54	SRIF01000015.1	SRIF01000015.1	54	28151	28504	-1	E											0
SRIF01000015.1_SRIF01000015.1_55	SRIF01000015.1	SRIF01000015.1	55	28801	29760	-1	D										MCM OB domain [PF17207.6]	0
SRIF01000015.1_SRIF01000015.1_56	SRIF01000015.1	SRIF01000015.1	56	29757	32207	-1	E											0
SRIF01000015.1_SRIF01000015.1_57	SRIF01000015.1	SRIF01000015.1	57	32204	32539	-1	E											0
SRIF01000015.1_SRIF01000015.1_58	SRIF01000015.1	SRIF01000015.1	58	32542	34518	-1	E											0
SRIF01000015.1_SRIF01000015.1_59	SRIF01000015.1	SRIF01000015.1	59	34518	35918	-1	E											0
SRIF01000015.1_SRIF01000015.1_60	SRIF01000015.1	SRIF01000015.1	60	35929	36999	-1	E											0
SRIF01000015.1_SRIF01000015.1_61	SRIF01000015.1	SRIF01000015.1	61	36992	37696	-1	E											0
SRIF01000015.1_SRIF01000015.1_62	SRIF01000015.1	SRIF01000015.1	62	37701	38054	-1	E											0
SRIF01000015.1_SRIF01000015.1_63	SRIF01000015.1	SRIF01000015.1	63	38030	39076	-1	E											0
SRIF01000015.1_SRIF01000015.1_64	SRIF01000015.1	SRIF01000015.1	64	39116	39433	-1	E											0
SRIF01000015.1_SRIF01000015.1_65	SRIF01000015.1	SRIF01000015.1	65	39433	39663	-1	E											0
SRIF01000015.1_SRIF01000015.1_66	SRIF01000015.1	SRIF01000015.1	66	39663	40580	-1	E											0
SRIF01000015.1_SRIF01000015.1_67	SRIF01000015.1	SRIF01000015.1	67	40580	40897	-1	E											0
SRIF01000015.1_SRIF01000015.1_68	SRIF01000015.1	SRIF01000015.1	68	40897	41244	-1	E											0
SRIF01000015.1_SRIF01000015.1_69	SRIF01000015.1	SRIF01000015.1	69	41248	41652	-1	E											0
SRIF01000015.1_SRIF01000015.1_70	SRIF01000015.1	SRIF01000015.1	70	41655	42029	-1	E											0
SRIF01000015.1_SRIF01000015.1_71	SRIF01000015.1	SRIF01000015.1	71	42026	42757	-1	E											0
SRIF01000015.1_SRIF01000015.1_72	SRIF01000015.1	SRIF01000015.1	72	42760	43287	-1	E											0
SRIF01000015.1_SRIF01000015.1_73	SRIF01000015.1	SRIF01000015.1	73	43330	44139	-1	D										Methyltransferase FkbM domain [PF05050.15]; Vibrio cholerae RfbT protein [PF05575.14]; Met-10+ like-protein [PF02475.19]	0
SRIF01000015.1_SRIF01000015.1_74	SRIF01000015.1	SRIF01000015.1	74	44499	45554	-1	E											0
SRIF01000015.1_SRIF01000015.1_75	SRIF01000015.1	SRIF01000015.1	75	45807	46547	1	D										Phage integrase family [PF00589.25]	0
SRIF01000015.1_SRIF01000015.1_76	SRIF01000015.1	SRIF01000015.1	76	46630	48270	-1	E											0
SRIF01000015.1_SRIF01000015.1_77	SRIF01000015.1	SRIF01000015.1	77	48372	49076	-1	E											0
SRIF01000015.1_SRIF01000015.1_78	SRIF01000015.1	SRIF01000015.1	78	49079	50689	-1	D			MER0982188	S08A	MER0982188 - subfamily S8A unassigned peptidases (Haloferax sulfurifontis) [S08.UPA]#S08A#{peptidase unit: 181-475}~source M0IIJ0~	False	216.0	1.2720000000000001e-57	0.415	Subtilase family [PF00082.25]	0
SRIF01000015.1_SRIF01000015.1_79	SRIF01000015.1	SRIF01000015.1	79	50686	54333	-1	E											0
SRIF01000015.1_SRIF01000015.1_80	SRIF01000015.1	SRIF01000015.1	80	54346	55353	-1	E											0
SRIF01000015.1_SRIF01000015.1_81	SRIF01000015.1	SRIF01000015.1	81	55463	55654	-1	E											0
SRIF01000015.1_SRIF01000015.1_82	SRIF01000015.1	SRIF01000015.1	82	55986	56480	1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
SRIF01000015.1_SRIF01000015.1_83	SRIF01000015.1	SRIF01000015.1	83	56497	56925	-1	E											0
SRIF01000015.1_SRIF01000015.1_84	SRIF01000015.1	SRIF01000015.1	84	56969	57220	-1	E											0
SRIF01000015.1_SRIF01000015.1_85	SRIF01000015.1	SRIF01000015.1	85	57230	57553	-1	E											0
SRIF01000015.1_SRIF01000015.1_86	SRIF01000015.1	SRIF01000015.1	86	58008	58166	-1	E											0
SRIF01000015.1_SRIF01000015.1_87	SRIF01000015.1	SRIF01000015.1	87	58364	59359	1	D										AAA domain [PF13401.9]; NB-ARC domain [PF00931.25]; AAA ATPase domain [PF13191.9]; Bacterial dnaA  protein [PF00308.21]; NACHT domain [PF05729.15]	0
SRIF01000015.1_SRIF01000015.1_88	SRIF01000015.1	SRIF01000015.1	88	59302	59544	-1	E											0
SRIF01000015.1_SRIF01000015.1_89	SRIF01000015.1	SRIF01000015.1	89	59654	59971	-1	E											0
SRIF01000015.1_SRIF01000015.1_90	SRIF01000015.1	SRIF01000015.1	90	60346	60714	1	E											0
SRIF01000015.1_SRIF01000015.1_91	SRIF01000015.1	SRIF01000015.1	91	60714	61133	1	E											0
SRIF01000015.1_SRIF01000015.1_92	SRIF01000015.1	SRIF01000015.1	92	61130	61345	1	E											0
SRIF01000015.1_SRIF01000015.1_93	SRIF01000015.1	SRIF01000015.1	93	61342	61662	1	E											0
SRIF01000015.1_SRIF01000015.1_94	SRIF01000015.1	SRIF01000015.1	94	61659	61775	1	E											0
SRIF01000015.1_SRIF01000015.1_95	SRIF01000015.1	SRIF01000015.1	95	61772	62197	1	E											0
SRIF01000015.1_SRIF01000015.1_96	SRIF01000015.1	SRIF01000015.1	96	62553	62759	1	E											0
SRIF01000015.1_SRIF01000015.1_97	SRIF01000015.1	SRIF01000015.1	97	62756	63130	1	E											0
SRIF01000015.1_SRIF01000015.1_98	SRIF01000015.1	SRIF01000015.1	98	63127	63309	1	E											0
SRIF01000015.1_SRIF01000015.1_99	SRIF01000015.1	SRIF01000015.1	99	63306	63578	1	E											0
SRIF01000015.1_SRIF01000015.1_100	SRIF01000015.1	SRIF01000015.1	100	63857	64162	1	E											0
SRIF01000015.1_SRIF01000015.1_101	SRIF01000015.1	SRIF01000015.1	101	64159	64938	1	E											0
SRIF01000015.1_SRIF01000015.1_102	SRIF01000015.1	SRIF01000015.1	102	65343	65867	-1	E											0
SRIF01000015.1_SRIF01000015.1_103	SRIF01000015.1	SRIF01000015.1	103	65941	66180	-1	E											0
