	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_16	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	16	8030	8287	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_17	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	17	8363	8758	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_18	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	18	8755	9123	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_19	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	19	9208	9927	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_20	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	20	10015	10389	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_21	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	21	10568	10846	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_22	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	22	10955	11275	1	D								Helix-turn-helix domain [PF12840.10]; Bacterial regulatory protein, arsR family [PF01022.23]	0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_23	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	23	11529	12797	1	D								Phage integrase family [PF00589.25]	0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_24	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	24	13177	14838	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_25	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	25	15258	16229	-1	D								MCM OB domain [PF17207.6]	0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_26	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	26	16238	18718	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_27	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	27	18816	20714	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_28	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	28	20714	22084	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_29	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	29	22084	23154	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_30	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	30	23144	23896	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_31	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	31	23889	24161	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_32	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	32	24344	24619	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_33	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	33	24620	24892	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_34	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	34	24906	25832	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_35	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	35	25839	26201	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_36	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	36	26205	26345	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_37	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	37	26414	27088	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_38	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	38	27215	27478	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_39	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	39	27814	28845	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_40	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	40	29012	29698	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_41	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	41	29800	30504	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_42	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	42	30504	31511	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_43	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	43	31601	32383	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_44	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	44	32387	33154	-1	D	MER0980774	S08A	MER0980774 - subfamily S8A unassigned peptidases (Natrinema versiforme) [S08.UPA]#S08A#{peptidase unit: 194-482}~source L9Y5A0~	False	156.0	7.958999999999998e-41	0.423	Subtilase family [PF00082.25]	0
