	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
AOLZ01000012.1_AOLZ01000012.1_55	AOLZ01000012.1	AOLZ01000012.1	55	48032	48964	-1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.30]	0
AOLZ01000012.1_AOLZ01000012.1_56	AOLZ01000012.1	AOLZ01000012.1	56	49082	49753	-1	D										Helix-hairpin-helix motif [PF12826.10]; Helix-hairpin-helix domain [PF14520.9]	0
AOLZ01000012.1_AOLZ01000012.1_57	AOLZ01000012.1	AOLZ01000012.1	57	49851	52730	1	C	K06930	HTH-type transcriptional regulator, bacterioopsin transcriptional activator and related proteins								GAF and HTH_10 associated domain [PF15915.8]; HTH DNA binding domain [PF04967.15]; GAF domain [PF13185.9]; GAF domain [PF13492.9]; PAS fold [PF08448.13]; GAF domain [PF01590.29]; PAS domain [PF13426.10]	0
AOLZ01000012.1_AOLZ01000012.1_58	AOLZ01000012.1	AOLZ01000012.1	58	52833	52973	1	E											0
AOLZ01000012.1_AOLZ01000012.1_59	AOLZ01000012.1	AOLZ01000012.1	59	53064	53699	-1	C	K07100	putative phosphoribosyl transferase								Phosphoribosyl transferase domain [PF00156.30]	0
AOLZ01000012.1_AOLZ01000012.1_60	AOLZ01000012.1	AOLZ01000012.1	60	53808	54584	1	D										Carbohydrate kinase [PF01256.20]; Hydroxyethylthiazole kinase family [PF02110.18]	0
AOLZ01000012.1_AOLZ01000012.1_61	AOLZ01000012.1	AOLZ01000012.1	61	54651	55772	1	D										Aminotransferase class-V [PF00266.22]	0
AOLZ01000012.1_AOLZ01000012.1_62	AOLZ01000012.1	AOLZ01000012.1	62	55863	56150	1	E											0
AOLZ01000012.1_AOLZ01000012.1_63	AOLZ01000012.1	AOLZ01000012.1	63	56266	57084	-1	C	K23356	HTH-type transcriptional regulator, sugar sensing transcriptional regulator								Sugar-specific transcriptional regulator TrmB [PF01978.22]	0
AOLZ01000012.1_AOLZ01000012.1_64	AOLZ01000012.1	AOLZ01000012.1	64	57393	57674	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_65	AOLZ01000012.1	AOLZ01000012.1	65	57834	58604	-1	D										Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13649.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Protein of unknown function (DUF1698) [PF08003.14]; Mycolic acid cyclopropane synthetase [PF02353.23]; Hypothetical methyltransferase [PF05148.18]	0
AOLZ01000012.1_AOLZ01000012.1_66	AOLZ01000012.1	AOLZ01000012.1	66	58838	60037	1	C	K06942	ribosome-binding ATPase								GTPase of unknown function C-terminal [PF08438.13]; 50S ribosome-binding GTPase [PF01926.26]; Ferrous iron transport protein B [PF02421.21]; TGS domain [PF02824.24]	0
AOLZ01000012.1_AOLZ01000012.1_67	AOLZ01000012.1	AOLZ01000012.1	67	60114	60335	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_68	AOLZ01000012.1	AOLZ01000012.1	68	60518	61813	-1	D										Transmembrane secretion effector [PF05977.16]	0
AOLZ01000012.1_AOLZ01000012.1_69	AOLZ01000012.1	AOLZ01000012.1	69	61810	61959	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_70	AOLZ01000012.1	AOLZ01000012.1	70	62273	62926	1	E											0
AOLZ01000012.1_AOLZ01000012.1_71	AOLZ01000012.1	AOLZ01000012.1	71	63106	63852	1	E											0
AOLZ01000012.1_AOLZ01000012.1_72	AOLZ01000012.1	AOLZ01000012.1	72	63891	65735	-1	C	K06200	carbon starvation protein								Carbon starvation protein CstA [PF02554.17]; 5TM C-terminal transporter carbon starvation CstA [PF13722.9]	0
AOLZ01000012.1_AOLZ01000012.1_73	AOLZ01000012.1	AOLZ01000012.1	73	65858	66820	-1	C	K01551	arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]								Anion-transporting ATPase [PF02374.18]; AAA domain [PF13614.9]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]	0
AOLZ01000012.1_AOLZ01000012.1_74	AOLZ01000012.1	AOLZ01000012.1	74	66820	67116	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_75	AOLZ01000012.1	AOLZ01000012.1	75	67475	68236	1	C	K04643	sensory rhodopsin								Bacteriorhodopsin-like protein [PF01036.21]	0
AOLZ01000012.1_AOLZ01000012.1_76	AOLZ01000012.1	AOLZ01000012.1	76	68287	69546	1	D										CobW/HypB/UreG, nucleotide-binding domain [PF02492.22]; Cobalamin synthesis protein cobW C-terminal domain [PF07683.17]	0
AOLZ01000012.1_AOLZ01000012.1_77	AOLZ01000012.1	AOLZ01000012.1	77	69588	70049	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_78	AOLZ01000012.1	AOLZ01000012.1	78	70158	70400	1	E											0
AOLZ01000012.1_AOLZ01000012.1_79	AOLZ01000012.1	AOLZ01000012.1	79	70492	72165	1	C	K00797	spermidine synthase [EC:2.5.1.16]								Spermine/spermidine synthase domain [PF01564.20]; O-methyltransferase [PF01596.20]	0
AOLZ01000012.1_AOLZ01000012.1_80	AOLZ01000012.1	AOLZ01000012.1	80	72162	72377	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_81	AOLZ01000012.1	AOLZ01000012.1	81	72462	72884	-1	D										Universal stress protein family [PF00582.29]	0
AOLZ01000012.1_AOLZ01000012.1_82	AOLZ01000012.1	AOLZ01000012.1	82	73130	73633	1	E											0
AOLZ01000012.1_AOLZ01000012.1_83	AOLZ01000012.1	AOLZ01000012.1	83	73644	74219	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_84	AOLZ01000012.1	AOLZ01000012.1	84	74289	75251	-1	C	K15510	coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]								Luciferase-like monooxygenase [PF00296.23]	0
AOLZ01000012.1_AOLZ01000012.1_85	AOLZ01000012.1	AOLZ01000012.1	85	75647	76552	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_86	AOLZ01000012.1	AOLZ01000012.1	86	76549	77289	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_87	AOLZ01000012.1	AOLZ01000012.1	87	77286	78149	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_88	AOLZ01000012.1	AOLZ01000012.1	88	78136	78798	-1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]	0
AOLZ01000012.1_AOLZ01000012.1_89	AOLZ01000012.1	AOLZ01000012.1	89	78795	79112	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_90	AOLZ01000012.1	AOLZ01000012.1	90	79109	79576	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_91	AOLZ01000012.1	AOLZ01000012.1	91	79576	79788	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_92	AOLZ01000012.1	AOLZ01000012.1	92	79976	80230	1	E											0
AOLZ01000012.1_AOLZ01000012.1_93	AOLZ01000012.1	AOLZ01000012.1	93	80269	80541	1	E											0
AOLZ01000012.1_AOLZ01000012.1_94	AOLZ01000012.1	AOLZ01000012.1	94	80552	80851	1	C	K06218	mRNA interferase RelE/StbE									0
AOLZ01000012.1_AOLZ01000012.1_95	AOLZ01000012.1	AOLZ01000012.1	95	80865	82658	1	C	K07495	putative transposase								Transposase DDE domain [PF01609.24]; Transposase DDE domain group 1 [PF13701.9]	0
AOLZ01000012.1_AOLZ01000012.1_96	AOLZ01000012.1	AOLZ01000012.1	96	82658	82774	1	E											0
AOLZ01000012.1_AOLZ01000012.1_97	AOLZ01000012.1	AOLZ01000012.1	97	83036	84277	-1	C	K01733	threonine synthase [EC:4.2.3.1]								Pyridoxal-phosphate dependent enzyme [PF00291.28]	0
AOLZ01000012.1_AOLZ01000012.1_98	AOLZ01000012.1	AOLZ01000012.1	98	84390	84812	1	D										Universal stress protein family [PF00582.29]	0
AOLZ01000012.1_AOLZ01000012.1_99	AOLZ01000012.1	AOLZ01000012.1	99	84855	85076	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_100	AOLZ01000012.1	AOLZ01000012.1	100	85144	85971	-1	D										Fumarylacetoacetate (FAA) hydrolase family [PF01557.21]	0
AOLZ01000012.1_AOLZ01000012.1_101	AOLZ01000012.1	AOLZ01000012.1	101	85979	86329	-1	D										Mannose-6-phosphate isomerase [PF01050.21]; Auxin binding protein [PF02041.19]; Cupin [PF00190.25]; EutQ-like cupin domain [PF05899.15]; AraC-like ligand binding domain [PF02311.22]; Dimethlysulfonioproprionate lyase [PF16867.8]; Cysteine dioxygenase type I [PF05995.15]; Ectoine synthase [PF06339.15]	0
AOLZ01000012.1_AOLZ01000012.1_102	AOLZ01000012.1	AOLZ01000012.1	102	86326	87114	-1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]	0
AOLZ01000012.1_AOLZ01000012.1_103	AOLZ01000012.1	AOLZ01000012.1	103	87573	88367	1	D										Bacterial transcriptional regulator [PF01614.21]; IclR helix-turn-helix domain [PF09339.13]; Bacterial regulatory protein, arsR family [PF01022.23]	0
AOLZ01000012.1_AOLZ01000012.1_104	AOLZ01000012.1	AOLZ01000012.1	104	88372	89676	-1	D										Lactate racemase N-terminal domain [PF09861.12]; Domain of unknown function (DUF362) [PF04015.15]	0
AOLZ01000012.1_AOLZ01000012.1_105	AOLZ01000012.1	AOLZ01000012.1	105	89831	90943	1	D										Enolase C-terminal domain-like [PF13378.9]; Mandelate racemase / muconate lactonizing enzyme, N-terminal domain [PF02746.19]	0
AOLZ01000012.1_AOLZ01000012.1_106	AOLZ01000012.1	AOLZ01000012.1	106	90972	92189	1	C	K05308	gluconate/galactonate dehydratase [EC:4.2.1.140]								Enolase C-terminal domain-like [PF13378.9]; Mandelate racemase / muconate lactonizing enzyme, N-terminal domain [PF02746.19]	0
AOLZ01000012.1_AOLZ01000012.1_107	AOLZ01000012.1	AOLZ01000012.1	107	92335	92529	1	E											0
AOLZ01000012.1_AOLZ01000012.1_108	AOLZ01000012.1	AOLZ01000012.1	108	92612	93808	1	D										CoA-transferase family III [PF02515.20]	0
AOLZ01000012.1_AOLZ01000012.1_109	AOLZ01000012.1	AOLZ01000012.1	109	94030	95079	1	C	K07080	uncharacterized protein								NMT1-like family [PF16868.8]	0
AOLZ01000012.1_AOLZ01000012.1_110	AOLZ01000012.1	AOLZ01000012.1	110	95127	97190	1	D										Tripartite ATP-independent periplasmic transporter, DctM component [PF06808.15]	0
AOLZ01000012.1_AOLZ01000012.1_111	AOLZ01000012.1	AOLZ01000012.1	111	97305	98267	1	C	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]								D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.22]; D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain [PF00389.33]	0
AOLZ01000012.1_AOLZ01000012.1_112	AOLZ01000012.1	AOLZ01000012.1	112	98815	100968	-1	D										Tripartite ATP-independent periplasmic transporter, DctM component [PF06808.15]	0
AOLZ01000012.1_AOLZ01000012.1_113	AOLZ01000012.1	AOLZ01000012.1	113	101019	102158	-1	C	K07080	uncharacterized protein								NMT1-like family [PF16868.8]	0
AOLZ01000012.1_AOLZ01000012.1_114	AOLZ01000012.1	AOLZ01000012.1	114	102340	102546	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_115	AOLZ01000012.1	AOLZ01000012.1	115	102948	104648	-1	C	K01848	methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]								Methylmalonyl-CoA mutase [PF01642.25]	0
AOLZ01000012.1_AOLZ01000012.1_116	AOLZ01000012.1	AOLZ01000012.1	116	104752	105897	-1	C	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]								Acyl-CoA dehydrogenase, C-terminal domain [PF00441.27]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.19]; Acyl-CoA dehydrogenase, middle domain [PF02770.22]; Acyl-CoA dehydrogenase, C-terminal domain [PF08028.14]	0
AOLZ01000012.1_AOLZ01000012.1_117	AOLZ01000012.1	AOLZ01000012.1	117	105949	106698	-1	D										Bacterial transcriptional regulator [PF01614.21]; IclR helix-turn-helix domain [PF09339.13]	0
AOLZ01000012.1_AOLZ01000012.1_118	AOLZ01000012.1	AOLZ01000012.1	118	107319	108734	1	C	K11529	glycerate 2-kinase [EC:2.7.1.165]								Domain of unknown function (DUF4147) [PF13660.9]; MOFRL family [PF05161.16]	0
AOLZ01000012.1_AOLZ01000012.1_119	AOLZ01000012.1	AOLZ01000012.1	119	108908	109540	1	E											0
AOLZ01000012.1_AOLZ01000012.1_120	AOLZ01000012.1	AOLZ01000012.1	120	109592	110158	1	E											0
AOLZ01000012.1_AOLZ01000012.1_121	AOLZ01000012.1	AOLZ01000012.1	121	110097	110840	-1	C	K04643	sensory rhodopsin								Bacteriorhodopsin-like protein [PF01036.21]	0
AOLZ01000012.1_AOLZ01000012.1_122	AOLZ01000012.1	AOLZ01000012.1	122	110843	112480	-1	C	K03406	methyl-accepting chemotaxis protein								Methyl-accepting chemotaxis protein (MCP) signalling domain [PF00015.24]	0
AOLZ01000012.1_AOLZ01000012.1_123	AOLZ01000012.1	AOLZ01000012.1	123	112736	113515	-1	D										NIF3 (NGG1p interacting factor 3) [PF01784.21]	0
AOLZ01000012.1_AOLZ01000012.1_124	AOLZ01000012.1	AOLZ01000012.1	124	113660	114577	1	D										Acetamidase/Formamidase family [PF03069.18]	0
AOLZ01000012.1_AOLZ01000012.1_125	AOLZ01000012.1	AOLZ01000012.1	125	114730	115236	-1	D										Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) domain [PF13420.10]; Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) domain [PF13302.10]	0
AOLZ01000012.1_AOLZ01000012.1_126	AOLZ01000012.1	AOLZ01000012.1	126	115325	115459	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_127	AOLZ01000012.1	AOLZ01000012.1	127	115456	115842	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_128	AOLZ01000012.1	AOLZ01000012.1	128	116060	117559	1	C	K06930	HTH-type transcriptional regulator, bacterioopsin transcriptional activator and related proteins								HTH DNA binding domain [PF04967.15]; GAF domain [PF13185.9]; GAF domain [PF01590.29]; GAF domain [PF13492.9]	0
AOLZ01000012.1_AOLZ01000012.1_129	AOLZ01000012.1	AOLZ01000012.1	129	117618	118487	-1	C	K01480	agmatinase [EC:3.5.3.11]								Arginase family [PF00491.24]	0
AOLZ01000012.1_AOLZ01000012.1_130	AOLZ01000012.1	AOLZ01000012.1	130	118487	118861	-1	C	K03263	translation initiation factor 5A									0
AOLZ01000012.1_AOLZ01000012.1_131	AOLZ01000012.1	AOLZ01000012.1	131	119014	119583	1	E											0
AOLZ01000012.1_AOLZ01000012.1_132	AOLZ01000012.1	AOLZ01000012.1	132	119681	120943	1	D										PQQ-like domain [PF13360.9]	0
AOLZ01000012.1_AOLZ01000012.1_133	AOLZ01000012.1	AOLZ01000012.1	133	120959	122065	-1	D										Aminotransferase class I and II [PF00155.24]; Aminotransferase class-V [PF00266.22]	0
AOLZ01000012.1_AOLZ01000012.1_134	AOLZ01000012.1	AOLZ01000012.1	134	122390	123499	1	D										CobW/HypB/UreG, nucleotide-binding domain [PF02492.22]; Cobalamin synthesis protein cobW C-terminal domain [PF07683.17]	0
AOLZ01000012.1_AOLZ01000012.1_135	AOLZ01000012.1	AOLZ01000012.1	135	123575	123733	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_136	AOLZ01000012.1	AOLZ01000012.1	136	123831	123998	1	E											0
AOLZ01000012.1_AOLZ01000012.1_137	AOLZ01000012.1	AOLZ01000012.1	137	124038	125213	-1	C	K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]								Alcohol dehydrogenase GroES-like domain [PF08240.15]; Zinc-binding dehydrogenase [PF00107.29]; Glucose dehydrogenase C-terminus [PF16912.8]; Alcohol dehydrogenase GroES-associated [PF13823.9]	0
AOLZ01000012.1_AOLZ01000012.1_138	AOLZ01000012.1	AOLZ01000012.1	138	125372	126451	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_139	AOLZ01000012.1	AOLZ01000012.1	139	126530	128056	-1	C	K03688	ubiquinone biosynthesis protein								ABC1 atypical kinase-like domain [PF03109.19]	0
AOLZ01000012.1_AOLZ01000012.1_140	AOLZ01000012.1	AOLZ01000012.1	140	128213	128719	-1	C	K13993	HSP20 family protein								Hsp20/alpha crystallin family [PF00011.24]	0
AOLZ01000012.1_AOLZ01000012.1_141	AOLZ01000012.1	AOLZ01000012.1	141	128830	130119	1	C	K03750	molybdopterin molybdotransferase [EC:2.10.1.1]								MoeA N-terminal region (domain I and II) [PF03453.20]; Probable molybdopterin binding domain [PF00994.27]; MoeA C-terminal region (domain IV) [PF03454.18]	0
AOLZ01000012.1_AOLZ01000012.1_142	AOLZ01000012.1	AOLZ01000012.1	142	130220	130720	-1	C	K08982	putative membrane protein									0
AOLZ01000012.1_AOLZ01000012.1_143	AOLZ01000012.1	AOLZ01000012.1	143	130751	130984	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_144	AOLZ01000012.1	AOLZ01000012.1	144	131110	132264	-1	D			MER0196693	S12	MER0196693 - family S12 unassigned peptidases (Haloterrigena turkmenica) [S12.UPW]#S12#{peptidase unit: 3-374}~source ADB61962~	True	0.761	591.0	5.514e-189	Beta-lactamase [PF00144.27]	0
AOLZ01000012.1_AOLZ01000012.1_145	AOLZ01000012.1	AOLZ01000012.1	145	132339	133142	-1	C	K02019	molybdate transport system regulatory protein								TOBE domain [PF03459.20]; Bacterial regulatory helix-turn-helix protein, lysR family [PF00126.30]	0
AOLZ01000012.1_AOLZ01000012.1_146	AOLZ01000012.1	AOLZ01000012.1	146	133157	133990	-1	C	K06857	tungstate transport system ATP-binding protein [EC:7.3.2.6]								ABC transporter [PF00005.30]	0
AOLZ01000012.1_AOLZ01000012.1_147	AOLZ01000012.1	AOLZ01000012.1	147	133987	134721	-1	C	K05773	tungstate transport system permease protein									0
AOLZ01000012.1_AOLZ01000012.1_148	AOLZ01000012.1	AOLZ01000012.1	148	134728	135669	-1	C	K05772	tungstate transport system substrate-binding protein								PBP superfamily domain [PF12849.10]	0
AOLZ01000012.1_AOLZ01000012.1_149	AOLZ01000012.1	AOLZ01000012.1	149	135827	136570	-1	D										HTH DNA binding domain [PF04967.15]	0
AOLZ01000012.1_AOLZ01000012.1_150	AOLZ01000012.1	AOLZ01000012.1	150	136789	138009	1	D										FAD dependent oxidoreductase [PF01266.27]; FAD binding domain [PF00890.27]	0
AOLZ01000012.1_AOLZ01000012.1_151	AOLZ01000012.1	AOLZ01000012.1	151	138016	139032	-1	D										Proline racemase [PF05544.14]; Phenazine biosynthesis-like protein [PF02567.19]	0
AOLZ01000012.1_AOLZ01000012.1_152	AOLZ01000012.1	AOLZ01000012.1	152	139048	139365	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_153	AOLZ01000012.1	AOLZ01000012.1	153	139365	140837	-1	C	K03308	neurotransmitter:Na+ symporter, NSS family								Sodium:neurotransmitter symporter family [PF00209.21]	0
