	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
JDTG01000019.1_JDTG01000019.1_55	JDTG01000019.1	JDTG01000019.1	55	29986	30702	-1	E											0
JDTG01000019.1_JDTG01000019.1_56	JDTG01000019.1	JDTG01000019.1	56	30699	30887	-1	E											0
JDTG01000019.1_JDTG01000019.1_57	JDTG01000019.1	JDTG01000019.1	57	31072	31305	1	D										FaeA-like protein [PF04703.15]	0
JDTG01000019.1_JDTG01000019.1_58	JDTG01000019.1	JDTG01000019.1	58	31963	33150	1	D										MCM P-loop domain [PF00493.26]; MCM AAA-lid domain [PF17855.4]	0
JDTG01000019.1_JDTG01000019.1_59	JDTG01000019.1	JDTG01000019.1	59	33260	34435	-1	E											0
JDTG01000019.1_JDTG01000019.1_60	JDTG01000019.1	JDTG01000019.1	60	34804	35175	-1	E											0
JDTG01000019.1_JDTG01000019.1_61	JDTG01000019.1	JDTG01000019.1	61	35420	35731	1	E											0
JDTG01000019.1_JDTG01000019.1_62	JDTG01000019.1	JDTG01000019.1	62	35743	36024	1	E											0
JDTG01000019.1_JDTG01000019.1_63	JDTG01000019.1	JDTG01000019.1	63	36248	36562	1	E											0
JDTG01000019.1_JDTG01000019.1_64	JDTG01000019.1	JDTG01000019.1	64	36545	36844	-1	E											0
JDTG01000019.1_JDTG01000019.1_65	JDTG01000019.1	JDTG01000019.1	65	36984	37358	1	E											0
JDTG01000019.1_JDTG01000019.1_66	JDTG01000019.1	JDTG01000019.1	66	37355	38395	-1	C	K10725	archaeal cell division control protein 6								AAA domain [PF13401.9]; Bacterial dnaA  protein [PF00308.21]; AAA ATPase domain [PF13191.9]; Bacterial TniB protein [PF05621.14]	0
JDTG01000019.1_JDTG01000019.1_67	JDTG01000019.1	JDTG01000019.1	67	38918	42832	-1	C	K17713	outer membrane protein assembly factor BamB	MER0240687	S09X	MER0240687 - family S9 non-peptidase homologues (Methanobacterium sp. AL-21) [S09.UNW]#S09X#{peptidase unit: 304-511}~source YP_004291150~	False	0.434	151.0	5.703e-35	PQQ-like domain [PF13360.9]; PQQ-like domain [PF13570.9]; PQQ enzyme repeat [PF01011.24]	0
JDTG01000019.1_JDTG01000019.1_68	JDTG01000019.1	JDTG01000019.1	68	43060	43263	1	E											0
JDTG01000019.1_JDTG01000019.1_69	JDTG01000019.1	JDTG01000019.1	69	43380	43484	-1	E											0
JDTG01000019.1_JDTG01000019.1_70	JDTG01000019.1	JDTG01000019.1	70	43615	43722	-1	E											0
JDTG01000019.1_JDTG01000019.1_71	JDTG01000019.1	JDTG01000019.1	71	43897	44313	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
JDTG01000019.1_JDTG01000019.1_72	JDTG01000019.1	JDTG01000019.1	72	44622	45413	1	E											0
JDTG01000019.1_JDTG01000019.1_73	JDTG01000019.1	JDTG01000019.1	73	45413	45955	1	D										Homing endonuclease associated repeat [PF18780.4]	0
JDTG01000019.1_JDTG01000019.1_74	JDTG01000019.1	JDTG01000019.1	74	46266	46775	1	E											0
JDTG01000019.1_JDTG01000019.1_75	JDTG01000019.1	JDTG01000019.1	75	46789	47028	1	E											0
JDTG01000019.1_JDTG01000019.1_76	JDTG01000019.1	JDTG01000019.1	76	46998	47192	-1	E											0
JDTG01000019.1_JDTG01000019.1_77	JDTG01000019.1	JDTG01000019.1	77	47364	48212	1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								HNH endonuclease [PF01844.26]	1
JDTG01000019.1_JDTG01000019.1_78	JDTG01000019.1	JDTG01000019.1	78	48277	48435	1	E											0
JDTG01000019.1_JDTG01000019.1_79	JDTG01000019.1	JDTG01000019.1	79	48733	49401	1	E											0
JDTG01000019.1_JDTG01000019.1_80	JDTG01000019.1	JDTG01000019.1	80	49394	49801	1	E											0
JDTG01000019.1_JDTG01000019.1_81	JDTG01000019.1	JDTG01000019.1	81	49809	53501	1	D										PQQ-like domain [PF13360.9]; Anaphase-promoting complex subunit 4 WD40 domain [PF12894.10]	0
JDTG01000019.1_JDTG01000019.1_82	JDTG01000019.1	JDTG01000019.1	82	53498	55075	1	D			MER0980774	S08A	MER0980774 - subfamily S8A unassigned peptidases (Natrinema versiforme) [S08.UPA]#S08A#{peptidase unit: 194-482}~source L9Y5A0~	True	0.71	414.0	2.313e-125	Subtilase family [PF00082.25]	0
JDTG01000019.1_JDTG01000019.1_83	JDTG01000019.1	JDTG01000019.1	83	55079	55864	1	E											0
JDTG01000019.1_JDTG01000019.1_84	JDTG01000019.1	JDTG01000019.1	84	55867	56610	1	D										Methyltransferase FkbM domain [PF05050.15]; Met-10+ like-protein [PF02475.19]	0
JDTG01000019.1_JDTG01000019.1_85	JDTG01000019.1	JDTG01000019.1	85	56692	57639	1	E											0
JDTG01000019.1_JDTG01000019.1_86	JDTG01000019.1	JDTG01000019.1	86	57642	59180	1	E											0
JDTG01000019.1_JDTG01000019.1_87	JDTG01000019.1	JDTG01000019.1	87	59262	60785	1	E											0
JDTG01000019.1_JDTG01000019.1_88	JDTG01000019.1	JDTG01000019.1	88	61121	62221	1	E											0
JDTG01000019.1_JDTG01000019.1_89	JDTG01000019.1	JDTG01000019.1	89	62302	62682	1	E											0
JDTG01000019.1_JDTG01000019.1_90	JDTG01000019.1	JDTG01000019.1	90	62702	63385	1	E											0
JDTG01000019.1_JDTG01000019.1_91	JDTG01000019.1	JDTG01000019.1	91	63385	63585	1	E											0
JDTG01000019.1_JDTG01000019.1_92	JDTG01000019.1	JDTG01000019.1	92	63588	64028	1	E											0
JDTG01000019.1_JDTG01000019.1_93	JDTG01000019.1	JDTG01000019.1	93	64025	64972	1	E											0
JDTG01000019.1_JDTG01000019.1_94	JDTG01000019.1	JDTG01000019.1	94	64969	65208	1	E											0
JDTG01000019.1_JDTG01000019.1_95	JDTG01000019.1	JDTG01000019.1	95	65205	65501	1	E											0
JDTG01000019.1_JDTG01000019.1_96	JDTG01000019.1	JDTG01000019.1	96	65646	65861	1	E											0
JDTG01000019.1_JDTG01000019.1_97	JDTG01000019.1	JDTG01000019.1	97	65858	66436	1	E											0
JDTG01000019.1_JDTG01000019.1_98	JDTG01000019.1	JDTG01000019.1	98	66433	67458	1	E											0
JDTG01000019.1_JDTG01000019.1_99	JDTG01000019.1	JDTG01000019.1	99	67455	68696	1	E											0
JDTG01000019.1_JDTG01000019.1_100	JDTG01000019.1	JDTG01000019.1	100	68698	70545	1	E											0
JDTG01000019.1_JDTG01000019.1_101	JDTG01000019.1	JDTG01000019.1	101	70555	72918	1	E											0
JDTG01000019.1_JDTG01000019.1_102	JDTG01000019.1	JDTG01000019.1	102	72919	73860	1	D										MCM OB domain [PF17207.6]	0
JDTG01000019.1_JDTG01000019.1_103	JDTG01000019.1	JDTG01000019.1	103	74118	75602	1	E											0
JDTG01000019.1_JDTG01000019.1_104	JDTG01000019.1	JDTG01000019.1	104	75650	76456	1	E											0
JDTG01000019.1_JDTG01000019.1_105	JDTG01000019.1	JDTG01000019.1	105	76453	77052	1	E											0
JDTG01000019.1_JDTG01000019.1_106	JDTG01000019.1	JDTG01000019.1	106	77055	77477	1	E											0
JDTG01000019.1_JDTG01000019.1_107	JDTG01000019.1	JDTG01000019.1	107	77474	77767	1	E											0
JDTG01000019.1_JDTG01000019.1_108	JDTG01000019.1	JDTG01000019.1	108	77764	78444	1	E											0
JDTG01000019.1_JDTG01000019.1_109	JDTG01000019.1	JDTG01000019.1	109	78437	78727	1	E											0
JDTG01000019.1_JDTG01000019.1_110	JDTG01000019.1	JDTG01000019.1	110	78724	78918	-1	E											0
JDTG01000019.1_JDTG01000019.1_111	JDTG01000019.1	JDTG01000019.1	111	78911	79306	-1	E											0
JDTG01000019.1_JDTG01000019.1_112	JDTG01000019.1	JDTG01000019.1	112	79299	79718	-1	E											0
JDTG01000019.1_JDTG01000019.1_113	JDTG01000019.1	JDTG01000019.1	113	79763	80917	-1	D										Phage integrase family [PF00589.25]	0
JDTG01000019.1_JDTG01000019.1_114	JDTG01000019.1	JDTG01000019.1	114	81081	81728	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]									0
JDTG01000019.1_JDTG01000019.1_115	JDTG01000019.1	JDTG01000019.1	115	81718	82266	-1	D										Family of unknown function (DUF5806) [PF19122.3]	0
JDTG01000019.1_JDTG01000019.1_116	JDTG01000019.1	JDTG01000019.1	116	82356	82871	-1	E											0
JDTG01000019.1_JDTG01000019.1_117	JDTG01000019.1	JDTG01000019.1	117	82993	83238	1	E											0
JDTG01000019.1_JDTG01000019.1_118	JDTG01000019.1	JDTG01000019.1	118	83225	83431	1	E											0
JDTG01000019.1_JDTG01000019.1_119	JDTG01000019.1	JDTG01000019.1	119	83424	84056	1	E											0
JDTG01000019.1_JDTG01000019.1_120	JDTG01000019.1	JDTG01000019.1	120	84053	84484	1	E											0
JDTG01000019.1_JDTG01000019.1_121	JDTG01000019.1	JDTG01000019.1	121	84481	84825	1	E											0
JDTG01000019.1_JDTG01000019.1_122	JDTG01000019.1	JDTG01000019.1	122	84986	85168	-1	E											0
JDTG01000019.1_JDTG01000019.1_123	JDTG01000019.1	JDTG01000019.1	123	85555	86529	-1	C	K07495	putative transposase									0
