	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_11	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	11	6049	6687	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_12	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	12	6704	10945	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_13	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	13	10942	12510	1	D			MER0969243	S08A	MER0969243 - subfamily S8A unassigned peptidases (Natrialba aegyptia) [S08.UPA]#S08A#{peptidase unit: 169-455}~source M0B5C4~	False	171.0	7.894e-43	0.37	Subtilase family [PF00082.25]	0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_14	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	14	12514	13308	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_15	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	15	13399	14919	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_16	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	16	15073	16071	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_17	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	17	16215	16733	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_18	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	18	16891	17505	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_19	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	19	17505	18035	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_20	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	20	18036	18341	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_21	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	21	18338	19234	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_22	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	22	19266	19514	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_23	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	23	19511	19792	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_24	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	24	19905	20171	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_25	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	25	20168	20764	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_26	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	26	20767	21009	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_27	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	27	21009	22019	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_28	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	28	22016	23251	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_29	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	29	23251	24945	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_30	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	30	24942	25253	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_31	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	31	25309	27666	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_32	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	32	27807	28184	1	D										Helix-hairpin-helix motif [PF12826.10]	0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_33	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	33	28193	28597	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_34	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	34	28607	28789	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_35	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	35	28786	29949	-1	D										Phage integrase family [PF00589.25]	0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_36	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	36	30368	30754	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_37	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	37	30771	31418	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_38	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	38	31415	31804	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_39	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	39	31968	32240	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_40	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	40	32237	33640	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_41	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	41	33746	33985	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_42	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	42	34189	34404	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_43	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	43	34516	34773	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_44	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	44	34775	35029	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_45	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	45	35026	35298	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_46	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	46	35295	35594	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_47	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	47	35665	35820	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_48	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	48	35789	36481	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_49	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	49	36484	36657	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_50	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	50	36677	37084	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_51	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	51	37356	38018	-1	D										Phage integrase family [PF00589.25]	0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_52	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	52	38020	38265	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_53	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	53	38268	38531	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_54	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	54	38629	38865	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_55	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	55	39485	40426	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_56	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	56	40553	40960	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_57	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	57	40972	41145	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_58	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	58	41142	41438	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_59	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	59	41435	41785	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_60	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	60	41754	42089	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_61	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	61	42086	42583	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_62	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	62	42580	42831	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_63	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	63	42917	43240	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_64	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	64	43379	44266	1	D										AAA domain [PF13614.9]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; Cellulose biosynthesis protein BcsQ [PF06564.15]; NUBPL iron-transfer P-loop NTPase [PF10609.12]	0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_65	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	65	44267	44683	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_66	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	66	44694	44963	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_67	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	67	44956	45321	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_68	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	68	45324	46475	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_69	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	69	46468	46749	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_70	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	70	46746	46991	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_71	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	71	47223	47525	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_72	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	72	47522	47698	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_73	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	73	47695	47865	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_74	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	74	47862	48221	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_75	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	75	48218	48445	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_76	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	76	48442	48909	-1	E											1
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_77	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	77	48902	49129	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_78	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	78	49126	49386	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_79	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	79	49383	49520	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_80	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	80	49520	49840	-1	E											0
