orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,interpro_annot,interpro_evalue,DRAM_kegg,DRAM_pdfam,nr_annotation,nr_bitscore
3055,2916139,2920074,TRUE,CP101161.1,CP101161.1_3055,ORF6.faa,839.2,1.5e-252,1223,Carboxypeptidase regulatory-like domain,7.9e-09,"","",carboxypeptidase-like regulatory domain-containing protein [Halosegnis sp. ZY10],2534
45,29983,33093,FALSE,CP119801.1,CP119801.1_45,ORF6.faa,1158.1,0,953,"",,"","","",
9,6199,9729,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_9,ORF6.faa,561.3,1.7e-170,212,"",,"","","",
19,11488,14820,TRUE,FNFE01000011.1,FNFE01000011.1_19,ORF6.faa,1120.7,0,1182,"",,"","","",
55,46419,46955,FALSE,FOXI01000018.1,FOXI01000018.1_55,ORF6.faa,133.3,2.6e-41,175,"",,"","","succinylglutamate desuccinylase/aspartoacylase family protein, partial [Halolamina sp. R1-12]",314
1,2,1678,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_1,ORF6.faa,368.8,9.2e-113,467,"",,"","",carboxypeptidase regulatory-like domain-containing protein [Natronomonas sp. CBA1123],446
12,6704,10945,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_12,ORF6.faa,552.7,9.6e-168,1223,Calcium-dependent phosphotriesterase,1.63e-06,"","","",
32,28415,32692,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_32,ORF6.faa,876,1.5e-265,433,YVTN repeat-like/Quinoprotein amine dehydrogenase,4e-24,"","","",
4,3437,7180,FALSE,JAAOHU010000009.1,JAAOHU010000009.1_4,ORF6.faa,1237.9,0,1164,CELL SURFACE PROTEIN,7.3e-49,"","","",
557,553752,557924,TRUE,JAJCVI010000002.1,JAJCVI010000002.1_557,ORF6.faa,992.4,1.7e-299,1213,Quinoprotein alcohol dehydrogenase-like,3.37e-13,"","","",
12,18629,20647,TRUE,JAJCVI010000007.1,JAJCVI010000007.1_12,ORF6.faa,172.2,2.1e-52,593,Kelch motif,2.09e-43,"","","",
13,20610,23183,TRUE,JAJCVI010000007.1,JAJCVI010000007.1_13,ORF6.faa,483.5,2.3e-146,312,"",,"","",PQQ-binding-like beta-propeller repeat protein [Halosolutus gelatinilyticus],147
81,49809,53501,TRUE,JDTG01000019.1,JDTG01000019.1_81,ORF6.faa,1251.3,0,1179,Quinoprotein alcohol dehydrogenase-like,2.16e-63,"","","",
7,6074,10228,TRUE,KX687704.1,KX687704.1_7,ORF6.faa,1080.2,0,1227,YVTN repeat-like/Quinoprotein amine dehydrogenase,1.88e-33,"","",carboxypeptidase-like regulatory domain-containing protein [Salinirubellus salinus],250
88,61622,65776,TRUE,KX906370.1,KX906370.1_88,ORF6.faa,1080.2,0,1227,YVTN repeat-like/Quinoprotein amine dehydrogenase,1.88e-33,"","",carboxypeptidase-like regulatory domain-containing protein [Salinirubellus salinus],250
61,59154,63458,FALSE,LOAJ01000002.1,LOAJ01000002.1_61,ORF6.faa,1042.3,0,840,Quinoprotein alcohol dehydrogenase-like,5.49e-16,"","","",
13,7016,10582,TRUE,LWLN01000003.1,LWLN01000003.1_13,ORF6.faa,855,7.5e-259,252,Concanavalin A-like lectins/glucanases,6.34e-17,"","",PQQ-binding-like beta-propeller repeat protein [Halorussus sp. XZYJT10],294
9,5547,8963,TRUE,NC_013748.1,NC_013748.1_9,ORF6.faa,1100.2,0,1179,"",,"","","",
102,64638,67985,FALSE,NC_015659.1,NC_015659.1_102,ORF6.faa,1203.2,0,1178,"",,"","","",
18,21917,23119,TRUE,QKNW01000002.1,QKNW01000002.1_18,ORF6.faa,119.8,9.5e-37,154,CELL SURFACE PROTEIN,3e-57,"","","",
41,41833,46122,FALSE,QKNW01000002.1,QKNW01000002.1_41,ORF6.faa,840.4,2.8e-254,1211,"",,"","","",
28,28915,30003,TRUE,RJJW01000001.1,RJJW01000001.1_28,ORF6.faa,361.1,5.6e-109,350,"",,"","",carboxypeptidase-like regulatory domain-containing protein [Salinirubellus salinus],154
127,69886,74619,TRUE,SJER01000008.1,SJER01000008.1_127,ORF6.faa,869.3,5.3e-263,219,Carboxypeptidase regulatory-like domain,2.9e-13,"","",carboxypeptidase-like regulatory domain-containing protein [Halostella litorea],2348
79,50686,54333,FALSE,SRIF01000015.1,SRIF01000015.1_79,ORF6.faa,909.7,2.1e-275,1159,Quinoprotein alcohol dehydrogenase-like,5.26e-12,"","",PQQ-binding-like beta-propeller repeat protein [Haloarcula argentinensis],715
36,27581,30700,FALSE,WSZK01000033.1,WSZK01000033.1_36,ORF6.faa,982.6,8.9e-298,1011,Quinoprotein alcohol dehydrogenase-like,4.97e-33,"","","",
