gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf
AOIR01000042.1_19	346	PANTHER	COBALT-FACTOR III C(17)-METHYLTRANSFERASE-RELATED	85	345	1.2e-92	AOIR01000042.1	19
AOIR01000042.1_19	346	Pfam	Tetrapyrrole (Corrin/Porphyrin) Methylases	94	305	3.6e-38	AOIR01000042.1	19
AOIR01000042.1_104	136	PANTHER	CYTOPLASMIC PROTEIN-RELATED	5	136	2e-30	AOIR01000042.1	104
AOIR01000042.1_104	136	Pfam	CoA binding domain	17	131	3.9e-38	AOIR01000042.1	104
AOIR01000042.1_104	136	SUPERFAMILY	NAD(P)-binding Rossmann-fold domains	9	134	4.22e-37	AOIR01000042.1	104
AOIR01000042.1_104	136	SMART	CoA_binding_2	12	105	2.8e-18	AOIR01000042.1	104
AOIR01000042.1_35	274	Pfam	Alpha/beta hydrolase family	24	264	3.7e-20	AOIR01000042.1	35
AOIR01000042.1_35	274	Gene3D	alpha/beta hydrolase	4	273	2.4e-52	AOIR01000042.1	35
AOIR01000042.1_35	274	PANTHER	MONOACYLGLYCEROL LIPASE	16	271	1.5e-29	AOIR01000042.1	35
AOIR01000042.1_35	274	SUPERFAMILY	alpha/beta-Hydrolases	5	271	1.49e-50	AOIR01000042.1	35
AOIR01000042.1_22	306	CDD	Precorrin-4_C11-MT	43	268	2.18161e-106	AOIR01000042.1	22
AOIR01000042.1_22	306	PANTHER	SIROHEME SYNTHASE-RELATED	30	286	6e-57	AOIR01000042.1	22
AOIR01000042.1_22	306	Pfam	Tetrapyrrole (Corrin/Porphyrin) Methylases	42	246	1.6e-38	AOIR01000042.1	22
AOIR01000042.1_22	306	SUPERFAMILY	Tetrapyrrole methylase	40	269	7.2e-56	AOIR01000042.1	22
AOIR01000042.1_101	284	Gene3D	UbiA prenyltransferase	161	278	1.9e-10	AOIR01000042.1	101
AOIR01000042.1_101	284	CDD	PT_UbiA_DGGGPS	9	272	5.84674e-68	AOIR01000042.1	101
AOIR01000042.1_101	284	Pfam	UbiA prenyltransferase family	25	267	2.2e-45	AOIR01000042.1	101
AOIR01000042.1_101	284	PANTHER	CHLOROPHYLL SYNTHASE	11	251	7.1e-38	AOIR01000042.1	101
AOIR01000042.1_101	284	Gene3D	UbiA prenyltransferase	14	160	3.1e-26	AOIR01000042.1	101
AOIR01000042.1_27	188	Pfam	Domain of unknown function (DUF1802)	15	181	1.7e-42	AOIR01000042.1	27
AOIR01000042.1_41	363	SUPERFAMILY	DNA breaking-rejoining enzymes	15	332	5.3e-16	AOIR01000042.1	41
AOIR01000042.1_41	363	Gene3D	Intergrase catalytic core	154	357	4.4e-17	AOIR01000042.1	41
AOIR01000042.1_41	363	CDD	DNA_BRE_C	165	343	5.15296e-09	AOIR01000042.1	41
AOIR01000042.1_106	148	SUPERFAMILY	Tryptophan synthase beta subunit-like PLP-dependent enzymes	8	140	8.38e-21	AOIR01000042.1	106
AOIR01000042.1_106	148	PANTHER	CYSTATHIONINE BETA-SYNTHASE	8	142	3.8e-19	AOIR01000042.1	106
AOIR01000042.1_106	148	Pfam	Pyridoxal-phosphate dependent enzyme	8	114	3.9e-12	AOIR01000042.1	106
AOIR01000042.1_43	1212	SUPERFAMILY	Quinoprotein alcohol dehydrogenase-like	108	386	3.14e-15	AOIR01000042.1	43
AOIR01000042.1_32	1296	Pfam	CobN/Magnesium Chelatase	109	1266	0	AOIR01000042.1	32
AOIR01000042.1_32	1296	NCBIfam	cobaltochelatase subunit CobN	6	1278	0	AOIR01000042.1	32
AOIR01000042.1_32	1296	CDD	CobN_like	39	1156	0	AOIR01000042.1	32
AOIR01000042.1_32	1296	PANTHER	MAGNESIUM-CHELATASE SUBUNIT CHLH, CHLOROPLASTIC	82	1289	0	AOIR01000042.1	32
AOIR01000042.1_15	123	Pfam	Protein of unknown function (DUF3209)	1	122	7.5e-50	AOIR01000042.1	15
AOIR01000042.1_2	166	CDD	USP_Like	3	116	5.125e-07	AOIR01000042.1	2
AOIR01000042.1_2	166	Gene3D	HUPs	2	146	7.1e-11	AOIR01000042.1	2
AOIR01000042.1_2	166	SUPERFAMILY	Adenine nucleotide alpha hydrolases-like	3	147	1.17e-10	AOIR01000042.1	2
AOIR01000042.1_2	166	Pfam	Universal stress protein family	3	121	9.2e-10	AOIR01000042.1	2
AOIR01000042.1_37	441	SUPERFAMILY	Quinoprotein alcohol dehydrogenase-like	329	416	3.34e-24	AOIR01000042.1	37
AOIR01000042.1_37	441	Pfam	PQQ-like domain	296	406	2.6e-15	AOIR01000042.1	37
AOIR01000042.1_37	441	Pfam	PQQ-like domain	117	255	5e-19	AOIR01000042.1	37
AOIR01000042.1_37	441	SUPERFAMILY	Quinoprotein alcohol dehydrogenase-like	57	323	1.06e-41	AOIR01000042.1	37
AOIR01000042.1_37	441	SMART	ire1_9	364	395	3e-06	AOIR01000042.1	37
AOIR01000042.1_37	441	SMART	ire1_9	148	179	1.3e-08	AOIR01000042.1	37
AOIR01000042.1_37	441	PANTHER	CELL SURFACE PROTEIN	263	413	8e-45	AOIR01000042.1	37
AOIR01000042.1_31	248	PANTHER	COBALT-PRECORRIN-8 METHYLMUTASE	15	225	1.1e-52	AOIR01000042.1	31
AOIR01000042.1_31	248	Pfam	Precorrin-8X methylmutase	22	222	1.5e-50	AOIR01000042.1	31
AOIR01000042.1_31	248	SUPERFAMILY	Precorrin-8X methylmutase CbiC/CobH	22	225	2.09e-43	AOIR01000042.1	31
AOIR01000042.1_3	161	CDD	USP_Like	5	139	2.70946e-30	AOIR01000042.1	3
AOIR01000042.1_3	161	Pfam	Universal stress protein family	1	139	1.8e-32	AOIR01000042.1	3
AOIR01000042.1_3	161	Gene3D	HUPs	1	141	3.3e-38	AOIR01000042.1	3
AOIR01000042.1_3	161	SUPERFAMILY	Adenine nucleotide alpha hydrolases-like	1	140	1.93e-37	AOIR01000042.1	3
AOIR01000042.1_3	161	PRINTS	Universal stress protein signature	2	20	8.5e-16	AOIR01000042.1	3
AOIR01000042.1_3	161	PRINTS	Universal stress protein signature	100	112	8.5e-16	AOIR01000042.1	3
AOIR01000042.1_3	161	PRINTS	Universal stress protein signature	118	140	8.5e-16	AOIR01000042.1	3
AOIR01000042.1_3	161	PANTHER	STRESS RESPONSE PROTEIN NHAX	49	140	2.1e-22	AOIR01000042.1	3
AOIR01000042.1_7	267	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	3	246	3.63e-63	AOIR01000042.1	7
AOIR01000042.1_7	267	PANTHER	ABC TRANSPORTER I FAMILY MEMBER 17	5	256	2.4e-58	AOIR01000042.1	7
AOIR01000042.1_7	267	CDD	ABC_PstB_phosphate_transporter	3	237	3.11141e-79	AOIR01000042.1	7
AOIR01000042.1_7	267	Pfam	ABC transporter	18	183	1.2e-31	AOIR01000042.1	7
AOIR01000042.1_7	267	SMART	AAA_5	27	230	2e-15	AOIR01000042.1	7
AOIR01000042.1_94	143	SUPERFAMILY	Cyclin-like	13	100	1.53e-06	AOIR01000042.1	94
AOIR01000042.1_87	109	Pfam	Domain of unknown function (DUF5658)	21	100	5e-08	AOIR01000042.1	87
AOIR01000042.1_36	217	Pfam	MaoC like domain	96	188	3.7e-20	AOIR01000042.1	36
AOIR01000042.1_36	217	PANTHER	HYDROXYACYL-THIOESTER DEHYDRATASE TYPE 2, MITOCHONDRIAL-RELATED	83	212	6e-25	AOIR01000042.1	36
AOIR01000042.1_36	217	CDD	R_hydratase	87	211	4.31938e-46	AOIR01000042.1	36
AOIR01000042.1_36	217	SUPERFAMILY	Thioesterase/thiol ester dehydrase-isomerase	85	211	2.14e-30	AOIR01000042.1	36
AOIR01000042.1_36	217	Gene3D	Hotdog Thioesterase	61	212	1e-35	AOIR01000042.1	36
AOIR01000042.1_21	329	Pfam	Cobalamin synthesis G N-terminal	68	146	4.4e-27	AOIR01000042.1	21
AOIR01000042.1_21	329	SUPERFAMILY	CbiG N-terminal domain-like	33	182	4.84e-37	AOIR01000042.1	21
AOIR01000042.1_21	329	PANTHER	COBALT-PRECORRIN-5A HYDROLASE	30	329	4.1e-78	AOIR01000042.1	21
AOIR01000042.1_21	329	Pfam	Cobalamin synthesis G C-terminus	211	327	8.6e-22	AOIR01000042.1	21
AOIR01000042.1_21	329	SUPERFAMILY	CobE/GbiG C-terminal domain-like	211	329	6.02e-25	AOIR01000042.1	21
AOIR01000042.1_9	316	SUPERFAMILY	Periplasmic binding protein-like II	52	282	2.17e-25	AOIR01000042.1	9
AOIR01000042.1_9	316	PANTHER	EXTRACELLULAR TUNGSTATE BINDING PROTEIN	44	294	5.7e-88	AOIR01000042.1	9
AOIR01000042.1_9	316	Pfam	PBP superfamily domain	49	274	9e-25	AOIR01000042.1	9
AOIR01000042.1_68	223	Pfam	DNA polymerase family B, exonuclease domain	74	115	9.2e-07	AOIR01000042.1	68
AOIR01000042.1_68	223	SUPERFAMILY	Ribonuclease H-like	23	219	1.45e-15	AOIR01000042.1	68
AOIR01000042.1_81	184	PANTHER	TATA-BOX BINDING PROTEIN	7	177	1.6e-20	AOIR01000042.1	81
AOIR01000042.1_81	184	PRINTS	Transcription initiation factor TFIID signature	7	22	2.1e-17	AOIR01000042.1	81
AOIR01000042.1_81	184	PRINTS	Transcription initiation factor TFIID signature	99	115	2.1e-17	AOIR01000042.1	81
AOIR01000042.1_81	184	PRINTS	Transcription initiation factor TFIID signature	124	139	2.1e-17	AOIR01000042.1	81
AOIR01000042.1_81	184	PRINTS	Transcription initiation factor TFIID signature	143	159	2.1e-17	AOIR01000042.1	81
AOIR01000042.1_81	184	SUPERFAMILY	TATA-box binding protein-like	93	178	1.4e-20	AOIR01000042.1	81
AOIR01000042.1_81	184	SUPERFAMILY	TATA-box binding protein-like	5	89	2.2e-12	AOIR01000042.1	81
AOIR01000042.1_81	184	Pfam	Transcription factor TFIID (or TATA-binding protein, TBP)	97	177	5.1e-21	AOIR01000042.1	81
AOIR01000042.1_81	184	Pfam	Transcription factor TFIID (or TATA-binding protein, TBP)	5	84	7.1e-11	AOIR01000042.1	81
AOIR01000042.1_66	258	Pfam	C-5 cytosine-specific DNA methylase	31	146	1.7e-09	AOIR01000042.1	66
AOIR01000042.1_66	258	Gene3D	Vaccinia Virus protein VP39	30	239	4.9e-18	AOIR01000042.1	66
AOIR01000042.1_66	258	SUPERFAMILY	S-adenosyl-L-methionine-dependent methyltransferases	29	169	7.21e-20	AOIR01000042.1	66
AOIR01000042.1_82	1200	Pfam	N-6 DNA Methylase	434	726	2e-16	AOIR01000042.1	82
AOIR01000042.1_82	1200	Pfam	MmeI, helicase spacer domain	390	465	3.6e-07	AOIR01000042.1	82
AOIR01000042.1_82	1200	Gene3D	Vaccinia Virus protein VP39	435	762	2.2e-46	AOIR01000042.1	82
AOIR01000042.1_82	1200	PRINTS	N12 class N6 adenine-specific DNA methyltransferase signature	455	471	3e-18	AOIR01000042.1	82
AOIR01000042.1_82	1200	PRINTS	N12 class N6 adenine-specific DNA methyltransferase signature	487	501	3e-18	AOIR01000042.1	82
AOIR01000042.1_82	1200	PRINTS	N12 class N6 adenine-specific DNA methyltransferase signature	616	628	3e-18	AOIR01000042.1	82
AOIR01000042.1_82	1200	PRINTS	N12 class N6 adenine-specific DNA methyltransferase signature	652	676	3e-18	AOIR01000042.1	82
AOIR01000042.1_82	1200	PANTHER	DNA METHYLTRANSFERASE YEEA-RELATED	213	759	2.2e-42	AOIR01000042.1	82
AOIR01000042.1_82	1200	Pfam	TaqI-like C-terminal specificity domain	881	1022	3e-09	AOIR01000042.1	82
AOIR01000042.1_82	1200	SUPERFAMILY	S-adenosyl-L-methionine-dependent methyltransferases	339	730	2.21e-52	AOIR01000042.1	82
AOIR01000042.1_6	236	SUPERFAMILY	"""Winged helix"" DNA-binding domain"	13	98	3.85e-16	AOIR01000042.1	6
AOIR01000042.1_6	236	SUPERFAMILY	MOP-like	104	226	5.1e-17	AOIR01000042.1	6
AOIR01000042.1_6	236	PANTHER	TRANSCRIPTIONAL REGULATOR MODE	13	215	1.6e-12	AOIR01000042.1	6
AOIR01000042.1_6	236	Pfam	Bacterial regulatory helix-turn-helix protein, lysR family	22	80	4.7e-08	AOIR01000042.1	6
AOIR01000042.1_6	236	Pfam	TOBE domain	160	225	5.2e-14	AOIR01000042.1	6
AOIR01000042.1_20	290	Pfam	Tetrapyrrole (Corrin/Porphyrin) Methylases	19	230	9.4e-46	AOIR01000042.1	20
AOIR01000042.1_20	290	SUPERFAMILY	Tetrapyrrole methylase	17	272	2.22e-48	AOIR01000042.1	20
AOIR01000042.1_20	290	PANTHER	COBALT-FACTOR III C(17)-METHYLTRANSFERASE-RELATED	16	286	1.9e-71	AOIR01000042.1	20
AOIR01000042.1_20	290	CDD	Precorrin_3B_C17_MT	20	283	2.17073e-98	AOIR01000042.1	20
AOIR01000042.1_18	88	Pfam	4Fe-4S single cluster domain	6	83	2.4e-18	AOIR01000042.1	18
AOIR01000042.1_1	537	Pfam	Acetyl-coenzyme A synthetase N-terminus	37	87	6.6e-14	AOIR01000042.1	1
AOIR01000042.1_1	537	SUPERFAMILY	Acetyl-CoA synthetase-like	37	537	2.35e-128	AOIR01000042.1	1
AOIR01000042.1_1	537	PANTHER	ACETYL-COENZYME A SYNTHETASE	37	537	2.9e-181	AOIR01000042.1	1
AOIR01000042.1_1	537	FunFam	Acetyl-coenzyme A synthetase	19	529	4.2e-181	AOIR01000042.1	1
AOIR01000042.1_1	537	Pfam	AMP-binding enzyme	96	534	1.2e-95	AOIR01000042.1	1
AOIR01000042.1_23	267	Pfam	Tetrapyrrole (Corrin/Porphyrin) Methylases	2	195	5.9e-37	AOIR01000042.1	23
AOIR01000042.1_23	267	PANTHER	COBALT-PRECORRIN-2 C(20)-METHYLTRANSFERASE	1	217	3.3e-56	AOIR01000042.1	23
AOIR01000042.1_23	267	PIRSF	Precrrn-2_mtase	1	220	1e-54	AOIR01000042.1	23
AOIR01000042.1_23	267	SUPERFAMILY	Tetrapyrrole methylase	1	205	1.96e-35	AOIR01000042.1	23
AOIR01000042.1_23	267	CDD	Precorrin_2_C20_MT	6	209	1.17284e-51	AOIR01000042.1	23
AOIR01000042.1_91	332	SUPERFAMILY	Zinc beta-ribbon	33	75	1.6e-10	AOIR01000042.1	91
AOIR01000042.1_91	332	PRINTS	Transcription initiation factor IIB signature	45	65	1.3e-29	AOIR01000042.1	91
AOIR01000042.1_91	332	PRINTS	Transcription initiation factor IIB signature	67	80	1.3e-29	AOIR01000042.1	91
AOIR01000042.1_91	332	PRINTS	Transcription initiation factor IIB signature	80	101	1.3e-29	AOIR01000042.1	91
AOIR01000042.1_91	332	PRINTS	Transcription initiation factor IIB signature	188	207	1.3e-29	AOIR01000042.1	91
AOIR01000042.1_91	332	PRINTS	Transcription initiation factor IIB signature	278	294	1.3e-29	AOIR01000042.1	91
AOIR01000042.1_91	332	PRINTS	Transcription initiation factor IIB signature	310	324	1.3e-29	AOIR01000042.1	91
AOIR01000042.1_91	332	Pfam	TFIIB zinc-binding	35	72	1.5e-09	AOIR01000042.1	91
AOIR01000042.1_91	332	PANTHER	TRANSCRIPTION INITIATION FACTOR IIB-RELATED	35	320	5e-43	AOIR01000042.1	91
AOIR01000042.1_91	332	Pfam	Transcription factor TFIIB repeat	235	323	5.5e-10	AOIR01000042.1	91
AOIR01000042.1_91	332	Pfam	Transcription factor TFIIB repeat	140	214	5.4e-15	AOIR01000042.1	91
AOIR01000042.1_91	332	SUPERFAMILY	Cyclin-like	238	327	1.02e-13	AOIR01000042.1	91
AOIR01000042.1_91	332	SUPERFAMILY	Cyclin-like	144	213	1.82e-16	AOIR01000042.1	91
AOIR01000042.1_24	201	PANTHER	COBALT-PRECORRIN-6B C(15)-METHYLTRANSFERASE (DECARBOXYLATING)	15	179	9.7e-23	AOIR01000042.1	24
AOIR01000042.1_24	201	SUPERFAMILY	S-adenosyl-L-methionine-dependent methyltransferases	12	118	8.28e-15	AOIR01000042.1	24
AOIR01000042.1_24	201	NCBIfam	precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT	14	130	2.2e-25	AOIR01000042.1	24
AOIR01000042.1_24	201	Gene3D	Vaccinia Virus protein VP39	7	190	2.3e-36	AOIR01000042.1	24
AOIR01000042.1_44	560	Pfam	Subtilase family	245	501	5.4e-37	AOIR01000042.1	44
AOIR01000042.1_44	560	PRINTS	Subtilisin serine protease family (S8) signature	245	264	2.9e-13	AOIR01000042.1	44
AOIR01000042.1_44	560	PRINTS	Subtilisin serine protease family (S8) signature	292	305	2.9e-13	AOIR01000042.1	44
AOIR01000042.1_44	560	PRINTS	Subtilisin serine protease family (S8) signature	463	479	2.9e-13	AOIR01000042.1	44
AOIR01000042.1_44	560	SUPERFAMILY	Subtilisin-like	236	525	1.17e-52	AOIR01000042.1	44
AOIR01000042.1_44	560	PANTHER	PEPTIDASE S8	157	484	2.9e-37	AOIR01000042.1	44
AOIR01000042.1_44	560	Gene3D	Peptidase S8/S53 domain	217	527	1.2e-55	AOIR01000042.1	44
AOIR01000042.1_90	67	Pfam	MarR family	8	53	2.6e-06	AOIR01000042.1	90
AOIR01000042.1_90	67	SUPERFAMILY	"""Winged helix"" DNA-binding domain"	10	55	7.67e-06	AOIR01000042.1	90
AOIR01000042.1_88	208	Pfam	DNA N-6-adenine-methyltransferase (Dam)	25	147	2e-18	AOIR01000042.1	88
AOIR01000042.1_34	517	NCBIfam	purine/pyrimidine permease	30	417	3.3e-22	AOIR01000042.1	34
AOIR01000042.1_34	517	PANTHER	XANTHINE-URACIL / VITAMIN C PERMEASE FAMILY MEMBER	15	502	2.6e-125	AOIR01000042.1	34
AOIR01000042.1_34	517	Pfam	Permease family	28	420	4e-73	AOIR01000042.1	34
AOIR01000042.1_30	263	NCBIfam	precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE	36	239	4.4e-33	AOIR01000042.1	30
AOIR01000042.1_30	263	SUPERFAMILY	Tetrapyrrole methylase	31	251	3.53e-39	AOIR01000042.1	30
AOIR01000042.1_30	263	Pfam	Tetrapyrrole (Corrin/Porphyrin) Methylases	33	238	3e-30	AOIR01000042.1	30
AOIR01000042.1_30	263	PANTHER	COBALT-PRECORRIN-6B C(15)-METHYLTRANSFERASE (DECARBOXYLATING)	32	244	2.2e-47	AOIR01000042.1	30
AOIR01000042.1_30	263	CDD	Precorrin-6Y-MT	36	260	5.25753e-44	AOIR01000042.1	30
CP050018.1_26	54	Pfam	Protein of unknown function (DUF1059)	3	49	3.4e-08	CP050018.1	26
CP050018.1_2	83	SUPERFAMILY	RelE-like	1	78	1.06e-10	CP050018.1	2
CP050018.1_2	83	Pfam	ParE toxin of type II toxin-antitoxin system, parDE	9	78	2.9e-06	CP050018.1	2
CP050018.1_43	517	SUPERFAMILY	Subtilisin-like	168	477	1.31e-45	CP050018.1	43
CP050018.1_43	517	Pfam	Subtilase family	180	443	1.6e-34	CP050018.1	43
CP050018.1_43	517	PRINTS	Subtilisin serine protease family (S8) signature	179	198	2.5e-10	CP050018.1	43
CP050018.1_43	517	PRINTS	Subtilisin serine protease family (S8) signature	234	247	2.5e-10	CP050018.1	43
CP050018.1_43	517	PRINTS	Subtilisin serine protease family (S8) signature	416	432	2.5e-10	CP050018.1	43
CP050018.1_43	517	Gene3D	Peptidase S8/S53 domain	163	481	4.6e-50	CP050018.1	43
CP050018.1_43	517	PANTHER	PEPTIDASE S8	96	442	7.6e-33	CP050018.1	43
CP050018.1_88	226	SUPERFAMILY	NAD(P)-binding Rossmann-fold domains	7	139	2.6e-31	CP050018.1	88
CP050018.1_88	226	Pfam	TrkA-N domain	7	117	8.7e-31	CP050018.1	88
CP050018.1_88	226	PRINTS	TrkA potassium uptake protein signature	4	18	5.4e-10	CP050018.1	88
CP050018.1_88	226	PRINTS	TrkA potassium uptake protein signature	21	35	5.4e-10	CP050018.1	88
CP050018.1_88	226	PRINTS	TrkA potassium uptake protein signature	50	60	5.4e-10	CP050018.1	88
CP050018.1_88	226	PRINTS	TrkA potassium uptake protein signature	61	71	5.4e-10	CP050018.1	88
CP050018.1_88	226	PRINTS	TrkA potassium uptake protein signature	74	88	5.4e-10	CP050018.1	88
CP050018.1_88	226	Pfam	TrkA-C domain	150	212	1.9e-06	CP050018.1	88
CP050018.1_88	226	SUPERFAMILY	TrkA C-terminal domain-like	143	218	1.57e-07	CP050018.1	88
CP050018.1_88	226	PANTHER	POTASSIUM CHANNEL PROTEIN 2-RELATED-RELATED	7	216	3.9e-35	CP050018.1	88
CP050018.1_27	228	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	20	144	5.19e-14	CP050018.1	27
CP050018.1_27	228	Pfam	AAA domain	55	145	3.3e-06	CP050018.1	27
CP050018.1_85	598	SUPERFAMILY	Periplasmic binding protein-like II	212	593	4.52e-57	CP050018.1	85
CP050018.1_85	598	SUPERFAMILY	Periplasmic binding protein-like II	35	194	1.77e-14	CP050018.1	85
CP050018.1_85	598	Pfam	Bacterial extracellular solute-binding proteins, family 5 Middle	259	593	1e-37	CP050018.1	85
