	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
SJER01000008.1_SJER01000008.1_134	SJER01000008.1	SJER01000008.1	134	80617	80805	1	E											0
SJER01000008.1_SJER01000008.1_135	SJER01000008.1	SJER01000008.1	135	80812	81240	1	E											0
SJER01000008.1_SJER01000008.1_136	SJER01000008.1	SJER01000008.1	136	81240	82547	1	E											0
SJER01000008.1_SJER01000008.1_137	SJER01000008.1	SJER01000008.1	137	82544	82765	1	E											0
SJER01000008.1_SJER01000008.1_138	SJER01000008.1	SJER01000008.1	138	82762	83070	1	E											0
SJER01000008.1_SJER01000008.1_139	SJER01000008.1	SJER01000008.1	139	83160	83441	1	E											0
SJER01000008.1_SJER01000008.1_140	SJER01000008.1	SJER01000008.1	140	83438	84184	1	E											0
SJER01000008.1_SJER01000008.1_141	SJER01000008.1	SJER01000008.1	141	84181	85341	1	E											0
SJER01000008.1_SJER01000008.1_142	SJER01000008.1	SJER01000008.1	142	85354	86838	1	E											0
SJER01000008.1_SJER01000008.1_143	SJER01000008.1	SJER01000008.1	143	86841	88826	1	E											0
SJER01000008.1_SJER01000008.1_144	SJER01000008.1	SJER01000008.1	144	88875	91322	1	E											0
SJER01000008.1_SJER01000008.1_145	SJER01000008.1	SJER01000008.1	145	91319	92272	1	D										MCM OB domain [PF17207.6]	0
SJER01000008.1_SJER01000008.1_146	SJER01000008.1	SJER01000008.1	146	92528	94039	1	E											0
SJER01000008.1_SJER01000008.1_147	SJER01000008.1	SJER01000008.1	147	94036	94344	1	E											0
SJER01000008.1_SJER01000008.1_148	SJER01000008.1	SJER01000008.1	148	94365	94496	-1	E											0
SJER01000008.1_SJER01000008.1_149	SJER01000008.1	SJER01000008.1	149	94536	95744	-1	E											0
SJER01000008.1_SJER01000008.1_150	SJER01000008.1	SJER01000008.1	150	95977	96231	-1	E											0
SJER01000008.1_SJER01000008.1_151	SJER01000008.1	SJER01000008.1	151	96228	96635	-1	E											0
SJER01000008.1_SJER01000008.1_152	SJER01000008.1	SJER01000008.1	152	96632	96919	-1	E											0
SJER01000008.1_SJER01000008.1_153	SJER01000008.1	SJER01000008.1	153	96912	97061	-1	E											0
SJER01000008.1_SJER01000008.1_154	SJER01000008.1	SJER01000008.1	154	97058	97264	-1	E											0
SJER01000008.1_SJER01000008.1_155	SJER01000008.1	SJER01000008.1	155	97261	97674	-1	E											0
SJER01000008.1_SJER01000008.1_156	SJER01000008.1	SJER01000008.1	156	97671	98006	-1	E											0
SJER01000008.1_SJER01000008.1_157	SJER01000008.1	SJER01000008.1	157	97996	98268	-1	E											0
SJER01000008.1_SJER01000008.1_158	SJER01000008.1	SJER01000008.1	158	98265	98633	-1	E											0
SJER01000008.1_SJER01000008.1_159	SJER01000008.1	SJER01000008.1	159	98633	98923	-1	E											0
SJER01000008.1_SJER01000008.1_160	SJER01000008.1	SJER01000008.1	160	98913	99407	-1	E											0
SJER01000008.1_SJER01000008.1_161	SJER01000008.1	SJER01000008.1	161	99407	100315	-1	E											0
SJER01000008.1_SJER01000008.1_162	SJER01000008.1	SJER01000008.1	162	100316	100660	-1	E											0
SJER01000008.1_SJER01000008.1_163	SJER01000008.1	SJER01000008.1	163	100660	101091	-1	E											0
SJER01000008.1_SJER01000008.1_164	SJER01000008.1	SJER01000008.1	164	101091	101234	-1	E											0
SJER01000008.1_SJER01000008.1_165	SJER01000008.1	SJER01000008.1	165	101231	101551	-1	E											0
