	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
JAJCVI010000002.1_JAJCVI010000002.1_15	JAJCVI010000002.1	JAJCVI010000002.1	15	10945	11289	-1	D										Halobacterial output domain 1 [PF18545.4]					0
JAJCVI010000002.1_JAJCVI010000002.1_16	JAJCVI010000002.1	JAJCVI010000002.1	16	11348	11998	-1	D										GAF and HTH_10 associated domain [PF15915.8]; HTH DNA binding domain [PF04967.15]					0
JAJCVI010000002.1_JAJCVI010000002.1_17	JAJCVI010000002.1	JAJCVI010000002.1	17	12077	12439	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_18	JAJCVI010000002.1	JAJCVI010000002.1	18	12920	14062	-1	C	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]								Acyl-CoA dehydrogenase, C-terminal domain [PF00441.27]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.19]; Acyl-CoA dehydrogenase, middle domain [PF02770.22]; Acyl-CoA dehydrogenase, C-terminal domain [PF08028.14]					0
JAJCVI010000002.1_JAJCVI010000002.1_19	JAJCVI010000002.1	JAJCVI010000002.1	19	14239	14859	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_20	JAJCVI010000002.1	JAJCVI010000002.1	20	14893	16437	-1	D										FAD binding domain of DNA photolyase [PF03441.17]; DNA photolyase [PF00875.21]					0
JAJCVI010000002.1_JAJCVI010000002.1_21	JAJCVI010000002.1	JAJCVI010000002.1	21	16442	16708	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_22	JAJCVI010000002.1	JAJCVI010000002.1	22	16874	18556	1	C	K01848	methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]								Methylmalonyl-CoA mutase [PF01642.25]					0
JAJCVI010000002.1_JAJCVI010000002.1_23	JAJCVI010000002.1	JAJCVI010000002.1	23	18621	19568	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_24	JAJCVI010000002.1	JAJCVI010000002.1	24	19575	20576	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_25	JAJCVI010000002.1	JAJCVI010000002.1	25	20692	21810	-1	D										Aminotransferase class-V [PF00266.22]					0
JAJCVI010000002.1_JAJCVI010000002.1_26	JAJCVI010000002.1	JAJCVI010000002.1	26	21941	22327	1	C	K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]								Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF13669.9]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]; Glyoxalase-like domain [PF13468.9]					0
JAJCVI010000002.1_JAJCVI010000002.1_27	JAJCVI010000002.1	JAJCVI010000002.1	27	22376	22837	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_28	JAJCVI010000002.1	JAJCVI010000002.1	28	22920	23510	-1	C	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]								NUDIX domain [PF00293.31]					0
JAJCVI010000002.1_JAJCVI010000002.1_29	JAJCVI010000002.1	JAJCVI010000002.1	29	23574	24161	-1	D										NUDIX domain [PF00293.31]					0
JAJCVI010000002.1_JAJCVI010000002.1_30	JAJCVI010000002.1	JAJCVI010000002.1	30	24231	24878	-1	D										Oxidoreductase FAD-binding domain [PF00970.27]; Siderophore-interacting FAD-binding domain [PF08021.14]					0
JAJCVI010000002.1_JAJCVI010000002.1_31	JAJCVI010000002.1	JAJCVI010000002.1	31	25060	26814	1	C	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]								Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg [PF01855.22]; Pyruvate ferredoxin/flavodoxin oxidoreductase [PF01558.21]; Pyruvate:ferredoxin oxidoreductase core domain II [PF17147.7]					0
JAJCVI010000002.1_JAJCVI010000002.1_32	JAJCVI010000002.1	JAJCVI010000002.1	32	26811	27674	1	C	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]								Pyruvate ferredoxin oxidoreductase beta subunit C terminal [PF12367.11]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]					0
JAJCVI010000002.1_JAJCVI010000002.1_33	JAJCVI010000002.1	JAJCVI010000002.1	33	28159	29643	1	C	K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]								GatB/GatE catalytic domain [PF02934.18]; GatB domain [PF02637.21]					0
JAJCVI010000002.1_JAJCVI010000002.1_34	JAJCVI010000002.1	JAJCVI010000002.1	34	29733	31316	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; PAS fold [PF08448.13]; His Kinase A (phospho-acceptor) domain [PF00512.28]; PAS fold [PF00989.28]; PAS domain [PF13426.10]					0
JAJCVI010000002.1_JAJCVI010000002.1_35	JAJCVI010000002.1	JAJCVI010000002.1	35	31561	34053	1	C	K03168	DNA topoisomerase I [EC:5.6.2.1]								DNA topoisomerase [PF01131.23]; Toprim domain [PF01751.25]; Helix-hairpin-helix domain [PF14520.9]; Topoisomerase DNA binding C4 zinc finger [PF01396.22]					0
JAJCVI010000002.1_JAJCVI010000002.1_36	JAJCVI010000002.1	JAJCVI010000002.1	36	34120	34821	1	C	K17104	phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]								PcrB family [PF01884.20]					0
JAJCVI010000002.1_JAJCVI010000002.1_37	JAJCVI010000002.1	JAJCVI010000002.1	37	34957	36297	1	C	K03699	magnesium and cobalt exporter, CNNM family								Cyclin M transmembrane N-terminal domain [PF01595.23]; Transporter associated domain [PF03471.20]					0
JAJCVI010000002.1_JAJCVI010000002.1_38	JAJCVI010000002.1	JAJCVI010000002.1	38	36397	37707	1	C	K09759	nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]								tRNA synthetases class II (D, K and N) [PF00152.23]; OB-fold nucleic acid binding domain [PF01336.28]					0
JAJCVI010000002.1_JAJCVI010000002.1_39	JAJCVI010000002.1	JAJCVI010000002.1	39	38329	39156	1	C	K06982	pantoate kinase [EC:2.7.1.169]								GHMP kinases N terminal domain [PF00288.29]					0
JAJCVI010000002.1_JAJCVI010000002.1_40	JAJCVI010000002.1	JAJCVI010000002.1	40	39288	42113	1	C	K09946	uncharacterized protein								Domain of unknown function (DUF1508) [PF07411.15]					0
JAJCVI010000002.1_JAJCVI010000002.1_41	JAJCVI010000002.1	JAJCVI010000002.1	41	42222	42980	1	C	K09722	4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]								Phosphopantothenate/pantothenate synthetase [PF02006.19]					0
JAJCVI010000002.1_JAJCVI010000002.1_42	JAJCVI010000002.1	JAJCVI010000002.1	42	43108	45675	1	D			MER0413366	S01A	MER0413366 - subfamily S1A non-peptidase homologues (Solanum lycopersicum) [S01.UNA]#S01A#{peptidase unit: 283-413}~source Solyc04g063360~	False	0.449	93.0	2.054e-17	ATPase family associated with various cellular activities (AAA) [PF00004.32]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; Bacterial dnaA  protein [PF00308.21]; AAA domain (Cdc48 subfamily) [PF07724.17]; AAA domain (dynein-related subfamily) [PF07728.17]; AAA domain [PF13173.9]					0
JAJCVI010000002.1_JAJCVI010000002.1_43	JAJCVI010000002.1	JAJCVI010000002.1	43	45790	46353	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_44	JAJCVI010000002.1	JAJCVI010000002.1	44	46462	47403	1	C	K22699	sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]								FAD dependent oxidoreductase [PF12831.10]; HI0933-like protein [PF03486.17]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; FAD binding domain [PF00890.27]; Flavin-binding monooxygenase-like [PF00743.22]; NAD(P)-binding Rossmann-like domain [PF13450.9]; Lycopene cyclase protein [PF05834.15]; FAD binding domain [PF01494.22]; FAD dependent oxidoreductase [PF01266.27]					0
JAJCVI010000002.1_JAJCVI010000002.1_45	JAJCVI010000002.1	JAJCVI010000002.1	45	47722	49014	1	C	K01881	prolyl-tRNA synthetase [EC:6.1.1.15]								tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.28]; Anticodon binding domain [PF03129.23]					0
JAJCVI010000002.1_JAJCVI010000002.1_46	JAJCVI010000002.1	JAJCVI010000002.1	46	49021	49611	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_47	JAJCVI010000002.1	JAJCVI010000002.1	47	49684	51006	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_48	JAJCVI010000002.1	JAJCVI010000002.1	48	51054	52346	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_49	JAJCVI010000002.1	JAJCVI010000002.1	49	52398	53174	-1	D										ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13649.9]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08242.15]; Methyltransferase small domain [PF05175.17]; Tellurite resistance protein TehB [PF03848.17]; Methionine biosynthesis protein MetW [PF07021.15]; FtsJ-like methyltransferase [PF01728.22]; tRNA methyltransferase complex GCD14 subunit [PF08704.13]; Mitochondrial small ribosomal subunit Rsm22 [PF09243.13]					0
JAJCVI010000002.1_JAJCVI010000002.1_50	JAJCVI010000002.1	JAJCVI010000002.1	50	53171	54070	-1	C	K22206	XRE family transcriptional regulator, thiamine biosynthesis regulator								Thiamine-phosphate synthase [PF10120.12]					0
JAJCVI010000002.1_JAJCVI010000002.1_51	JAJCVI010000002.1	JAJCVI010000002.1	51	54067	54729	-1	C	K01494	dCTP deaminase [EC:3.5.4.13]								2'-deoxycytidine 5'-triphosphate deaminase (DCD) [PF06559.14]; dUTPase [PF00692.22]					0
JAJCVI010000002.1_JAJCVI010000002.1_52	JAJCVI010000002.1	JAJCVI010000002.1	52	54835	55305	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_53	JAJCVI010000002.1	JAJCVI010000002.1	53	55424	55762	1	C	K04794	peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]								Peptidyl-tRNA hydrolase PTH2 [PF01981.19]					0
JAJCVI010000002.1_JAJCVI010000002.1_54	JAJCVI010000002.1	JAJCVI010000002.1	54	55762	56805	1	C	K00847	fructokinase [EC:2.7.1.4]								pfkB family carbohydrate kinase [PF00294.27]					0
JAJCVI010000002.1_JAJCVI010000002.1_55	JAJCVI010000002.1	JAJCVI010000002.1	55	56802	58208	1	C	K06176	tRNA pseudouridine13 synthase [EC:5.4.99.27]								tRNA pseudouridine synthase D (TruD) [PF01142.21]					0
JAJCVI010000002.1_JAJCVI010000002.1_56	JAJCVI010000002.1	JAJCVI010000002.1	56	58237	58515	-1	D										Amphi-Trp domain [PF20068.2]					0
JAJCVI010000002.1_JAJCVI010000002.1_57	JAJCVI010000002.1	JAJCVI010000002.1	57	58621	59043	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_58	JAJCVI010000002.1	JAJCVI010000002.1	58	59053	60234	-1	C	K06942	ribosome-binding ATPase								GTPase of unknown function C-terminal [PF08438.13]; 50S ribosome-binding GTPase [PF01926.26]; Ferrous iron transport protein B [PF02421.21]; TGS domain [PF02824.24]					0
JAJCVI010000002.1_JAJCVI010000002.1_59	JAJCVI010000002.1	JAJCVI010000002.1	59	60967	61332	1	C	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]								Carboxymuconolactone decarboxylase family [PF02627.23]					0
JAJCVI010000002.1_JAJCVI010000002.1_60	JAJCVI010000002.1	JAJCVI010000002.1	60	61417	62271	-1	D										Polymer-forming cytoskeletal [PF04519.16]					0
JAJCVI010000002.1_JAJCVI010000002.1_61	JAJCVI010000002.1	JAJCVI010000002.1	61	62428	62628	1	D										Family of unknown function (DUF5800) [PF19115.3]					0
JAJCVI010000002.1_JAJCVI010000002.1_62	JAJCVI010000002.1	JAJCVI010000002.1	62	62742	63209	-1	C	K07104	catechol 2,3-dioxygenase [EC:1.13.11.2]								Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]; Glyoxalase-like domain [PF12681.10]; Glyoxalase-like domain [PF18029.4]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF13669.9]					0
JAJCVI010000002.1_JAJCVI010000002.1_63	JAJCVI010000002.1	JAJCVI010000002.1	63	63257	63901	-1	E															1
JAJCVI010000002.1_JAJCVI010000002.1_64	JAJCVI010000002.1	JAJCVI010000002.1	64	63939	65060	-1	D										Aminotransferase class I and II [PF00155.24]; DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.20]; Beta-eliminating lyase [PF01212.24]					0
JAJCVI010000002.1_JAJCVI010000002.1_65	JAJCVI010000002.1	JAJCVI010000002.1	65	65166	65906	-1	C	K06869	uncharacterized protein								PAC2 family [PF09754.12]					0
JAJCVI010000002.1_JAJCVI010000002.1_66	JAJCVI010000002.1	JAJCVI010000002.1	66	66081	67013	1	C	K22446	tRNA (cytosine49-C5)-methyltransferase [EC:2.1.1.-]								16S rRNA methyltransferase RsmB/F [PF01189.20]; N-terminal domain of 16S rRNA methyltransferase RsmF [PF17125.8]					0
JAJCVI010000002.1_JAJCVI010000002.1_67	JAJCVI010000002.1	JAJCVI010000002.1	67	67010	67534	1	D										RNA-binding PUA-like domain of methyltransferase RsmF [PF13636.9]					0
JAJCVI010000002.1_JAJCVI010000002.1_68	JAJCVI010000002.1	JAJCVI010000002.1	68	67643	68071	1	D										CBS domain [PF00571.31]					0
JAJCVI010000002.1_JAJCVI010000002.1_69	JAJCVI010000002.1	JAJCVI010000002.1	69	68293	69849	-1	C	K09744	uncharacterized protein								Protein of unknown function (DUF790) [PF05626.14]					0
JAJCVI010000002.1_JAJCVI010000002.1_70	JAJCVI010000002.1	JAJCVI010000002.1	70	69971	70378	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_71	JAJCVI010000002.1	JAJCVI010000002.1	71	70412	71842	-1	C	K10843	DNA excision repair protein ERCC-3 [EC:5.6.2.4]								ERCC3/RAD25/XPB C-terminal helicase [PF16203.8]; Type III restriction enzyme, res subunit [PF04851.18]; Xeroderma pigmentosum group B helicase damage recognition domain [PF18458.4]; SNF2-related domain [PF00176.26]; Helicase conserved C-terminal domain [PF00271.34]; DEAD/DEAH box helicase [PF00270.32]					0
JAJCVI010000002.1_JAJCVI010000002.1_72	JAJCVI010000002.1	JAJCVI010000002.1	72	71936	72964	1	C	K03687	molecular chaperone GrpE								GrpE [PF01025.22]					0
JAJCVI010000002.1_JAJCVI010000002.1_73	JAJCVI010000002.1	JAJCVI010000002.1	73	73087	74973	1	C	K04043	molecular chaperone DnaK								Hsp70 protein [PF00012.23]; MreB/Mbl protein [PF06723.16]					0
JAJCVI010000002.1_JAJCVI010000002.1_74	JAJCVI010000002.1	JAJCVI010000002.1	74	75142	76329	1	C	K03686	molecular chaperone DnaJ								DnaJ C terminal domain [PF01556.21]; DnaJ central domain [PF00684.22]; DnaJ domain [PF00226.34]					0
JAJCVI010000002.1_JAJCVI010000002.1_75	JAJCVI010000002.1	JAJCVI010000002.1	75	76411	77223	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_76	JAJCVI010000002.1	JAJCVI010000002.1	76	77227	78024	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_77	JAJCVI010000002.1	JAJCVI010000002.1	77	78242	78964	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_78	JAJCVI010000002.1	JAJCVI010000002.1	78	79003	79872	-1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]					0
JAJCVI010000002.1_JAJCVI010000002.1_79	JAJCVI010000002.1	JAJCVI010000002.1	79	80153	80863	1	D										HTH DNA binding domain [PF04967.15]					0
JAJCVI010000002.1_JAJCVI010000002.1_80	JAJCVI010000002.1	JAJCVI010000002.1	80	80897	81634	-1	D										ABC transporter [PF00005.30]					0
JAJCVI010000002.1_JAJCVI010000002.1_81	JAJCVI010000002.1	JAJCVI010000002.1	81	81631	82407	-1	D										ABC transporter [PF00005.30]					0
JAJCVI010000002.1_JAJCVI010000002.1_82	JAJCVI010000002.1	JAJCVI010000002.1	82	82409	83611	-1	C	K01998	branched-chain amino acid transport system permease protein								Branched-chain amino acid transport system / permease component [PF02653.19]					0
JAJCVI010000002.1_JAJCVI010000002.1_83	JAJCVI010000002.1	JAJCVI010000002.1	83	83608	84546	-1	C	K01997	branched-chain amino acid transport system permease protein								Branched-chain amino acid transport system / permease component [PF02653.19]					0
JAJCVI010000002.1_JAJCVI010000002.1_84	JAJCVI010000002.1	JAJCVI010000002.1	84	84605	85885	-1	D										Periplasmic binding protein [PF13458.9]					0
JAJCVI010000002.1_JAJCVI010000002.1_85	JAJCVI010000002.1	JAJCVI010000002.1	85	86157	88160	-1	D										AMP-binding enzyme [PF00501.31]; AMP-binding enzyme C-terminal domain [PF13193.9]; Acetyl-coenzyme A synthetase N-terminus [PF16177.8]					0
JAJCVI010000002.1_JAJCVI010000002.1_86	JAJCVI010000002.1	JAJCVI010000002.1	86	88245	88565	-1	C	K03057	transcription factor S								Transcription factor S-II (TFIIS) [PF01096.21]; RNA polymerases M/15 Kd subunit [PF02150.19]					0
JAJCVI010000002.1_JAJCVI010000002.1_87	JAJCVI010000002.1	JAJCVI010000002.1	87	88661	88894	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_88	JAJCVI010000002.1	JAJCVI010000002.1	88	89028	89528	1	D										Family of unknown function (DUF5797) [PF19110.3]					0
JAJCVI010000002.1_JAJCVI010000002.1_89	JAJCVI010000002.1	JAJCVI010000002.1	89	89548	90915	-1	D										Family of unknown function (DUF5787) [PF19100.3]					0
JAJCVI010000002.1_JAJCVI010000002.1_90	JAJCVI010000002.1	JAJCVI010000002.1	90	91146	91583	-1	C	K01518	bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17]								NUDIX domain [PF00293.31]					0
JAJCVI010000002.1_JAJCVI010000002.1_91	JAJCVI010000002.1	JAJCVI010000002.1	91	91673	92005	1	D										Ribosomal protein S10p/S20e [PF00338.25]					0
JAJCVI010000002.1_JAJCVI010000002.1_92	JAJCVI010000002.1	JAJCVI010000002.1	92	92184	93305	-1	C	K07058	membrane protein								Virulence factor BrkB [PF03631.18]					0
JAJCVI010000002.1_JAJCVI010000002.1_93	JAJCVI010000002.1	JAJCVI010000002.1	93	93406	93987	-1	C	K07005	uncharacterized protein								Pyridoxamine 5'-phosphate oxidase [PF12900.10]					0
JAJCVI010000002.1_JAJCVI010000002.1_94	JAJCVI010000002.1	JAJCVI010000002.1	94	94093	95370	1	C	K12940	aminobenzoyl-glutamate utilization protein A	MER0220076	M20D	MER0220076 - p-aminobenzoyl-glutamate hydrolase subunit A (Halalkalicoccus jeotgali) [M20.020]#M20D#{peptidase unit: 6-419}~source YP_003737958~	True	0.699	580.0	1.672e-184	Peptidase family M20/M25/M40 [PF01546.31]; Peptidase dimerisation domain [PF07687.17]					0
JAJCVI010000002.1_JAJCVI010000002.1_95	JAJCVI010000002.1	JAJCVI010000002.1	95	95527	95982	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_96	JAJCVI010000002.1	JAJCVI010000002.1	96	96113	96511	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_97	JAJCVI010000002.1	JAJCVI010000002.1	97	96560	97930	-1	C	K17830	digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]								Tryptophan halogenase [PF04820.17]; FAD binding domain [PF01494.22]; FAD dependent oxidoreductase [PF12831.10]; FAD binding domain [PF00890.27]; Lycopene cyclase protein [PF05834.15]; Glucose inhibited division protein A [PF01134.25]; HI0933-like protein [PF03486.17]; FAD dependent oxidoreductase [PF01266.27]					0
JAJCVI010000002.1_JAJCVI010000002.1_98	JAJCVI010000002.1	JAJCVI010000002.1	98	98041	98373	1	D										2Fe-2S iron-sulfur cluster binding domain [PF00111.30]					0
JAJCVI010000002.1_JAJCVI010000002.1_99	JAJCVI010000002.1	JAJCVI010000002.1	99	98463	98702	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_100	JAJCVI010000002.1	JAJCVI010000002.1	100	98834	99997	-1	D										Metallo-beta-lactamase superfamily [PF00753.30]					0
JAJCVI010000002.1_JAJCVI010000002.1_101	JAJCVI010000002.1	JAJCVI010000002.1	101	100059	100691	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_102	JAJCVI010000002.1	JAJCVI010000002.1	102	100785	100988	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_103	JAJCVI010000002.1	JAJCVI010000002.1	103	101018	102451	-1	D										AI-2E family transporter [PF01594.19]					0
JAJCVI010000002.1_JAJCVI010000002.1_104	JAJCVI010000002.1	JAJCVI010000002.1	104	102707	103945	-1	C	K05308	gluconate/galactonate dehydratase [EC:4.2.1.140]								Enolase C-terminal domain-like [PF13378.9]; Mandelate racemase / muconate lactonizing enzyme, N-terminal domain [PF02746.19]					0
JAJCVI010000002.1_JAJCVI010000002.1_105	JAJCVI010000002.1	JAJCVI010000002.1	105	104033	104293	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_106	JAJCVI010000002.1	JAJCVI010000002.1	106	104406	104840	1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_107	JAJCVI010000002.1	JAJCVI010000002.1	107	105006	105644	1	C	K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]								KDPG and KHG aldolase [PF01081.22]					0
JAJCVI010000002.1_JAJCVI010000002.1_108	JAJCVI010000002.1	JAJCVI010000002.1	108	105653	106066	1	C	K08978	bacterial/archaeal transporter family protein													0
JAJCVI010000002.1_JAJCVI010000002.1_109	JAJCVI010000002.1	JAJCVI010000002.1	109	106104	108014	-1	D										PAS fold [PF08448.13]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; PAS fold [PF00989.28]; PAS domain [PF13426.10]; Histidine kinase-like ATPase domain [PF13581.9]					0
JAJCVI010000002.1_JAJCVI010000002.1_110	JAJCVI010000002.1	JAJCVI010000002.1	110	108151	108954	-1	C	K10773	endonuclease III [EC:4.2.99.18]								HhH-GPD superfamily base excision DNA repair protein [PF00730.28]					0
JAJCVI010000002.1_JAJCVI010000002.1_111	JAJCVI010000002.1	JAJCVI010000002.1	111	109034	109621	1	D										Putative integral membrane protein (DUF2391) [PF09622.13]					0
JAJCVI010000002.1_JAJCVI010000002.1_112	JAJCVI010000002.1	JAJCVI010000002.1	112	109645	110085	-1	C	K09738	uncharacterized protein								Domain of unknown function (DUF371) [PF04027.16]					0
JAJCVI010000002.1_JAJCVI010000002.1_113	JAJCVI010000002.1	JAJCVI010000002.1	113	110144	110296	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_114	JAJCVI010000002.1	JAJCVI010000002.1	114	110407	112383	1	D										Glycosyl hydrolases family 2, TIM barrel domain [PF02836.20]; Glycosyl hydrolases family 2, sugar binding domain [PF02837.21]; Glycosyl hydrolases family 2 [PF00703.24]	GH2	GH2 beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-); beta-xylosidase (EC 3.2.1.37); beta-D-galactofuranosidase (EC 3.2.1.146); beta-glucosidase (EC 3.2.1.21); beta-galacturonidase RGII specific (EC 3.2.1.-); glycyrrhizin beta-glucuronidase (EC 3.2.1.128)	3.2.1.128,3.2.1.146,3.2.1.152,3.2.1.165,3.2.1.185,3.2.1.21,3.2.1.23,3.2.1.25,3.2.1.31,3.2.1.37,3.2.1.55,3.2.1.-,3.2.1.52	GH2.hmm	0
JAJCVI010000002.1_JAJCVI010000002.1_115	JAJCVI010000002.1	JAJCVI010000002.1	115	112635	113525	1	E															0
