V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ORF
WP_090312398.1,335,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,20,-,-,-,ORF10b
WP_090312398.1,335,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,20,-,-,-,ORF10b
WP_090312398.1,335,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,16,20,-,-,-,ORF10b
WP_004048507.1,304,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",29,304,-,-,-,ORF17
WP_004048507.1,304,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,28,-,-,-,ORF17
WP_004048507.1,304,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF17
WP_004048507.1,304,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,28,-,-,-,ORF17
WP_004048507.1,304,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,24,-,-,-,ORF17
WP_004048507.1,304,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF17
WP_004048507.1,304,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,28,-,-,-,ORF17
WP_004048507.1,304,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,5,27,-,-,-,ORF17
WP_004048507.1,304,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,28,-,-,-,ORF17
WP_049904836.1,314,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,18,-,-,-,ORF17
WP_049904836.1,314,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,23,-,-,-,ORF17
WP_049904836.1,314,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,3,13,-,-,-,ORF17
WP_049904836.1,314,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF17
WP_049904836.1,314,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,2,-,-,-,ORF17
WP_049904836.1,314,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",19,314,-,-,-,ORF17
WP_049904836.1,314,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,14,18,-,-,-,ORF17
WP_049904836.1,314,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,18,-,-,-,ORF17
WP_088901266.1,305,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,28,-,-,-,ORF17
WP_088901266.1,305,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,28,-,-,-,ORF17
WP_088901266.1,305,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,28,-,-,-,ORF17
WP_088901266.1,305,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF17
WP_088901266.1,305,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",29,305,-,-,-,ORF17
WP_088901266.1,305,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,28,-,-,-,ORF17
WP_088901266.1,305,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF17
WP_088901266.1,305,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,28,-,-,-,ORF17
WP_088901266.1,305,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,5,27,-,-,-,ORF17
WP_066418790.1,303,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,28,-,-,-,ORF17
WP_066418790.1,303,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,28,-,-,-,ORF17
WP_066418790.1,303,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF17
WP_066418790.1,303,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,28,-,-,-,ORF17
WP_066418790.1,303,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,28,-,-,-,ORF17
WP_066418790.1,303,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF17
