	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
LOAJ01000002.1_LOAJ01000002.1_11	LOAJ01000002.1	LOAJ01000002.1	11	10422	12608	1	D										DNA polymerase family B [PF00136.24]	0
LOAJ01000002.1_LOAJ01000002.1_12	LOAJ01000002.1	LOAJ01000002.1	12	12633	13136	-1	D										Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) domain [PF13302.10]; Acetyltransferase (GNAT) domain [PF13420.10]; FR47-like protein [PF08445.13]	0
LOAJ01000002.1_LOAJ01000002.1_13	LOAJ01000002.1	LOAJ01000002.1	13	13487	13831	1	E											0
LOAJ01000002.1_LOAJ01000002.1_14	LOAJ01000002.1	LOAJ01000002.1	14	14248	14496	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_15	LOAJ01000002.1	LOAJ01000002.1	15	14611	15135	-1	D										HPP family [PF04982.16]	0
LOAJ01000002.1_LOAJ01000002.1_16	LOAJ01000002.1	LOAJ01000002.1	16	15346	19554	1	C	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]								Eco57I restriction-modification methylase [PF07669.14]; MmeI, DNA-methyltransferase domain [PF20473.1]; TaqI-like C-terminal specificity domain [PF12950.10]; N-6 DNA Methylase [PF02384.19]; MmeI, helicase spacer domain [PF20465.1]	0
LOAJ01000002.1_LOAJ01000002.1_17	LOAJ01000002.1	LOAJ01000002.1	17	19611	21083	1	C	K02238	competence protein ComEC								Lamin Tail Domain [PF00932.22]; Metallo-beta-lactamase superfamily [PF00753.30]	0
LOAJ01000002.1_LOAJ01000002.1_18	LOAJ01000002.1	LOAJ01000002.1	18	21085	21369	1	D										Protein of unknown function (DUF3006) [PF11213.11]	0
LOAJ01000002.1_LOAJ01000002.1_19	LOAJ01000002.1	LOAJ01000002.1	19	21514	22428	1	E											0
LOAJ01000002.1_LOAJ01000002.1_20	LOAJ01000002.1	LOAJ01000002.1	20	22636	23337	1	D										ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF08242.15]; Methionine biosynthesis protein MetW [PF07021.15]	0
LOAJ01000002.1_LOAJ01000002.1_21	LOAJ01000002.1	LOAJ01000002.1	21	23451	25118	1	D			MER0251024	S12	MER0251024 - family S12 unassigned peptidases (Halopiger xanaduensis) [S12.UPW]#S12#{peptidase unit: 58-402}~source YP_004586057~	True	0.777	548.0	4.497e-171	Beta-lactamase [PF00144.27]	0
LOAJ01000002.1_LOAJ01000002.1_22	LOAJ01000002.1	LOAJ01000002.1	22	25115	25522	1	E											0
LOAJ01000002.1_LOAJ01000002.1_23	LOAJ01000002.1	LOAJ01000002.1	23	25591	26124	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_24	LOAJ01000002.1	LOAJ01000002.1	24	26203	26994	-1	D			MER0198965	S33	MER0198965 - family S33 non-peptidase homologues (Natrialba magadii) [S33.UNW]#S33#{peptidase unit: 1-260}~source ADD05666~	True	0.786	419.0	7.246e-132	Alpha/beta hydrolase family [PF12697.10]; Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; TAP-like protein [PF08386.13]	0
LOAJ01000002.1_LOAJ01000002.1_25	LOAJ01000002.1	LOAJ01000002.1	25	27125	27811	1	D										HTH DNA binding domain [PF04967.15]; GAF and HTH_10 associated domain [PF15915.8]	0
LOAJ01000002.1_LOAJ01000002.1_26	LOAJ01000002.1	LOAJ01000002.1	26	27851	28708	1	D			MER0198965	S33	MER0198965 - family S33 non-peptidase homologues (Natrialba magadii) [S33.UNW]#S33#{peptidase unit: 1-260}~source ADD05666~	False	0.552	275.0	2.0209999999999999e-81	Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]; Thioesterase domain [PF00975.23]; TAP-like protein [PF08386.13]	0
LOAJ01000002.1_LOAJ01000002.1_27	LOAJ01000002.1	LOAJ01000002.1	27	28705	28881	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_28	LOAJ01000002.1	LOAJ01000002.1	28	28874	29320	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_29	LOAJ01000002.1	LOAJ01000002.1	29	29321	30010	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_30	LOAJ01000002.1	LOAJ01000002.1	30	30175	30402	1	E											0
LOAJ01000002.1_LOAJ01000002.1_31	LOAJ01000002.1	LOAJ01000002.1	31	30407	31081	-1	D										RNase_H superfamily [PF13482.9]; DNA polymerase family B, exonuclease domain [PF03104.22]	0
LOAJ01000002.1_LOAJ01000002.1_32	LOAJ01000002.1	LOAJ01000002.1	32	31149	31409	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_33	LOAJ01000002.1	LOAJ01000002.1	33	31549	32040	1	E											0
LOAJ01000002.1_LOAJ01000002.1_34	LOAJ01000002.1	LOAJ01000002.1	34	32210	32644	-1	C	K07090	uncharacterized protein								Universal stress protein family [PF00582.29]	0
LOAJ01000002.1_LOAJ01000002.1_35	LOAJ01000002.1	LOAJ01000002.1	35	32826	34244	1	D										Response regulator receiver domain [PF00072.27]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; PAS fold [PF08448.13]; PAS domain [PF13426.10]; His Kinase A (phospho-acceptor) domain [PF00512.28]; PAS fold [PF00989.28]	0
LOAJ01000002.1_LOAJ01000002.1_36	LOAJ01000002.1	LOAJ01000002.1	36	34463	35206	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_37	LOAJ01000002.1	LOAJ01000002.1	37	35370	35981	-1	D										Mannose-6-phosphate isomerase [PF01050.21]; Cupin [PF00190.25]	0
LOAJ01000002.1_LOAJ01000002.1_38	LOAJ01000002.1	LOAJ01000002.1	38	36361	37158	1	D										Domain of unknown function (DUF4386) [PF14329.9]	0
LOAJ01000002.1_LOAJ01000002.1_39	LOAJ01000002.1	LOAJ01000002.1	39	37442	38638	-1	C	K10725	archaeal cell division control protein 6								CDC6, C terminal winged helix domain [PF09079.14]; AAA domain [PF13401.9]; AAA ATPase domain [PF13191.9]; Bacterial TniB protein [PF05621.14]	0
LOAJ01000002.1_LOAJ01000002.1_40	LOAJ01000002.1	LOAJ01000002.1	40	39780	41405	1	E											0
LOAJ01000002.1_LOAJ01000002.1_41	LOAJ01000002.1	LOAJ01000002.1	41	41547	41984	1	E											0
LOAJ01000002.1_LOAJ01000002.1_42	LOAJ01000002.1	LOAJ01000002.1	42	41981	42391	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_43	LOAJ01000002.1	LOAJ01000002.1	43	42946	43374	-1	D										TRAM domain [PF01938.23]	0
LOAJ01000002.1_LOAJ01000002.1_44	LOAJ01000002.1	LOAJ01000002.1	44	43425	45929	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_45	LOAJ01000002.1	LOAJ01000002.1	45	45981	47948	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_46	LOAJ01000002.1	LOAJ01000002.1	46	47948	49243	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_47	LOAJ01000002.1	LOAJ01000002.1	47	49240	50265	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_48	LOAJ01000002.1	LOAJ01000002.1	48	50265	50879	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_49	LOAJ01000002.1	LOAJ01000002.1	49	50872	51105	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_50	LOAJ01000002.1	LOAJ01000002.1	50	51253	51543	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_51	LOAJ01000002.1	LOAJ01000002.1	51	51540	51782	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_52	LOAJ01000002.1	LOAJ01000002.1	52	51779	52690	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_53	LOAJ01000002.1	LOAJ01000002.1	53	52737	53054	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_54	LOAJ01000002.1	LOAJ01000002.1	54	53051	53434	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_55	LOAJ01000002.1	LOAJ01000002.1	55	53434	54165	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_56	LOAJ01000002.1	LOAJ01000002.1	56	54162	54392	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_57	LOAJ01000002.1	LOAJ01000002.1	57	54747	55037	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_58	LOAJ01000002.1	LOAJ01000002.1	58	55039	56550	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_59	LOAJ01000002.1	LOAJ01000002.1	59	56671	57471	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_60	LOAJ01000002.1	LOAJ01000002.1	60	57481	59157	-1	D			MER0987806	S08A	MER0987806 - subfamily S8A non-peptidase homologues (Halorubrum saccharovorum) [S08.UNA]#S08A#{peptidase unit: 6-224}~source M0DTE6~	True	0.805	364.0	1.607e-107	Subtilase family [PF00082.25]	0
LOAJ01000002.1_LOAJ01000002.1_61	LOAJ01000002.1	LOAJ01000002.1	61	59154	63458	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_62	LOAJ01000002.1	LOAJ01000002.1	62	63798	64454	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_63	LOAJ01000002.1	LOAJ01000002.1	63	64613	65131	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_64	LOAJ01000002.1	LOAJ01000002.1	64	65301	65429	1	E											0
LOAJ01000002.1_LOAJ01000002.1_65	LOAJ01000002.1	LOAJ01000002.1	65	65419	66600	1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]	0
LOAJ01000002.1_LOAJ01000002.1_66	LOAJ01000002.1	LOAJ01000002.1	66	66594	70112	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_67	LOAJ01000002.1	LOAJ01000002.1	67	70286	70813	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_68	LOAJ01000002.1	LOAJ01000002.1	68	71174	71386	-1	D										FaeA-like protein [PF04703.15]	0
LOAJ01000002.1_LOAJ01000002.1_69	LOAJ01000002.1	LOAJ01000002.1	69	71546	71839	1	E											0
LOAJ01000002.1_LOAJ01000002.1_70	LOAJ01000002.1	LOAJ01000002.1	70	71836	72081	1	E											0
LOAJ01000002.1_LOAJ01000002.1_71	LOAJ01000002.1	LOAJ01000002.1	71	72181	72441	1	E											0
LOAJ01000002.1_LOAJ01000002.1_72	LOAJ01000002.1	LOAJ01000002.1	72	72650	73054	1	E											0
LOAJ01000002.1_LOAJ01000002.1_73	LOAJ01000002.1	LOAJ01000002.1	73	73283	74140	1	C	K04802	proliferating cell nuclear antigen								Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]	0
LOAJ01000002.1_LOAJ01000002.1_74	LOAJ01000002.1	LOAJ01000002.1	74	74143	74511	1	E											0
LOAJ01000002.1_LOAJ01000002.1_75	LOAJ01000002.1	LOAJ01000002.1	75	74511	75032	1	E											0
LOAJ01000002.1_LOAJ01000002.1_76	LOAJ01000002.1	LOAJ01000002.1	76	75032	75127	1	E											0
LOAJ01000002.1_LOAJ01000002.1_77	LOAJ01000002.1	LOAJ01000002.1	77	75124	75771	1	E											0
LOAJ01000002.1_LOAJ01000002.1_78	LOAJ01000002.1	LOAJ01000002.1	78	75856	76224	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_79	LOAJ01000002.1	LOAJ01000002.1	79	76546	77010	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_80	LOAJ01000002.1	LOAJ01000002.1	80	77548	80181	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.9]	0
LOAJ01000002.1_LOAJ01000002.1_81	LOAJ01000002.1	LOAJ01000002.1	81	80181	80987	1	E											0
LOAJ01000002.1_LOAJ01000002.1_82	LOAJ01000002.1	LOAJ01000002.1	82	80998	81468	1	E											0
LOAJ01000002.1_LOAJ01000002.1_83	LOAJ01000002.1	LOAJ01000002.1	83	81529	81957	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_84	LOAJ01000002.1	LOAJ01000002.1	84	82146	82745	1	E											0
LOAJ01000002.1_LOAJ01000002.1_85	LOAJ01000002.1	LOAJ01000002.1	85	82785	83615	1	E											0
LOAJ01000002.1_LOAJ01000002.1_86	LOAJ01000002.1	LOAJ01000002.1	86	83664	83768	1	E											0
LOAJ01000002.1_LOAJ01000002.1_87	LOAJ01000002.1	LOAJ01000002.1	87	83944	84726	1	E											0
LOAJ01000002.1_LOAJ01000002.1_88	LOAJ01000002.1	LOAJ01000002.1	88	84723	85016	1	E											0
LOAJ01000002.1_LOAJ01000002.1_89	LOAJ01000002.1	LOAJ01000002.1	89	85013	85399	1	E											0
LOAJ01000002.1_LOAJ01000002.1_90	LOAJ01000002.1	LOAJ01000002.1	90	85401	85772	1	D										Helix-hairpin-helix motif [PF12826.10]; Helix-hairpin-helix domain [PF14520.9]	0
LOAJ01000002.1_LOAJ01000002.1_91	LOAJ01000002.1	LOAJ01000002.1	91	85769	85861	1	E											0
LOAJ01000002.1_LOAJ01000002.1_92	LOAJ01000002.1	LOAJ01000002.1	92	85858	86106	1	E											0
LOAJ01000002.1_LOAJ01000002.1_93	LOAJ01000002.1	LOAJ01000002.1	93	86212	87117	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_94	LOAJ01000002.1	LOAJ01000002.1	94	87120	88325	-1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]								C-5 cytosine-specific DNA methylase [PF00145.20]	0
LOAJ01000002.1_LOAJ01000002.1_95	LOAJ01000002.1	LOAJ01000002.1	95	88325	88909	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_96	LOAJ01000002.1	LOAJ01000002.1	96	88906	89634	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_97	LOAJ01000002.1	LOAJ01000002.1	97	89635	90306	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_98	LOAJ01000002.1	LOAJ01000002.1	98	90306	90944	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_99	LOAJ01000002.1	LOAJ01000002.1	99	91056	91214	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_100	LOAJ01000002.1	LOAJ01000002.1	100	91211	91936	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_101	LOAJ01000002.1	LOAJ01000002.1	101	92058	92831	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_102	LOAJ01000002.1	LOAJ01000002.1	102	93085	93561	1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
LOAJ01000002.1_LOAJ01000002.1_103	LOAJ01000002.1	LOAJ01000002.1	103	93622	94029	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
LOAJ01000002.1_LOAJ01000002.1_104	LOAJ01000002.1	LOAJ01000002.1	104	94217	94861	1	E											0
LOAJ01000002.1_LOAJ01000002.1_105	LOAJ01000002.1	LOAJ01000002.1	105	94999	95457	1	E											0
LOAJ01000002.1_LOAJ01000002.1_106	LOAJ01000002.1	LOAJ01000002.1	106	95724	96683	1	D										Transposase [PF01710.19]	1
LOAJ01000002.1_LOAJ01000002.1_107	LOAJ01000002.1	LOAJ01000002.1	107	96791	99964	1	E											0
LOAJ01000002.1_LOAJ01000002.1_108	LOAJ01000002.1	LOAJ01000002.1	108	100359	101372	1	D										AAA domain [PF13614.9]; VirC1 protein [PF07015.14]	0
LOAJ01000002.1_LOAJ01000002.1_109	LOAJ01000002.1	LOAJ01000002.1	109	101369	101791	1	E											0
LOAJ01000002.1_LOAJ01000002.1_110	LOAJ01000002.1	LOAJ01000002.1	110	101840	102325	1	E											0
LOAJ01000002.1_LOAJ01000002.1_111	LOAJ01000002.1	LOAJ01000002.1	111	102257	102400	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_112	LOAJ01000002.1	LOAJ01000002.1	112	102480	103508	1	E											0
LOAJ01000002.1_LOAJ01000002.1_113	LOAJ01000002.1	LOAJ01000002.1	113	103645	103974	1	E											0
LOAJ01000002.1_LOAJ01000002.1_114	LOAJ01000002.1	LOAJ01000002.1	114	103971	104582	1	E											0
LOAJ01000002.1_LOAJ01000002.1_115	LOAJ01000002.1	LOAJ01000002.1	115	104579	104797	1	E											0
LOAJ01000002.1_LOAJ01000002.1_116	LOAJ01000002.1	LOAJ01000002.1	116	104794	105270	1	E											0
LOAJ01000002.1_LOAJ01000002.1_117	LOAJ01000002.1	LOAJ01000002.1	117	105267	105617	1	E											0
LOAJ01000002.1_LOAJ01000002.1_118	LOAJ01000002.1	LOAJ01000002.1	118	105614	106261	1	D										DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]	0
LOAJ01000002.1_LOAJ01000002.1_119	LOAJ01000002.1	LOAJ01000002.1	119	106258	106875	1	D										HNH endonuclease [PF01844.26]	1
LOAJ01000002.1_LOAJ01000002.1_120	LOAJ01000002.1	LOAJ01000002.1	120	106872	107219	1	E											0
LOAJ01000002.1_LOAJ01000002.1_121	LOAJ01000002.1	LOAJ01000002.1	121	107210	107572	1	E											0
LOAJ01000002.1_LOAJ01000002.1_122	LOAJ01000002.1	LOAJ01000002.1	122	107573	108868	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_123	LOAJ01000002.1	LOAJ01000002.1	123	109006	109470	1	E											0
LOAJ01000002.1_LOAJ01000002.1_124	LOAJ01000002.1	LOAJ01000002.1	124	109598	110005	1	E											0
LOAJ01000002.1_LOAJ01000002.1_125	LOAJ01000002.1	LOAJ01000002.1	125	110042	110575	1	E											0
LOAJ01000002.1_LOAJ01000002.1_126	LOAJ01000002.1	LOAJ01000002.1	126	110588	111190	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_127	LOAJ01000002.1	LOAJ01000002.1	127	111187	111777	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_128	LOAJ01000002.1	LOAJ01000002.1	128	111777	112163	-1	D										Domain of unknown function (DUF5658) [PF18902.3]	0
LOAJ01000002.1_LOAJ01000002.1_129	LOAJ01000002.1	LOAJ01000002.1	129	112153	112575	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_130	LOAJ01000002.1	LOAJ01000002.1	130	112568	113083	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_131	LOAJ01000002.1	LOAJ01000002.1	131	113083	113451	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_132	LOAJ01000002.1	LOAJ01000002.1	132	113448	114227	-1	D										Protein of unknown function (DUF5131) [PF07505.14]	0
LOAJ01000002.1_LOAJ01000002.1_133	LOAJ01000002.1	LOAJ01000002.1	133	114217	114717	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_134	LOAJ01000002.1	LOAJ01000002.1	134	114714	115256	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_135	LOAJ01000002.1	LOAJ01000002.1	135	115249	115764	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_136	LOAJ01000002.1	LOAJ01000002.1	136	115764	116186	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_137	LOAJ01000002.1	LOAJ01000002.1	137	116176	116433	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_138	LOAJ01000002.1	LOAJ01000002.1	138	116420	117343	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_139	LOAJ01000002.1	LOAJ01000002.1	139	117333	118130	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_140	LOAJ01000002.1	LOAJ01000002.1	140	118081	118977	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_141	LOAJ01000002.1	LOAJ01000002.1	141	118970	119938	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_142	LOAJ01000002.1	LOAJ01000002.1	142	120145	120606	1	E											0
LOAJ01000002.1_LOAJ01000002.1_143	LOAJ01000002.1	LOAJ01000002.1	143	120715	120888	1	E											0
LOAJ01000002.1_LOAJ01000002.1_144	LOAJ01000002.1	LOAJ01000002.1	144	120944	121423	1	E											0
LOAJ01000002.1_LOAJ01000002.1_145	LOAJ01000002.1	LOAJ01000002.1	145	121659	121820	1	E											0
LOAJ01000002.1_LOAJ01000002.1_146	LOAJ01000002.1	LOAJ01000002.1	146	121813	121953	1	E											0
LOAJ01000002.1_LOAJ01000002.1_147	LOAJ01000002.1	LOAJ01000002.1	147	122015	122248	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_148	LOAJ01000002.1	LOAJ01000002.1	148	122371	123156	1	D										Xylose isomerase-like TIM barrel [PF01261.27]	0
LOAJ01000002.1_LOAJ01000002.1_149	LOAJ01000002.1	LOAJ01000002.1	149	123177	124148	-1	D										ABC transporter, phosphonate, periplasmic substrate-binding protein [PF12974.10]	0
LOAJ01000002.1_LOAJ01000002.1_150	LOAJ01000002.1	LOAJ01000002.1	150	124318	125751	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_151	LOAJ01000002.1	LOAJ01000002.1	151	125752	127002	-1	D										Phage integrase family [PF00589.25]	0
LOAJ01000002.1_LOAJ01000002.1_152	LOAJ01000002.1	LOAJ01000002.1	152	127374	127898	-1	C	K07495	putative transposase								Transposase DDE domain [PF01609.24]	0
LOAJ01000002.1_LOAJ01000002.1_153	LOAJ01000002.1	LOAJ01000002.1	153	127898	129049	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_154	LOAJ01000002.1	LOAJ01000002.1	154	129130	130377	-1	C	K17830	digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]								Lycopene cyclase protein [PF05834.15]; FAD binding domain [PF01494.22]; FAD dependent oxidoreductase [PF12831.10]; Tryptophan halogenase [PF04820.17]; FAD dependent oxidoreductase [PF01266.27]; HI0933-like protein [PF03486.17]; Glucose inhibited division protein A [PF01134.25]; FAD binding domain [PF00890.27]	0
LOAJ01000002.1_LOAJ01000002.1_155	LOAJ01000002.1	LOAJ01000002.1	155	130472	130804	-1	C	K03297	small multidrug resistance pump								Small Multidrug Resistance protein [PF00893.22]	0
LOAJ01000002.1_LOAJ01000002.1_156	LOAJ01000002.1	LOAJ01000002.1	156	130888	131676	1	C	K23356	HTH-type transcriptional regulator, sugar sensing transcriptional regulator								Sugar-specific transcriptional regulator TrmB [PF01978.22]	0
LOAJ01000002.1_LOAJ01000002.1_157	LOAJ01000002.1	LOAJ01000002.1	157	131959	132888	1	E											0
LOAJ01000002.1_LOAJ01000002.1_158	LOAJ01000002.1	LOAJ01000002.1	158	132888	133529	1	D										SMODS-associating 2TM, beta-strand rich effector domain [PF18153.4]	0
LOAJ01000002.1_LOAJ01000002.1_159	LOAJ01000002.1	LOAJ01000002.1	159	133546	134241	-1	D										DDE domain [PF13610.9]	0
LOAJ01000002.1_LOAJ01000002.1_160	LOAJ01000002.1	LOAJ01000002.1	160	134304	135428	1	C	K03517	quinolinate synthase [EC:2.5.1.72]								Quinolinate synthetase A protein [PF02445.19]	0
LOAJ01000002.1_LOAJ01000002.1_161	LOAJ01000002.1	LOAJ01000002.1	161	135431	136936	1	C	K00278	L-aspartate oxidase [EC:1.4.3.16]								FAD binding domain [PF00890.27]; Fumarate reductase flavoprotein C-term [PF02910.23]; FAD dependent oxidoreductase [PF01266.27]; FAD dependent oxidoreductase [PF12831.10]; Glucose inhibited division protein A [PF01134.25]	0
LOAJ01000002.1_LOAJ01000002.1_162	LOAJ01000002.1	LOAJ01000002.1	162	136923	137738	1	C	K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]								Quinolinate phosphoribosyl transferase, C-terminal domain [PF01729.22]; Quinolinate phosphoribosyl transferase, N-terminal domain [PF02749.19]	0
LOAJ01000002.1_LOAJ01000002.1_163	LOAJ01000002.1	LOAJ01000002.1	163	137711	137962	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_164	LOAJ01000002.1	LOAJ01000002.1	164	138304	139107	-1	D										Radical SAM ThiC family [PF01964.21]	0
LOAJ01000002.1_LOAJ01000002.1_165	LOAJ01000002.1	LOAJ01000002.1	165	139104	139970	-1	D										Radical SAM ThiC family [PF01964.21]	0
LOAJ01000002.1_LOAJ01000002.1_166	LOAJ01000002.1	LOAJ01000002.1	166	140154	141341	-1	D										FAD linked oxidases, C-terminal domain [PF02913.22]; FAD binding domain [PF01565.26]	0
LOAJ01000002.1_LOAJ01000002.1_167	LOAJ01000002.1	LOAJ01000002.1	167	141338	141535	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_168	LOAJ01000002.1	LOAJ01000002.1	168	141660	142190	-1	C	K07744	transcriptional regulator								Winged helix-turn-helix transcription repressor, HrcA DNA-binding [PF03444.18]; Iron-dependent Transcriptional regulator [PF02082.23]	0
LOAJ01000002.1_LOAJ01000002.1_169	LOAJ01000002.1	LOAJ01000002.1	169	142439	143185	1	D										Xylose isomerase-like TIM barrel [PF01261.27]	0
LOAJ01000002.1_LOAJ01000002.1_170	LOAJ01000002.1	LOAJ01000002.1	170	143244	144356	1	D										Aldehyde dehydrogenase family [PF00171.25]	0
LOAJ01000002.1_LOAJ01000002.1_171	LOAJ01000002.1	LOAJ01000002.1	171	144353	144751	1	D										Aldehyde dehydrogenase family [PF00171.25]	0
