	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
AOIR01000042.1_AOIR01000042.1_61	AOIR01000042.1	AOIR01000042.1	61	61478	61825	-1	E											0
AOIR01000042.1_AOIR01000042.1_62	AOIR01000042.1	AOIR01000042.1	62	61941	62084	1	E											0
AOIR01000042.1_AOIR01000042.1_63	AOIR01000042.1	AOIR01000042.1	63	62267	62548	1	E											0
AOIR01000042.1_AOIR01000042.1_64	AOIR01000042.1	AOIR01000042.1	64	62783	63448	1	E											0
AOIR01000042.1_AOIR01000042.1_65	AOIR01000042.1	AOIR01000042.1	65	63524	64060	1	E											0
AOIR01000042.1_AOIR01000042.1_66	AOIR01000042.1	AOIR01000042.1	66	64135	64911	1	D										C-5 cytosine-specific DNA methylase [PF00145.20]	0
AOIR01000042.1_AOIR01000042.1_67	AOIR01000042.1	AOIR01000042.1	67	65405	65599	1	E											0
AOIR01000042.1_AOIR01000042.1_68	AOIR01000042.1	AOIR01000042.1	68	65686	66357	1	D										DNA polymerase family B, exonuclease domain [PF03104.22]; RNase_H superfamily [PF13482.9]	0
AOIR01000042.1_AOIR01000042.1_69	AOIR01000042.1	AOIR01000042.1	69	66300	66440	-1	E											0
AOIR01000042.1_AOIR01000042.1_70	AOIR01000042.1	AOIR01000042.1	70	66713	67399	1	E											0
AOIR01000042.1_AOIR01000042.1_71	AOIR01000042.1	AOIR01000042.1	71	67625	67939	1	E											0
AOIR01000042.1_AOIR01000042.1_72	AOIR01000042.1	AOIR01000042.1	72	67945	68568	-1	E											0
AOIR01000042.1_AOIR01000042.1_73	AOIR01000042.1	AOIR01000042.1	73	68842	69135	1	E											0
AOIR01000042.1_AOIR01000042.1_74	AOIR01000042.1	AOIR01000042.1	74	69445	69660	1	E											0
AOIR01000042.1_AOIR01000042.1_75	AOIR01000042.1	AOIR01000042.1	75	69761	69970	1	E											0
AOIR01000042.1_AOIR01000042.1_76	AOIR01000042.1	AOIR01000042.1	76	69967	70182	1	E											0
AOIR01000042.1_AOIR01000042.1_77	AOIR01000042.1	AOIR01000042.1	77	70179	70406	1	E											0
AOIR01000042.1_AOIR01000042.1_78	AOIR01000042.1	AOIR01000042.1	78	70403	71128	1	E											0
AOIR01000042.1_AOIR01000042.1_79	AOIR01000042.1	AOIR01000042.1	79	71275	71421	1	E											0
AOIR01000042.1_AOIR01000042.1_80	AOIR01000042.1	AOIR01000042.1	80	71460	71687	1	E											0
AOIR01000042.1_AOIR01000042.1_81	AOIR01000042.1	AOIR01000042.1	81	71810	72364	-1	C	K03120	transcription initiation factor TFIID TATA-box-binding protein								Transcription factor TFIID (or TATA-binding protein, TBP) [PF00352.24]	0
AOIR01000042.1_AOIR01000042.1_82	AOIR01000042.1	AOIR01000042.1	82	72364	75966	-1	C	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]								N-6 DNA Methylase [PF02384.19]; Eco57I restriction-modification methylase [PF07669.14]; MmeI, DNA-methyltransferase domain [PF20473.1]; MmeI, helicase spacer domain [PF20465.1]; TaqI-like C-terminal specificity domain [PF12950.10]; Putative RNA methylase family UPF0020 [PF01170.21]	0
AOIR01000042.1_AOIR01000042.1_83	AOIR01000042.1	AOIR01000042.1	83	76315	76617	1	E											0
AOIR01000042.1_AOIR01000042.1_84	AOIR01000042.1	AOIR01000042.1	84	76614	76775	1	E											0
AOIR01000042.1_AOIR01000042.1_85	AOIR01000042.1	AOIR01000042.1	85	76772	77005	1	E											0
AOIR01000042.1_AOIR01000042.1_86	AOIR01000042.1	AOIR01000042.1	86	77066	77266	1	E											0
AOIR01000042.1_AOIR01000042.1_87	AOIR01000042.1	AOIR01000042.1	87	77263	77592	1	E											0
AOIR01000042.1_AOIR01000042.1_88	AOIR01000042.1	AOIR01000042.1	88	77768	78394	1	D										DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]	0
AOIR01000042.1_AOIR01000042.1_89	AOIR01000042.1	AOIR01000042.1	89	78467	79807	1	E											0
AOIR01000042.1_AOIR01000042.1_90	AOIR01000042.1	AOIR01000042.1	90	79827	80030	1	E											0
AOIR01000042.1_AOIR01000042.1_91	AOIR01000042.1	AOIR01000042.1	91	80037	81035	-1	C	K03124	transcription initiation factor TFIIB								Transcription factor TFIIB repeat [PF00382.22]; TFIIB zinc-binding [PF08271.15]	0
AOIR01000042.1_AOIR01000042.1_92	AOIR01000042.1	AOIR01000042.1	92	81169	82146	1	E											0
AOIR01000042.1_AOIR01000042.1_93	AOIR01000042.1	AOIR01000042.1	93	82193	83557	1	E											0
AOIR01000042.1_AOIR01000042.1_94	AOIR01000042.1	AOIR01000042.1	94	84131	84562	1	E											0
AOIR01000042.1_AOIR01000042.1_95	AOIR01000042.1	AOIR01000042.1	95	84586	85302	-1	E											0
AOIR01000042.1_AOIR01000042.1_96	AOIR01000042.1	AOIR01000042.1	96	85623	86819	1	E											0
AOIR01000042.1_AOIR01000042.1_97	AOIR01000042.1	AOIR01000042.1	97	86819	88906	1	D										UvrD/REP helicase N-terminal domain [PF00580.24]; UvrD-like helicase C-terminal domain [PF13361.9]; AAA domain [PF13245.9]	0
AOIR01000042.1_AOIR01000042.1_98	AOIR01000042.1	AOIR01000042.1	98	89099	90835	1	E											0
AOIR01000042.1_AOIR01000042.1_99	AOIR01000042.1	AOIR01000042.1	99	90863	91678	1	E											0
AOIR01000042.1_AOIR01000042.1_100	AOIR01000042.1	AOIR01000042.1	100	92110	92292	1	E											0
AOIR01000042.1_AOIR01000042.1_101	AOIR01000042.1	AOIR01000042.1	101	92420	93274	1	C	K17105	geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]								UbiA prenyltransferase family [PF01040.21]	0
AOIR01000042.1_AOIR01000042.1_102	AOIR01000042.1	AOIR01000042.1	102	93157	93480	-1	E											0
AOIR01000042.1_AOIR01000042.1_103	AOIR01000042.1	AOIR01000042.1	103	93552	94184	1	D										KaiC [PF06745.16]	0
AOIR01000042.1_AOIR01000042.1_104	AOIR01000042.1	AOIR01000042.1	104	94320	94730	1	C	K06929	uncharacterized protein								CoA binding domain [PF13380.9]	0
AOIR01000042.1_AOIR01000042.1_105	AOIR01000042.1	AOIR01000042.1	105	94751	95881	-1	E											0
AOIR01000042.1_AOIR01000042.1_106	AOIR01000042.1	AOIR01000042.1	106	95955	96401	-1	E											0
