	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
AOIO01000049.1_AOIO01000049.1_17	AOIO01000049.1	AOIO01000049.1	17	13508	14212	-1	C	K24700	3-mercaptopropionate dioxygenase [EC:1.13.11.91]								Cysteine dioxygenase type I [PF05995.15]	0
AOIO01000049.1_AOIO01000049.1_18	AOIO01000049.1	AOIO01000049.1	18	14374	15813	1	D										Sodium:sulfate symporter transmembrane region [PF00939.22]	0
AOIO01000049.1_AOIO01000049.1_19	AOIO01000049.1	AOIO01000049.1	19	16393	17814	-1	C	K07068	uncharacterized protein								Hydroxymethylglutaryl-coenzyme A synthase N terminal [PF01154.20]	0
AOIO01000049.1_AOIO01000049.1_20	AOIO01000049.1	AOIO01000049.1	20	17811	18989	-1	D										Thiolase, N-terminal domain [PF00108.26]; Thiolase, C-terminal domain [PF02803.21]	0
AOIO01000049.1_AOIO01000049.1_21	AOIO01000049.1	AOIO01000049.1	21	18998	19342	1	D										Hydantoinase/oxoprolinase C-terminal domain [PF19278.2]	0
AOIO01000049.1_AOIO01000049.1_22	AOIO01000049.1	AOIO01000049.1	22	19357	19641	1	D										Hydantoinase B/oxoprolinase [PF02538.17]	0
AOIO01000049.1_AOIO01000049.1_23	AOIO01000049.1	AOIO01000049.1	23	19905	20195	-1	E											0
AOIO01000049.1_AOIO01000049.1_24	AOIO01000049.1	AOIO01000049.1	24	20457	20699	-1	D										Domain of unknown function (DUF5658) [PF18902.3]	0
AOIO01000049.1_AOIO01000049.1_25	AOIO01000049.1	AOIO01000049.1	25	20878	21018	1	E											0
AOIO01000049.1_AOIO01000049.1_26	AOIO01000049.1	AOIO01000049.1	26	21294	21644	-1	D										Domain of unknown function (DUF5658) [PF18902.3]	0
AOIO01000049.1_AOIO01000049.1_27	AOIO01000049.1	AOIO01000049.1	27	21760	22173	1	D										Amphi-Trp domain [PF20068.2]	0
AOIO01000049.1_AOIO01000049.1_28	AOIO01000049.1	AOIO01000049.1	28	22255	22500	-1	E											0
AOIO01000049.1_AOIO01000049.1_29	AOIO01000049.1	AOIO01000049.1	29	22497	22961	-1	E											0
AOIO01000049.1_AOIO01000049.1_30	AOIO01000049.1	AOIO01000049.1	30	22958	23278	-1	E											0
AOIO01000049.1_AOIO01000049.1_31	AOIO01000049.1	AOIO01000049.1	31	23275	24684	-1	E											0
AOIO01000049.1_AOIO01000049.1_32	AOIO01000049.1	AOIO01000049.1	32	24681	24920	-1	E											0
AOIO01000049.1_AOIO01000049.1_33	AOIO01000049.1	AOIO01000049.1	33	24920	25213	-1	E											0
AOIO01000049.1_AOIO01000049.1_34	AOIO01000049.1	AOIO01000049.1	34	25210	25398	-1	E											0
AOIO01000049.1_AOIO01000049.1_35	AOIO01000049.1	AOIO01000049.1	35	25473	25631	-1	E											0
AOIO01000049.1_AOIO01000049.1_36	AOIO01000049.1	AOIO01000049.1	36	25902	26435	1	E											0
AOIO01000049.1_AOIO01000049.1_37	AOIO01000049.1	AOIO01000049.1	37	26940	27362	1	D										Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]; Glyoxalase-like domain [PF12681.10]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF13669.9]; Glyoxalase-like domain [PF18029.4]	0
AOIO01000049.1_AOIO01000049.1_38	AOIO01000049.1	AOIO01000049.1	38	27514	28755	-1	C	K10725	archaeal cell division control protein 6								CDC6, C terminal winged helix domain [PF09079.14]; AAA domain [PF13401.9]; AAA ATPase domain [PF13191.9]	0
AOIO01000049.1_AOIO01000049.1_39	AOIO01000049.1	AOIO01000049.1	39	29536	29754	-1	E											0
AOIO01000049.1_AOIO01000049.1_40	AOIO01000049.1	AOIO01000049.1	40	30135	31307	1	E											0
AOIO01000049.1_AOIO01000049.1_41	AOIO01000049.1	AOIO01000049.1	41	31370	31777	1	E											0
AOIO01000049.1_AOIO01000049.1_42	AOIO01000049.1	AOIO01000049.1	42	32082	35489	-1	E											0
AOIO01000049.1_AOIO01000049.1_43	AOIO01000049.1	AOIO01000049.1	43	35556	35708	-1	E											0
AOIO01000049.1_AOIO01000049.1_44	AOIO01000049.1	AOIO01000049.1	44	35705	36211	-1	E											0
AOIO01000049.1_AOIO01000049.1_45	AOIO01000049.1	AOIO01000049.1	45	36256	36369	-1	E											0
AOIO01000049.1_AOIO01000049.1_46	AOIO01000049.1	AOIO01000049.1	46	36484	36759	1	D										Ribonuclease R winged-helix domain [PF08461.13]	0
AOIO01000049.1_AOIO01000049.1_47	AOIO01000049.1	AOIO01000049.1	47	36734	36964	1	E											0
AOIO01000049.1_AOIO01000049.1_48	AOIO01000049.1	AOIO01000049.1	48	36957	37562	1	E											0
AOIO01000049.1_AOIO01000049.1_49	AOIO01000049.1	AOIO01000049.1	49	37569	37697	1	E											0
AOIO01000049.1_AOIO01000049.1_50	AOIO01000049.1	AOIO01000049.1	50	37802	38023	1	E											0
AOIO01000049.1_AOIO01000049.1_51	AOIO01000049.1	AOIO01000049.1	51	38162	39031	1	E											0
AOIO01000049.1_AOIO01000049.1_52	AOIO01000049.1	AOIO01000049.1	52	39063	40112	-1	E											0
AOIO01000049.1_AOIO01000049.1_53	AOIO01000049.1	AOIO01000049.1	53	40245	41591	1	D										Radical SAM superfamily [PF04055.24]	0
AOIO01000049.1_AOIO01000049.1_54	AOIO01000049.1	AOIO01000049.1	54	42773	43045	-1	C	K09951	CRISPR-associated protein Cas2								CRISPR associated protein Cas2 [PF09827.12]	0
AOIO01000049.1_AOIO01000049.1_55	AOIO01000049.1	AOIO01000049.1	55	43042	44019	-1	C	K15342	CRISP-associated protein Cas1								CRISPR associated protein Cas1 [PF01867.19]	0
AOIO01000049.1_AOIO01000049.1_56	AOIO01000049.1	AOIO01000049.1	56	44034	44657	-1	C	K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]								Domain of unknown function DUF83 [PF01930.20]	0
AOIO01000049.1_AOIO01000049.1_57	AOIO01000049.1	AOIO01000049.1	57	44659	46809	-1	D										DEAD/DEAH box helicase [PF00270.32]	0
AOIO01000049.1_AOIO01000049.1_58	AOIO01000049.1	AOIO01000049.1	58	46806	47534	-1	C	K19120	CRISPR-associated protein Csc1									0
AOIO01000049.1_AOIO01000049.1_59	AOIO01000049.1	AOIO01000049.1	59	47538	48524	-1	C	K19121	CRISPR-associated protein Csc2								Csc2 Crispr [PF18320.4]	0
AOIO01000049.1_AOIO01000049.1_60	AOIO01000049.1	AOIO01000049.1	60	48527	48964	-1	E											0
AOIO01000049.1_AOIO01000049.1_61	AOIO01000049.1	AOIO01000049.1	61	48961	51462	-1	C	K19122	CRISPR-associated protein Csc3									0
AOIO01000049.1_AOIO01000049.1_62	AOIO01000049.1	AOIO01000049.1	62	51850	52698	-1	C	K19091	CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]								CRISPR-associated endoribonuclease Cas6 [PF10040.12]	0
AOIO01000049.1_AOIO01000049.1_63	AOIO01000049.1	AOIO01000049.1	63	52873	53505	1	C	K07725	CRISPR-associated protein Csa3									0
AOIO01000049.1_AOIO01000049.1_64	AOIO01000049.1	AOIO01000049.1	64	53581	54318	-1	E											0
AOIO01000049.1_AOIO01000049.1_65	AOIO01000049.1	AOIO01000049.1	65	55783	56859	-1	D										AAA domain [PF13401.9]; Bacterial TniB protein [PF05621.14]; Bacterial dnaA  protein [PF00308.21]	0
AOIO01000049.1_AOIO01000049.1_66	AOIO01000049.1	AOIO01000049.1	66	57001	57285	1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
AOIO01000049.1_AOIO01000049.1_67	AOIO01000049.1	AOIO01000049.1	67	57345	57680	-1	E											0
AOIO01000049.1_AOIO01000049.1_68	AOIO01000049.1	AOIO01000049.1	68	57677	57997	-1	E											0
AOIO01000049.1_AOIO01000049.1_69	AOIO01000049.1	AOIO01000049.1	69	58205	58486	1	C	K19156	antitoxin PrlF								prlF antitoxin for toxin YhaV_toxin [PF15937.8]; Antidote-toxin recognition MazE, bacterial antitoxin [PF04014.21]	0
AOIO01000049.1_AOIO01000049.1_70	AOIO01000049.1	AOIO01000049.1	70	58483	58959	1	D										PIN domain [PF01850.24]	0
AOIO01000049.1_AOIO01000049.1_71	AOIO01000049.1	AOIO01000049.1	71	59032	59364	-1	E											0
AOIO01000049.1_AOIO01000049.1_72	AOIO01000049.1	AOIO01000049.1	72	59822	60313	1	E											0
AOIO01000049.1_AOIO01000049.1_73	AOIO01000049.1	AOIO01000049.1	73	60715	61611	-1	E											0
AOIO01000049.1_AOIO01000049.1_74	AOIO01000049.1	AOIO01000049.1	74	61550	61780	-1	E											0
AOIO01000049.1_AOIO01000049.1_75	AOIO01000049.1	AOIO01000049.1	75	61773	62465	-1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]	0
AOIO01000049.1_AOIO01000049.1_76	AOIO01000049.1	AOIO01000049.1	76	62458	63030	-1	E											0
AOIO01000049.1_AOIO01000049.1_77	AOIO01000049.1	AOIO01000049.1	77	63033	63581	-1	E											0
AOIO01000049.1_AOIO01000049.1_78	AOIO01000049.1	AOIO01000049.1	78	63642	63890	1	D										Helix-turn-helix domain [PF12840.10]; Winged helix-turn-helix [PF14947.9]	0
AOIO01000049.1_AOIO01000049.1_79	AOIO01000049.1	AOIO01000049.1	79	64489	64623	1	E											0
AOIO01000049.1_AOIO01000049.1_80	AOIO01000049.1	AOIO01000049.1	80	64628	64957	-1	E											0
AOIO01000049.1_AOIO01000049.1_81	AOIO01000049.1	AOIO01000049.1	81	65841	66752	-1	E											0
AOIO01000049.1_AOIO01000049.1_82	AOIO01000049.1	AOIO01000049.1	82	66749	67936	-1	E											0
AOIO01000049.1_AOIO01000049.1_83	AOIO01000049.1	AOIO01000049.1	83	68551	68994	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
AOIO01000049.1_AOIO01000049.1_84	AOIO01000049.1	AOIO01000049.1	84	69321	70109	1	E											0
AOIO01000049.1_AOIO01000049.1_85	AOIO01000049.1	AOIO01000049.1	85	70336	70605	1	E											0
AOIO01000049.1_AOIO01000049.1_86	AOIO01000049.1	AOIO01000049.1	86	70672	72252	-1	C	K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	MER0153329	C44	MER0153329 - family C44 non-peptidase homologues (Thioalkalivibrio sulfidophilus) [C44.UNW]#C44#{peptidase unit: 1-299}~source ACL73465~	False	0.24	66.0	1.076e-09	Asparagine synthase [PF00733.24]	0
AOIO01000049.1_AOIO01000049.1_87	AOIO01000049.1	AOIO01000049.1	87	72401	72604	-1	E											0
AOIO01000049.1_AOIO01000049.1_88	AOIO01000049.1	AOIO01000049.1	88	72886	73563	1	E											0
AOIO01000049.1_AOIO01000049.1_89	AOIO01000049.1	AOIO01000049.1	89	73573	76854	1	E											0
AOIO01000049.1_AOIO01000049.1_90	AOIO01000049.1	AOIO01000049.1	90	76864	77655	1	E											0
AOIO01000049.1_AOIO01000049.1_91	AOIO01000049.1	AOIO01000049.1	91	77774	80164	1	D			MER0978971	S08A	MER0978971 - subfamily S8A unassigned peptidases (Natrialba asiatica) [S08.UPA]#S08A#{peptidase unit: 422-678}~source M0AID6~	True	0.928	501.0	4.274e-151	Subtilase family [PF00082.25]	0
AOIO01000049.1_AOIO01000049.1_92	AOIO01000049.1	AOIO01000049.1	92	80161	81126	1	E											0
AOIO01000049.1_AOIO01000049.1_93	AOIO01000049.1	AOIO01000049.1	93	81138	81662	1	E											0
AOIO01000049.1_AOIO01000049.1_94	AOIO01000049.1	AOIO01000049.1	94	81659	82357	1	D										Concanavalin A-like lectin/glucanases superfamily [PF13385.9]	0
AOIO01000049.1_AOIO01000049.1_95	AOIO01000049.1	AOIO01000049.1	95	82517	83545	1	E											0
AOIO01000049.1_AOIO01000049.1_96	AOIO01000049.1	AOIO01000049.1	96	83633	83881	1	E											0
AOIO01000049.1_AOIO01000049.1_97	AOIO01000049.1	AOIO01000049.1	97	84036	84683	1	E											0
AOIO01000049.1_AOIO01000049.1_98	AOIO01000049.1	AOIO01000049.1	98	84892	85347	1	E											0
AOIO01000049.1_AOIO01000049.1_99	AOIO01000049.1	AOIO01000049.1	99	85344	86288	1	E											0
AOIO01000049.1_AOIO01000049.1_100	AOIO01000049.1	AOIO01000049.1	100	86285	86521	1	E											0
AOIO01000049.1_AOIO01000049.1_101	AOIO01000049.1	AOIO01000049.1	101	86518	86808	1	E											0
AOIO01000049.1_AOIO01000049.1_102	AOIO01000049.1	AOIO01000049.1	102	87080	87628	1	D										Winged helix-turn-helix DNA-binding [PF13412.9]	0
AOIO01000049.1_AOIO01000049.1_103	AOIO01000049.1	AOIO01000049.1	103	87611	87736	-1	E											0
AOIO01000049.1_AOIO01000049.1_104	AOIO01000049.1	AOIO01000049.1	104	87853	88185	-1	D										Mannose-6-phosphate isomerase [PF01050.21]; Mif2/CENP-C like [PF11699.11]; Cupin [PF00190.25]; Auxin binding protein [PF02041.19]; AraC-like ligand binding domain [PF02311.22]	0
AOIO01000049.1_AOIO01000049.1_105	AOIO01000049.1	AOIO01000049.1	105	88370	90403	1	C	K01473	N-methylhydantoinase A [EC:3.5.2.14]								Hydantoinase/oxoprolinase [PF01968.21]; Hydantoinase/oxoprolinase N-terminal region [PF05378.16]; Hydantoinase/oxoprolinase C-terminal domain [PF19278.2]	0
AOIO01000049.1_AOIO01000049.1_106	AOIO01000049.1	AOIO01000049.1	106	90404	92206	1	C	K01474	N-methylhydantoinase B [EC:3.5.2.14]								Hydantoinase B/oxoprolinase [PF02538.17]	0
AOIO01000049.1_AOIO01000049.1_107	AOIO01000049.1	AOIO01000049.1	107	92577	92792	1	E											0
AOIO01000049.1_AOIO01000049.1_108	AOIO01000049.1	AOIO01000049.1	108	92789	93373	1	E											0
AOIO01000049.1_AOIO01000049.1_109	AOIO01000049.1	AOIO01000049.1	109	93370	94398	1	E											0
AOIO01000049.1_AOIO01000049.1_110	AOIO01000049.1	AOIO01000049.1	110	94395	95633	1	E											0
AOIO01000049.1_AOIO01000049.1_111	AOIO01000049.1	AOIO01000049.1	111	95634	97265	1	E											0
AOIO01000049.1_AOIO01000049.1_112	AOIO01000049.1	AOIO01000049.1	112	97634	100003	1	E											0
AOIO01000049.1_AOIO01000049.1_113	AOIO01000049.1	AOIO01000049.1	113	100016	100963	1	D										MCM OB domain [PF17207.6]	0
AOIO01000049.1_AOIO01000049.1_114	AOIO01000049.1	AOIO01000049.1	114	101243	101749	1	E											0
